"experiment","condition","variance_level","band","n","dist","se","inward"
"exp4","average","3","extreme",51,7.90372592931091,0.288248951598224,-0.73038571992014
"exp4","average","3","middle",51,2.63670161705453,0.190432662177836,-0.0814333039603795
"exp4","average","5","extreme",51,8.02247980500171,0.262090822889199,0.697354418680191
"exp4","average","5","middle",51,2.62420406888745,0.171495853834422,0.198325006742581
"exp4","average","7","extreme",51,7.97860506713801,0.257381785785921,1.62387752286118
"exp4","average","7","middle",51,2.711336967836,0.15723549158665,0.56372502211684
"exp4","experience","3","extreme",50,8.01336862324347,0.286751349708224,-0.816344809890688
"exp4","experience","3","middle",50,2.67809192204495,0.225722803403534,-0.530622226313893
"exp4","experience","5","extreme",50,7.93265120967913,0.244161425169602,0.348872472356157
"exp4","experience","5","middle",50,2.64498733174521,0.157297941653169,-0.22940300118823
"exp4","experience","7","extreme",50,7.97166556349469,0.269660558359902,1.19533884749277
"exp4","experience","7","middle",50,2.71684656327843,0.169290015729333,0.427409321983909
