"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.55b5f6b6fdf99b713277dc94","average","3",2,22,16,-1.36818181818182,2.56875,0.600284090909091
"average.55b5f6b6fdf99b713277dc94","average","5",2,19,18,1.31052631578947,3.67222222222222,2.49137426900585
"average.55b5f6b6fdf99b713277dc94","average","7",2,20,12,2.655,4.05833333333333,3.35666666666667
"average.58ed2be2a083320001a13783","average","3",2,24,16,-2.88333333333333,0.300000000000001,-1.29166666666667
"average.58ed2be2a083320001a13783","average","5",2,14,19,-0.971428571428572,1.20526315789474,0.116917293233083
"average.58ed2be2a083320001a13783","average","7",2,20,13,1.16,1.81538461538461,1.48769230769231
"average.5d27dc6b46dea800184f8bfa","average","3",2,22,18,1.10909090909091,7.14444444444444,4.12676767676768
"average.5d27dc6b46dea800184f8bfa","average","5",2,19,12,1.9578947368421,8.01666666666667,4.98728070175439
"average.5d27dc6b46dea800184f8bfa","average","7",2,21,17,1.06190476190476,6.42352941176471,3.74271708683473
"average.5eb278ce4602871c6d7e335d","average","3",2,21,16,-6.28571428571429,0.1125,-3.08660714285714
"average.5eb278ce4602871c6d7e335d","average","5",2,18,19,-4.76666666666667,2.55263157894737,-1.10701754385965
"average.5eb278ce4602871c6d7e335d","average","7",2,20,12,-1.055,5.31666666666667,2.13083333333333
"average.5f0a7dec44c42c19a6c9f6d9","average","3",2,14,16,-0.428571428571429,-1.48125,-0.954910714285714
"average.5f0a7dec44c42c19a6c9f6d9","average","5",2,19,18,-2.38421052631579,-1.4,-1.8921052631579
"average.5f0a7dec44c42c19a6c9f6d9","average","7",2,28,16,-0.157142857142857,-0.65,-0.403571428571428
"average.5f3898caed1478189b8462a0","average","3",2,19,15,-5.13157894736842,0.226666666666667,-2.45245614035088
"average.5f3898caed1478189b8462a0","average","5",2,20,13,-3.945,4.93846153846154,0.496730769230769
"average.5f3898caed1478189b8462a0","average","7",2,14,20,-4.16428571428571,7.9,1.86785714285714
"average.5f9fdfd04296cb0102563f84","average","3",2,20,13,0.59,5.04615384615385,2.81807692307692
"average.5f9fdfd04296cb0102563f84","average","5",2,33,15,0.772727272727273,3.26,2.01636363636364
"average.5f9fdfd04296cb0102563f84","average","7",2,10,19,-0.45,-0.121052631578947,-0.285526315789473
