"participant_id","condition","variance_level","side","n_trials","inward"
"average.55b5f6b6fdf99b713277dc94","average","3","high",16,2.56875
"average.55b5f6b6fdf99b713277dc94","average","3","low",22,-1.36818181818182
"average.55b5f6b6fdf99b713277dc94","average","5","high",18,3.67222222222222
"average.55b5f6b6fdf99b713277dc94","average","5","low",19,1.31052631578947
"average.55b5f6b6fdf99b713277dc94","average","7","high",12,4.05833333333333
"average.55b5f6b6fdf99b713277dc94","average","7","low",20,2.655
"average.58ed2be2a083320001a13783","average","3","high",16,0.300000000000001
"average.58ed2be2a083320001a13783","average","3","low",24,-2.88333333333333
"average.58ed2be2a083320001a13783","average","5","high",19,1.20526315789474
"average.58ed2be2a083320001a13783","average","5","low",14,-0.971428571428572
"average.58ed2be2a083320001a13783","average","7","high",13,1.81538461538461
"average.58ed2be2a083320001a13783","average","7","low",20,1.16
"average.5d27dc6b46dea800184f8bfa","average","3","high",18,7.14444444444444
"average.5d27dc6b46dea800184f8bfa","average","3","low",22,1.10909090909091
"average.5d27dc6b46dea800184f8bfa","average","5","high",12,8.01666666666667
"average.5d27dc6b46dea800184f8bfa","average","5","low",19,1.9578947368421
"average.5d27dc6b46dea800184f8bfa","average","7","high",17,6.42352941176471
"average.5d27dc6b46dea800184f8bfa","average","7","low",21,1.06190476190476
"average.5eb278ce4602871c6d7e335d","average","3","high",16,0.1125
"average.5eb278ce4602871c6d7e335d","average","3","low",21,-6.28571428571429
"average.5eb278ce4602871c6d7e335d","average","5","high",19,2.55263157894737
"average.5eb278ce4602871c6d7e335d","average","5","low",18,-4.76666666666667
"average.5eb278ce4602871c6d7e335d","average","7","high",12,5.31666666666667
"average.5eb278ce4602871c6d7e335d","average","7","low",20,-1.055
"average.5f0a7dec44c42c19a6c9f6d9","average","3","high",16,-1.48125
"average.5f0a7dec44c42c19a6c9f6d9","average","3","low",14,-0.428571428571429
"average.5f0a7dec44c42c19a6c9f6d9","average","5","high",18,-1.4
"average.5f0a7dec44c42c19a6c9f6d9","average","5","low",19,-2.38421052631579
"average.5f0a7dec44c42c19a6c9f6d9","average","7","high",16,-0.65
"average.5f0a7dec44c42c19a6c9f6d9","average","7","low",28,-0.157142857142857
"average.5f3898caed1478189b8462a0","average","3","high",15,0.226666666666667
"average.5f3898caed1478189b8462a0","average","3","low",19,-5.13157894736842
"average.5f3898caed1478189b8462a0","average","5","high",13,4.93846153846154
"average.5f3898caed1478189b8462a0","average","5","low",20,-3.945
"average.5f3898caed1478189b8462a0","average","7","high",20,7.9
"average.5f3898caed1478189b8462a0","average","7","low",14,-4.16428571428571
"average.5f9fdfd04296cb0102563f84","average","3","high",13,5.04615384615385
"average.5f9fdfd04296cb0102563f84","average","3","low",20,0.59
"average.5f9fdfd04296cb0102563f84","average","5","high",15,3.26
"average.5f9fdfd04296cb0102563f84","average","5","low",33,0.772727272727273
"average.5f9fdfd04296cb0102563f84","average","7","high",19,-0.121052631578947
"average.5f9fdfd04296cb0102563f84","average","7","low",10,-0.45
"average.606f9bca353fc36aba9ccb8b","average","3","high",13,0.484615384615385
"average.606f9bca353fc36aba9ccb8b","average","3","low",25,-2.588
"average.606f9bca353fc36aba9ccb8b","average","5","high",20,3.12
"average.606f9bca353fc36aba9ccb8b","average","5","low",14,-1.16428571428571
"average.606f9bca353fc36aba9ccb8b","average","7","high",17,3.79411764705882
"average.606f9bca353fc36aba9ccb8b","average","7","low",20,0.285
"average.61fa94015719bc09cb834e2e","average","3","high",12,-3.79166666666667
"average.61fa94015719bc09cb834e2e","average","3","low",18,-1.80555555555556
"average.61fa94015719bc09cb834e2e","average","5","high",18,-0.605555555555556
"average.61fa94015719bc09cb834e2e","average","5","low",24,0.6375
"average.61fa94015719bc09cb834e2e","average","7","high",22,-0.404545454545454
"average.61fa94015719bc09cb834e2e","average","7","low",19,0.831578947368421
"average.620bdd10a922fc3f247f6b6b","average","3","high",16,0.95625
"average.620bdd10a922fc3f247f6b6b","average","3","low",19,0.752631578947369
"average.620bdd10a922fc3f247f6b6b","average","5","high",10,2.72
"average.620bdd10a922fc3f247f6b6b","average","5","low",22,2.69545454545455
"average.620bdd10a922fc3f247f6b6b","average","7","high",19,3.91578947368421
"average.620bdd10a922fc3f247f6b6b","average","7","low",18,2.25
"average.63d40c3695dd423166c7c83d","average","3","high",8,-1.8625
"average.63d40c3695dd423166c7c83d","average","3","low",19,-0.726315789473684
"average.63d40c3695dd423166c7c83d","average","5","high",17,-1.37058823529412
"average.63d40c3695dd423166c7c83d","average","5","low",18,2.50555555555556
"average.63d40c3695dd423166c7c83d","average","7","high",19,-3.30526315789474
"average.63d40c3695dd423166c7c83d","average","7","low",18,0.877777777777777
"average.63e55e08efd239a8c8b9d39e","average","3","high",16,-6.55625
"average.63e55e08efd239a8c8b9d39e","average","3","low",27,-0.185185185185185
"average.63e55e08efd239a8c8b9d39e","average","5","high",15,-3.02
"average.63e55e08efd239a8c8b9d39e","average","5","low",16,2.55625
"average.63e55e08efd239a8c8b9d39e","average","7","high",15,-4.58666666666667
"average.63e55e08efd239a8c8b9d39e","average","7","low",17,7.74705882352941
"average.63fa812428f289c772131458","average","3","high",19,-4.1578947368421
"average.63fa812428f289c772131458","average","3","low",19,-1.75263157894737
"average.63fa812428f289c772131458","average","5","high",13,-0.746153846153847
"average.63fa812428f289c772131458","average","5","low",23,3.97826086956522
"average.63fa812428f289c772131458","average","7","high",16,-1.8875
"average.63fa812428f289c772131458","average","7","low",20,5.525
"average.65dfbf73ec3a047b5653add8","average","3","high",13,1.22307692307692
"average.65dfbf73ec3a047b5653add8","average","3","low",25,-1.16
"average.65dfbf73ec3a047b5653add8","average","5","high",18,0.477777777777777
"average.65dfbf73ec3a047b5653add8","average","5","low",23,0.495652173913044
"average.65dfbf73ec3a047b5653add8","average","7","high",18,2.61666666666667
"average.65dfbf73ec3a047b5653add8","average","7","low",13,-0.0538461538461539
"average.65ebbd5d9188410923b21986","average","3","high",11,-2.19090909090909
"average.65ebbd5d9188410923b21986","average","3","low",24,-0.254166666666667
"average.65ebbd5d9188410923b21986","average","5","high",22,-2.30454545454545
"average.65ebbd5d9188410923b21986","average","5","low",17,3.11176470588235
"average.65ebbd5d9188410923b21986","average","7","high",17,1.50588235294118
"average.65ebbd5d9188410923b21986","average","7","low",22,4.47272727272727
"average.66295cf0dbecaeeb1cddb852","average","3","high",6,-1.48333333333333
"average.66295cf0dbecaeeb1cddb852","average","3","low",29,-2.46896551724138
"average.66295cf0dbecaeeb1cddb852","average","5","high",12,-1.79166666666667
"average.66295cf0dbecaeeb1cddb852","average","5","low",19,0.757894736842105
"average.66295cf0dbecaeeb1cddb852","average","7","high",30,0.88
"average.66295cf0dbecaeeb1cddb852","average","7","low",15,1.21333333333333
"average.66c0f464e0ff62798027b486","average","3","high",11,-2.18181818181818
"average.66c0f464e0ff62798027b486","average","3","low",22,-2.22727272727273
"average.66c0f464e0ff62798027b486","average","5","high",16,1.63125
"average.66c0f464e0ff62798027b486","average","5","low",17,0.264705882352941
"average.66c0f464e0ff62798027b486","average","7","high",18,3.68888888888889
"average.66c0f464e0ff62798027b486","average","7","low",21,1.31428571428571
"average.66e89b61d7709ff7f27a76be","average","3","high",9,3.44444444444444
"average.66e89b61d7709ff7f27a76be","average","3","low",48,-0.114583333333333
"average.66e89b61d7709ff7f27a76be","average","5","high",13,4.41538461538462
"average.66e89b61d7709ff7f27a76be","average","5","low",11,-0.836363636363637
"average.66e89b61d7709ff7f27a76be","average","7","high",28,3.12857142857143
"average.66e89b61d7709ff7f27a76be","average","7","low",4,-0.75
"average.66f0c81ea46a554aeb92cd04","average","3","high",16,2.2125
"average.66f0c81ea46a554aeb92cd04","average","3","low",13,-0.4
"average.66f0c81ea46a554aeb92cd04","average","5","high",16,4.3125
"average.66f0c81ea46a554aeb92cd04","average","5","low",20,3.125
