"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",-1.24088391986777,0.129269459244656,98,-9.59920407433031,3.08361891576681e-10,NA,NA
"noise_overall","X3 - X7",-2.15728866572629,0.159884426697785,98,-13.4928004576956,3.08332359644226e-10,NA,NA
"noise_overall","X5 - X7",-0.916404745858512,0.137673423481926,98,-6.65636636818884,5.18244269720469e-09,NA,NA
"noise_within_condition","X3 - X5",-1.36549104184912,0.180977242942518,98,-7.54509804463553,3.7849101630627e-10,"average",NA
"noise_within_condition","X3 - X7",-2.40352791082208,0.2238381973769,98,-10.7377915788654,3.08351677524854e-10,"average",NA
"noise_within_condition","X5 - X7",-1.03803686897296,0.192742792874697,98,-5.38560665999998,1.47872462319398e-06,"average",NA
"noise_within_condition","X3 - X5",-1.11627679788643,0.184633718238429,98,-6.04589892104598,8.11166850356315e-08,"experience",NA
"noise_within_condition","X3 - X7",-1.91104942063049,0.228360638020168,98,-8.368558772645,3.09599568204533e-10,"experience",NA
"noise_within_condition","X5 - X7",-0.794772622744061,0.196636980061729,98,-4.04182683488407,0.000308972811603914,"experience",NA
"condition_within_noise","average - experience",0.10873541342234,0.409097359406621,98,0.265793486372184,0.790956617594362,NA,"X3"
"condition_within_noise","average - experience",0.357949657385034,0.357093393615309,98,1.00239787065523,0.318620138156696,NA,"X5"
"condition_within_noise","average - experience",0.601213903613936,0.37324230273584,98,1.61078714606324,0.11044247883133,NA,"X7"
