"participant_id","condition","variance_level","n_trials","r","z"
"average.55b5f6b6fdf99b713277dc94","average","3",71,0.776683398888492,1.03695657284716
"average.55b5f6b6fdf99b713277dc94","average","5",71,0.731108676013737,0.931105018749738
"average.55b5f6b6fdf99b713277dc94","average","7",66,0.545043971131668,0.611303437387529
"average.58ed2be2a083320001a13783","average","3",67,0.912781014347197,1.54394572896035
"average.58ed2be2a083320001a13783","average","5",67,0.884306897314932,1.39518715994824
"average.58ed2be2a083320001a13783","average","7",71,0.76886636347817,1.01754904571867
"average.5d27dc6b46dea800184f8bfa","average","3",71,0.529973710391629,0.590108601505773
"average.5d27dc6b46dea800184f8bfa","average","5",70,0.443672561942005,0.47679424890209
"average.5d27dc6b46dea800184f8bfa","average","7",69,0.582190126953177,0.665769421306757
"average.5eb278ce4602871c6d7e335d","average","3",70,0.895694515861098,1.45000830422617
"average.5eb278ce4602871c6d7e335d","average","5",72,0.910474742301935,1.53029312597522
"average.5eb278ce4602871c6d7e335d","average","7",69,0.765844334302469,1.01019904957431
"average.5f0a7dec44c42c19a6c9f6d9","average","3",70,0.829645905367209,1.18699927618596
"average.5f0a7dec44c42c19a6c9f6d9","average","5",71,0.84154973590779,1.22646099551457
"average.5f0a7dec44c42c19a6c9f6d9","average","7",72,0.795829245665976,1.0871327473839
"average.5f3898caed1478189b8462a0","average","3",64,0.914712692206427,1.5556486058351
"average.5f3898caed1478189b8462a0","average","5",62,0.858608481475083,1.28802529448022
"average.5f3898caed1478189b8462a0","average","7",65,0.69946622969265,0.86625468507808
"average.5f9fdfd04296cb0102563f84","average","3",68,0.63695179042735,0.753027746399046
"average.5f9fdfd04296cb0102563f84","average","5",71,0.709366350591626,0.885907244155333
"average.5f9fdfd04296cb0102563f84","average","7",71,0.660866130749682,0.79434979340816
"average.606f9bca353fc36aba9ccb8b","average","3",71,0.793401965679925,1.08054729618201
"average.606f9bca353fc36aba9ccb8b","average","5",69,0.686835888566694,0.841941213479272
"average.606f9bca353fc36aba9ccb8b","average","7",68,0.642767430869067,0.762875266342067
"average.61fa94015719bc09cb834e2e","average","3",69,0.931420606665097,1.66900948793149
"average.61fa94015719bc09cb834e2e","average","5",72,0.916264591448609,1.56523555773406
"average.61fa94015719bc09cb834e2e","average","7",72,0.888270335516781,1.41366713950501
"average.620bdd10a922fc3f247f6b6b","average","3",69,0.891952377091913,1.43139624791953
