"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",0.138205571214772,0.0159635532827845,99,8.65756945001812,2.23570828516984e-10,NA,NA
"noise_overall","X3 - X7",0.295210599372988,0.0198346660832234,99,14.8835678974543,2.23267515586656e-10,NA,NA
"noise_overall","X5 - X7",0.157005028158217,0.0176557997870773,99,8.8925469280147,2.2338131344668e-10,NA,NA
"noise_within_condition","X3 - X5",0.114265393768334,0.0224638337898768,99,5.08663814187526,5.15212967766576e-06,"average",NA
"noise_within_condition","X3 - X7",0.285662988200856,0.0279112447134024,99,10.2346918288344,2.23292384582408e-10,"average",NA
"noise_within_condition","X5 - X7",0.171397594432522,0.0248451547608744,99,6.89863259384625,1.72650038710032e-09,"average",NA
"noise_within_condition","X3 - X5",0.16214574866121,0.0226873600295406,99,7.14696414435548,6.82400580487297e-10,"experience",NA
"noise_within_condition","X3 - X7",0.304758210545121,0.028188975381884,99,10.8112553371123,2.23287721645704e-10,"experience",NA
"noise_within_condition","X5 - X7",0.142612461883911,0.0250923763201821,99,5.68349765140443,3.98378241950326e-07,"experience",NA
"condition_within_noise","average - experience",-0.0292367701053934,0.0506232391257223,99,-0.577536534807346,0.56488825961953,NA,"X3"
"condition_within_noise","average - experience",0.0186435847874832,0.0494154229155372,99,0.377282712309263,0.706771082203926,NA,"X5"
"condition_within_noise","average - experience",-0.010141547761128,0.0513020186989622,99,-0.197683210491932,0.843698254235823,NA,"X7"
