"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",0.0504670966496856,0.00609884693524713,99,8.27485870452341,2.25143570453668e-10,NA,NA
"noise_overall","X3 - X7",0.0589088087241908,0.00759043404161401,99,7.76092755713672,2.46611731036239e-10,NA,NA
"noise_overall","X5 - X7",0.00844171207450521,0.0059576537357967,99,1.41695245290658,0.336125605919691,NA,NA
"noise_within_condition","X3 - X5",0.0497112430247681,0.0085822674586515,99,5.79232041698443,2.46260276948185e-07,"average",NA
"noise_within_condition","X3 - X7",0.0552163308498805,0.0106812215102337,99,5.16947717983169,3.64275360653643e-06,"average",NA
"noise_within_condition","X5 - X7",0.00550508782511239,0.00838358108171962,99,0.656651110241687,0.789037711826799,"average",NA
"noise_within_condition","X3 - X5",0.0512229502746031,0.00866766525809949,99,5.90965949299183,1.45973282794643e-07,"experience",NA
"noise_within_condition","X3 - X7",0.0626012865985012,0.0107875049390344,99,5.80312935681533,2.3472087484766e-07,"experience",NA
"noise_within_condition","X5 - X7",0.011378336323898,0.00846700185359862,99,1.34384478952984,0.374510876370902,"experience",NA
"condition_within_noise","average - experience",-0.0143574795053333,0.0180111879702128,99,-0.797142283400625,0.427276085142055,NA,"X3"
"condition_within_noise","average - experience",-0.0128457722554982,0.0134566205439387,99,-0.954606114778529,0.342102049443386,NA,"X5"
"condition_within_noise","average - experience",-0.0069725237567126,0.0144792482196889,99,-0.481552885268682,0.6311863577358,NA,"X7"
