"experiment","version","level","report","mean_objective","n"
"exp4","raw","SD 3",1,15.36,5
"exp4","raw","SD 3",2,15.5428571428571,7
"exp4","raw","SD 3",3,16.425,12
"exp4","raw","SD 3",4,16.75625,16
"exp4","raw","SD 3",5,16.3652173913043,23
"exp4","raw","SD 3",6,17.2954545454545,44
"exp4","raw","SD 3",7,16.1609756097561,41
"exp4","raw","SD 3",8,16.7396825396825,63
"exp4","raw","SD 3",9,17.2355263157895,76
"exp4","raw","SD 3",10,17.4805555555556,108
"exp4","raw","SD 3",11,17.0295597484277,159
"exp4","raw","SD 3",12,17.7522727272727,176
"exp4","raw","SD 3",13,18.05,214
"exp4","raw","SD 3",14,17.9545454545455,242
"exp4","raw","SD 3",15,18.8664335664336,286
"exp4","raw","SD 3",16,18.9414814814815,270
"exp4","raw","SD 3",17,19.811149825784,287
"exp4","raw","SD 3",18,20.5108108108108,296
"exp4","raw","SD 3",19,20.4597359735974,303
"exp4","raw","SD 3",20,21.5898916967509,277
"exp4","raw","SD 3",21,22.3114285714286,245
"exp4","raw","SD 3",22,23.765,260
"exp4","raw","SD 3",23,24.0048780487805,246
"exp4","raw","SD 3",24,24.7914590747331,281
"exp4","raw","SD 3",25,25.4661290322581,248
"exp4","raw","SD 3",26,26.0643442622951,244
"exp4","raw","SD 3",27,27.0996350364964,274
"exp4","raw","SD 3",28,27.7909090909091,231
"exp4","raw","SD 3",29,28.6533088235294,272
"exp4","raw","SD 3",30,28.7570815450644,233
"exp4","raw","SD 3",31,29.3097345132743,226
"exp4","raw","SD 3",32,29.6739726027397,219
"exp4","raw","SD 3",33,29.9248587570621,177
"exp4","raw","SD 3",34,30.714375,160
"exp4","raw","SD 3",35,31.3011834319527,169
"exp4","raw","SD 3",36,31.7742424242424,132
"exp4","raw","SD 3",37,31.3441176470588,102
"exp4","raw","SD 3",38,31.6543689320388,103
"exp4","raw","SD 3",39,32.0457627118644,59
"exp4","raw","SD 3",40,31.9021739130435,46
"exp4","raw","SD 3",41,31.6620689655172,29
"exp4","raw","SD 3",42,32.5571428571429,35
"exp4","raw","SD 3",43,32.7071428571429,28
"exp4","raw","SD 3",44,33.5227272727273,22
"exp4","raw","SD 3",45,32.535,20
"exp4","raw","SD 3",46,32.4705882352941,17
"exp4","raw","SD 3",48,32.7677419354839,31
"exp4","raw","SD 5",1,15.55,4
"exp4","raw","SD 5",2,17.025,4
"exp4","raw","SD 5",3,16.1166666666667,6
"exp4","raw","SD 5",4,17.1428571428571,7
"exp4","raw","SD 5",5,18.1571428571429,7
"exp4","raw","SD 5",6,15.7826086956522,23
"exp4","raw","SD 5",7,16.3431818181818,44
"exp4","raw","SD 5",8,17.3075,40
"exp4","raw","SD 5",9,16.7136363636364,66
"exp4","raw","SD 5",10,17.1910112359551,89
"exp4","raw","SD 5",11,17.0773195876289,97
"exp4","raw","SD 5",12,17.6306451612903,124
"exp4","raw","SD 5",13,18.4713333333333,150
"exp4","raw","SD 5",14,18.686,200
"exp4","raw","SD 5",15,18.1317391304348,230
"exp4","raw","SD 5",16,19.0421686746988,249
"exp4","raw","SD 5",17,19.2602836879433,282
"exp4","raw","SD 5",18,20.2459183673469,294
"exp4","raw","SD 5",19,20.8258620689655,290
"exp4","raw","SD 5",20,20.9444078947368,304
"exp4","raw","SD 5",21,21.7867867867868,333
"exp4","raw","SD 5",22,22.8735785953177,299
"exp4","raw","SD 5",23,23.5535714285714,308
"exp4","raw","SD 5",24,24.5403448275862,290
"exp4","raw","SD 5",25,25.1566433566434,286
"exp4","raw","SD 5",26,26.4382252559727,293
"exp4","raw","SD 5",27,26.1556776556777,273
"exp4","raw","SD 5",28,27.033,300
"exp4","raw","SD 5",29,28.2066176470588,272
"exp4","raw","SD 5",30,27.9797153024911,281
"exp4","raw","SD 5",31,28.9226053639847,261
"exp4","raw","SD 5",32,29.3191056910569,246
"exp4","raw","SD 5",33,29.9616580310881,193
"exp4","raw","SD 5",34,30.3386740331492,181
"exp4","raw","SD 5",35,30.3841772151899,158
"exp4","raw","SD 5",36,30.6283464566929,127
"exp4","raw","SD 5",37,31.5913461538462,104
"exp4","raw","SD 5",38,30.7684210526316,76
"exp4","raw","SD 5",39,31.1654545454545,55
"exp4","raw","SD 5",40,31.8166666666667,54
"exp4","raw","SD 5",41,31.7046511627907,43
"exp4","raw","SD 5",42,31.12,25
"exp4","raw","SD 5",43,32.6222222222222,18
"exp4","raw","SD 5",44,31.55,12
"exp4","raw","SD 5",45,34.1222222222222,9
"exp4","raw","SD 5",46,28.525,4
"exp4","raw","SD 5",48,32.84375,16
"exp4","raw","SD 7",1,17.96,5
"exp4","raw","SD 7",3,16.6,8
"exp4","raw","SD 7",4,16.5571428571429,7
"exp4","raw","SD 7",5,17.8333333333333,15
"exp4","raw","SD 7",6,16.5083333333333,12
"exp4","raw","SD 7",7,17.8,22
"exp4","raw","SD 7",8,17.46,35
"exp4","raw","SD 7",9,17.3890909090909,55
"exp4","raw","SD 7",10,17.2347826086957,69
"exp4","raw","SD 7",11,17.8393939393939,99
"exp4","raw","SD 7",12,18.5803571428571,112
"exp4","raw","SD 7",13,17.9496240601504,133
"exp4","raw","SD 7",14,19.0543209876543,162
"exp4","raw","SD 7",15,19.4852631578947,190
"exp4","raw","SD 7",16,19.3378504672897,214
"exp4","raw","SD 7",17,19.9018181818182,220
"exp4","raw","SD 7",18,20.5841085271318,258
"exp4","raw","SD 7",19,20.7782608695652,253
"exp4","raw","SD 7",20,21.4177419354839,310
"exp4","raw","SD 7",21,22.5491582491582,297
"exp4","raw","SD 7",22,22.41926910299,301
"exp4","raw","SD 7",23,24.1213375796178,314
"exp4","raw","SD 7",24,24.7653495440729,329
"exp4","raw","SD 7",25,25.3266055045872,327
"exp4","raw","SD 7",26,25.8834375,320
"exp4","raw","SD 7",27,26.5450746268657,335
"exp4","raw","SD 7",28,26.9518987341772,316
"exp4","raw","SD 7",29,27.3464052287582,306
"exp4","raw","SD 7",30,28.3440559440559,286
"exp4","raw","SD 7",31,28.2710191082803,314
"exp4","raw","SD 7",32,29.0439516129032,248
"exp4","raw","SD 7",33,29.2103139013453,223
"exp4","raw","SD 7",34,29.6701030927835,194
"exp4","raw","SD 7",35,30.5155405405405,148
"exp4","raw","SD 7",36,30.8689189189189,148
"exp4","raw","SD 7",37,30.7790476190476,105
"exp4","raw","SD 7",38,29.8065789473684,76
"exp4","raw","SD 7",39,31.1605263157895,76
"exp4","raw","SD 7",40,30.7559322033898,59
"exp4","raw","SD 7",41,31.845652173913,46
"exp4","raw","SD 7",42,30.7074074074074,27
"exp4","raw","SD 7",43,31.1954545454545,22
"exp4","raw","SD 7",44,32.1857142857143,14
"exp4","raw","SD 7",45,31.75,8
"exp4","raw","SD 7",46,29.7333333333333,3
"exp4","raw","SD 7",48,32.75625,16
"exp4","shift_removed","SD 3",1,19,1
"exp4","shift_removed","SD 3",2,14.1,1
"exp4","shift_removed","SD 3",3,16.0714285714286,7
"exp4","shift_removed","SD 3",4,16.4,5
"exp4","shift_removed","SD 3",5,16.1375,8
"exp4","shift_removed","SD 3",6,15.6096774193548,31
"exp4","shift_removed","SD 3",7,16.2931034482759,29
"exp4","shift_removed","SD 3",8,16.3363636363636,33
"exp4","shift_removed","SD 3",9,16.1828125,64
"exp4","shift_removed","SD 3",10,16.9305882352941,85
"exp4","shift_removed","SD 3",11,16.66,105
"exp4","shift_removed","SD 3",12,16.9992700729927,137
"exp4","shift_removed","SD 3",13,17.5252475247525,202
"exp4","shift_removed","SD 3",14,17.6724576271186,236
"exp4","shift_removed","SD 3",15,18.0976833976834,259
"exp4","shift_removed","SD 3",16,18.4445652173913,276
"exp4","shift_removed","SD 3",17,18.9922222222222,270
"exp4","shift_removed","SD 3",18,19.7723684210526,304
"exp4","shift_removed","SD 3",19,20.1419014084507,284
"exp4","shift_removed","SD 3",20,20.5114864864865,296
"exp4","shift_removed","SD 3",21,21.9181818181818,286
"exp4","shift_removed","SD 3",22,22.292578125,256
"exp4","shift_removed","SD 3",23,23.3351254480287,279
"exp4","shift_removed","SD 3",24,24.0606870229008,262
"exp4","shift_removed","SD 3",25,24.6733590733591,259
"exp4","shift_removed","SD 3",26,25.9220472440945,254
"exp4","shift_removed","SD 3",27,26.5456,250
"exp4","shift_removed","SD 3",28,27.0846715328467,274
"exp4","shift_removed","SD 3",29,27.7170212765957,235
"exp4","shift_removed","SD 3",30,29.1328467153285,274
"exp4","shift_removed","SD 3",31,29.270036101083,277
"exp4","shift_removed","SD 3",32,29.7878431372549,255
"exp4","shift_removed","SD 3",33,30.433152173913,184
"exp4","shift_removed","SD 3",34,30.7725714285714,175
"exp4","shift_removed","SD 3",35,31.5120689655172,174
"exp4","shift_removed","SD 3",36,31.5357142857143,140
"exp4","shift_removed","SD 3",37,31.1753968253968,126
"exp4","shift_removed","SD 3",38,32.3823529411765,102
"exp4","shift_removed","SD 3",39,31.6472972972973,74
"exp4","shift_removed","SD 3",40,32.7230769230769,52
"exp4","shift_removed","SD 3",41,32.4473684210526,38
"exp4","shift_removed","SD 3",42,32.0073170731707,41
"exp4","shift_removed","SD 3",43,32.2115384615385,26
"exp4","shift_removed","SD 3",44,33.036,25
"exp4","shift_removed","SD 3",45,33.425,24
"exp4","shift_removed","SD 3",46,33.1125,8
"exp4","shift_removed","SD 3",47,31.3,3
"exp4","shift_removed","SD 3",48,31.84,10
"exp4","shift_removed","SD 3",49,34.45,2
"exp4","shift_removed","SD 3",50,32.8090909090909,11
"exp4","shift_removed","SD 3",51,33.55,2
"exp4","shift_removed","SD 3",52,34.9,1
"exp4","shift_removed","SD 3",53,30.1,2
"exp4","shift_removed","SD 5",-1,15.15,2
"exp4","shift_removed","SD 5",1,15.1,1
"exp4","shift_removed","SD 5",2,13.9,1
"exp4","shift_removed","SD 5",3,18.7375,8
"exp4","shift_removed","SD 5",4,16.1333333333333,6
"exp4","shift_removed","SD 5",5,16.0076923076923,13
"exp4","shift_removed","SD 5",6,17,11
"exp4","shift_removed","SD 5",7,16.425,20
"exp4","shift_removed","SD 5",8,16.0894736842105,38
"exp4","shift_removed","SD 5",9,16.7018518518519,54
"exp4","shift_removed","SD 5",10,17.0787878787879,66
"exp4","shift_removed","SD 5",11,16.7440476190476,84
"exp4","shift_removed","SD 5",12,17.5610687022901,131
"exp4","shift_removed","SD 5",13,17.2371428571429,140
"exp4","shift_removed","SD 5",14,17.4581920903955,177
"exp4","shift_removed","SD 5",15,17.9355329949239,197
"exp4","shift_removed","SD 5",16,18.7398550724638,276
"exp4","shift_removed","SD 5",17,19.1129449838188,309
"exp4","shift_removed","SD 5",18,19.5328571428571,280
"exp4","shift_removed","SD 5",19,20.4086956521739,276
"exp4","shift_removed","SD 5",20,21.0214285714286,308
"exp4","shift_removed","SD 5",21,21.3060240963855,332
"exp4","shift_removed","SD 5",22,22.2,328
"exp4","shift_removed","SD 5",23,23.4249146757679,293
"exp4","shift_removed","SD 5",24,24.0252365930599,317
"exp4","shift_removed","SD 5",25,24.9335463258786,313
"exp4","shift_removed","SD 5",26,26.1006578947368,304
"exp4","shift_removed","SD 5",27,26.5006734006734,297
"exp4","shift_removed","SD 5",28,27.3335504885994,307
"exp4","shift_removed","SD 5",29,28.1525597269625,293
"exp4","shift_removed","SD 5",30,28.8903571428571,280
"exp4","shift_removed","SD 5",31,29.1886274509804,255
"exp4","shift_removed","SD 5",32,29.5026315789474,228
"exp4","shift_removed","SD 5",33,30.5972972972973,222
"exp4","shift_removed","SD 5",34,30.6128205128205,195
"exp4","shift_removed","SD 5",35,30.5392857142857,140
"exp4","shift_removed","SD 5",36,31.109756097561,123
"exp4","shift_removed","SD 5",37,31.2277777777778,108
"exp4","shift_removed","SD 5",38,31.5106666666667,75
"exp4","shift_removed","SD 5",39,31.3681818181818,66
"exp4","shift_removed","SD 5",40,31.9072727272727,55
"exp4","shift_removed","SD 5",41,30.904,25
"exp4","shift_removed","SD 5",42,31.78,20
"exp4","shift_removed","SD 5",43,31.9526315789474,19
"exp4","shift_removed","SD 5",44,31.8222222222222,18
"exp4","shift_removed","SD 5",45,34.6333333333333,3
