"meanVal","variance_level","condition","mean_response","n_trials"
13.7,"3","average",13,1
13.7,"3","experience",12,1
13.8,"3","average",14.375,8
13.8,"3","experience",12.75,8
13.8,"5","average",12.9,10
13.8,"5","experience",15.125,8
13.8,"7","average",15.8,5
13.8,"7","experience",16.4,10
13.9,"3","average",12.8723404255319,47
13.9,"3","experience",13.1363636363636,44
13.9,"5","average",14.7692307692308,39
13.9,"5","experience",13.9428571428571,35
13.9,"7","average",15,43
13.9,"7","experience",15.2,35
14,"3","average",13.3484848484848,66
14,"3","experience",13.7979797979798,99
14,"5","average",15.0461538461538,65
14,"5","experience",15.4153846153846,65
14,"7","average",15.6478873239437,71
14,"7","experience",16,55
14.1,"3","average",13.5,42
14.1,"3","experience",13.780487804878,41
14.1,"5","average",15.4489795918367,49
14.1,"5","experience",13.9615384615385,26
14.1,"7","average",17.9615384615385,26
14.1,"7","experience",15.71875,32
14.2,"3","average",17.75,4
14.2,"3","experience",12.5714285714286,7
14.2,"5","average",12.5,2
14.2,"5","experience",15.5714285714286,7
14.2,"7","average",14.2,5
14.2,"7","experience",15.2857142857143,7
14.3,"5","average",15,1
14.7,"7","experience",20,1
14.8,"3","average",15,6
14.8,"3","experience",14.8,5
14.8,"5","average",18,4
14.8,"5","experience",15.6363636363636,11
14.8,"7","average",14,2
14.8,"7","experience",16.25,8
14.9,"3","average",14.1470588235294,34
14.9,"3","experience",13.6976744186047,43
14.9,"5","average",15.8235294117647,34
14.9,"5","experience",15.6285714285714,35
14.9,"7","average",15.6,45
14.9,"7","experience",16.5526315789474,38
15,"3","average",14.2820512820513,78
15,"3","experience",14.0714285714286,70
15,"5","average",14.4222222222222,90
15,"5","experience",14.9230769230769,65
15,"7","average",16,55
15,"7","experience",17.3220338983051,59
15.1,"3","average",13.2045454545455,44
15.1,"3","experience",14.6590909090909,44
15.1,"5","average",14.7567567567568,37
15.1,"5","experience",15.1458333333333,48
15.1,"7","average",18,33
15.1,"7","experience",16.4102564102564,39
15.2,"3","average",15.4285714285714,7
15.2,"3","experience",13.6,5
15.2,"5","average",14.875,8
15.2,"5","experience",17.5,10
15.2,"7","average",16.2222222222222,9
15.2,"7","experience",19.5,4
15.3,"5","average",15,1
15.3,"7","average",16,1
15.7,"3","average",11,1
15.7,"5","experience",14,1
15.8,"3","average",10.8,10
15.8,"3","experience",13.1428571428571,7
15.8,"5","average",15.5714285714286,7
15.8,"5","experience",15.25,8
15.8,"7","average",22,3
15.8,"7","experience",20.375,8
