"response_value","variance_level","condition","mean_true","n_trials"
1,"3","average",14.3,3
1,"3","experience",16.95,2
1,"5","average",15.7,3
1,"5","experience",15.1,1
1,"7","average",22.45,2
1,"7","experience",14.9666666666667,3
2,"3","average",15.95,4
2,"3","experience",15,3
2,"5","average",19.55,2
2,"5","experience",14.5,2
3,"3","average",16.3142857142857,7
3,"3","experience",16.58,5
3,"5","average",15.25,4
3,"5","experience",17.85,2
3,"7","average",14.45,2
3,"7","experience",17.3166666666667,6
4,"3","average",16.6125,8
4,"3","experience",16.9,8
4,"5","average",16.9666666666667,3
4,"5","experience",17.275,4
4,"7","average",15.05,2
4,"7","experience",17.16,5
5,"3","average",16.9555555555556,9
5,"3","experience",15.9857142857143,14
5,"5","average",21.05,2
5,"5","experience",17,5
5,"7","average",18.98,5
5,"7","experience",17.26,10
6,"3","average",18.0884615384615,26
6,"3","experience",16.15,18
6,"5","average",15.7444444444444,9
6,"5","experience",15.8071428571429,14
6,"7","average",16.3428571428571,7
6,"7","experience",16.74,5
7,"3","average",16.2285714285714,14
7,"3","experience",16.1259259259259,27
7,"5","average",16.2571428571429,21
7,"5","experience",16.4217391304348,23
7,"7","average",17.3375,8
7,"7","experience",18.0642857142857,14
8,"3","average",16.8757575757576,33
8,"3","experience",16.59,30
8,"5","average",17.1684210526316,19
8,"5","experience",17.4333333333333,21
8,"7","average",18.552380952381,21
8,"7","experience",15.8214285714286,14
9,"3","average",16.805,40
9,"3","experience",17.7138888888889,36
9,"5","average",16.2433333333333,30
9,"5","experience",17.1055555555556,36
9,"7","average",16.909375,32
9,"7","experience",18.0565217391304,23
10,"3","average",17.5262295081967,61
10,"3","experience",17.4212765957447,47
10,"5","average",17.6081632653061,49
10,"5","experience",16.68,40
10,"7","average",17.9628571428571,35
10,"7","experience",16.4852941176471,34
11,"3","average",16.8525641025641,78
11,"3","experience",17.2,81
11,"5","average",16.7390243902439,41
11,"5","experience",17.325,56
11,"7","average",17.7578947368421,57
11,"7","experience",17.95,42
12,"3","average",18.1928571428571,84
12,"3","experience",17.35,92
12,"5","average",17.865671641791,67
12,"5","experience",17.3543859649123,57
12,"7","average",17.9965517241379,58
12,"7","experience",19.2074074074074,54
13,"3","average",18.3142857142857,105
13,"3","experience",17.7954128440367,109
13,"5","average",18.0101449275362,69
13,"5","experience",18.8641975308642,81
13,"7","average",17.8986486486486,74
13,"7","experience",18.0135593220339,59
14,"3","average",18.2228346456693,127
14,"3","experience",17.6582608695652,115
14,"5","average",18.6615384615385,104
14,"5","experience",18.7125,96
14,"7","average",19.5175675675676,74
14,"7","experience",18.6647727272727,88
15,"3","average",18.6783582089552,134
15,"3","experience",19.0322368421053,152
15,"5","average",17.9401709401709,117
15,"5","experience",18.3300884955752,113
15,"7","average",19.5267326732673,101
15,"7","experience",19.438202247191,89
16,"3","average",19.0188405797101,138
16,"3","experience",18.8606060606061,132
16,"5","average",19.1701492537313,134
16,"5","experience",18.8930434782609,115
16,"7","average",18.8061946902655,113
16,"7","experience",19.9326732673267,101
17,"3","average",20.0527027027027,148
17,"3","experience",19.5539568345324,139
17,"5","average",19.3397163120567,141
17,"5","experience",19.1808510638298,141
17,"7","average",20.1185840707965,113
17,"7","experience",19.6728971962617,107
18,"3","average",20.8340277777778,144
18,"3","experience",20.2046052631579,152
18,"5","average",20.4682634730539,167
18,"5","experience",19.9535433070866,127
18,"7","average",20.4593333333333,150
18,"7","experience",20.7574074074074,108
19,"3","average",20.866049382716,162
19,"3","experience",19.9929078014184,141
19,"5","average",21.2335616438356,146
19,"5","experience",20.4125,144
19,"7","average",21.0585714285714,140
19,"7","experience",20.4309734513274,113
20,"3","average",21.5187050359712,139
20,"3","experience",21.6615942028986,138
20,"5","average",21.281935483871,155
20,"5","experience",20.593288590604,149
20,"7","average",22.1811688311688,154
20,"7","experience",20.6641025641026,156
21,"3","average",22.9606299212598,127
21,"3","experience",21.6127118644068,118
21,"5","average",21.8786516853933,178
21,"5","experience",21.6812903225806,155
21,"7","average",22.3403846153846,156
21,"7","experience",22.7801418439716,141
22,"3","average",23.9392592592593,135
22,"3","experience",23.5768,125
22,"5","average",22.374,150
22,"5","experience",23.3765100671141,149
22,"7","average",22.5263473053892,167
22,"7","experience",22.2858208955224,134
