"experiment","model","term","b","SE","df","t","p"
"exp4","combined","(Intercept)",24.3410403936123,0.0275961394293523,14538.0754210065,882.045130114189,0
"exp4","combined","resp_c",0.623495743032636,0.0145949732056695,97.1131506153629,42.7198963812029,9.21889974359181e-65
"exp4","combined","variance_level1",0.174980974360776,0.076067857513325,92.9830768865375,2.3003273666558,0.0236659553196158
"exp4","combined","variance_level2",-0.112183130286105,0.0414443412024081,100.832051710218,-2.7068383048537,0.00797884317556415
"exp4","combined","condition1",0.00901846806166947,0.0275961394293523,14538.0753608116,0.326801800837297,0.743822501979452
"exp4","combined","resp_c:variance_level1",0.00114110833590033,0.0047936656417906,20886.0738734905,0.238045041346289,0.811848495284139
"exp4","combined","resp_c:variance_level2",0.0152642078914303,0.00500351678467881,20911.1259403233,3.05069585020093,0.00228597638794903
"exp4","combined","resp_c:condition1",0.0126249346745621,0.0145949732056695,97.1131506240527,0.865019380073806,0.389159943361861
"exp4","combined","variance_level1:condition1",-0.00908545492787925,0.0760678575133251,92.9830769036547,-0.119438817194079,0.905185388038358
"exp4","combined","variance_level2:condition1",-0.0508737893362295,0.0414443412024081,100.832051542366,-1.2275207630342,0.222484988975922
"exp4","combined","resp_c:variance_level1:condition1",-0.0106678459394382,0.0047936656417906,20886.073877687,-2.22540467704657,0.0260647190252963
"exp4","combined","resp_c:variance_level2:condition1",0.0088728039117947,0.00500351678467881,20911.1259240946,1.7733135100024,0.076191323749897
"exp4","experience","(Intercept)",24.3318705022824,0.0388931395718802,3775.36773966344,625.608289022631,0
"exp4","experience","resp_c",0.610181722400539,0.0207719449419624,47.7761022404415,29.3752811354646,3.09624368460086e-32
"exp4","experience","variance_level1",0.181203186717536,0.12626252214814,45.3549439122732,1.43513042219239,0.15811045778569
"exp4","experience","variance_level2",-0.0611087797479474,0.0634576715569089,49.1285146754637,-0.962984903931513,0.340271256376456
"exp4","experience","resp_c:variance_level1",0.0118215450515728,0.00658826248935749,10385.681457226,1.79433425287305,0.0727889071904373
"exp4","experience","resp_c:variance_level2",0.00635712555449057,0.00684642148563843,10377.1774567845,0.928532601714012,0.353152961420126
"exp4","average","(Intercept)",24.3500750024654,0.0391990361851966,4808.30319864113,621.190656000392,0
"exp4","average","resp_c",0.636324497109827,0.0206644577814107,49.2870098366592,30.7931862447536,7.4988186952476e-34
"exp4","average","variance_level1",0.166069415420222,0.0898938206398973,51.2672842008041,1.84739522959508,0.0704638560433606
"exp4","average","variance_level2",-0.162568439157707,0.0559399478464678,1086.0750326244,-2.9061242531704,0.00373363770249456
"exp4","average","resp_c:variance_level1",-0.00963381137763168,0.00696665998544355,10525.5334576536,-1.38284506460212,0.166741712852921
"exp4","average","resp_c:variance_level2",0.0241488738358953,0.00729935937226787,10538.7949157042,3.30835524109733,0.000941601778970335
