"experiment","tail","condition","variance_level","n_trials","mean_report","mean_obj","se_obj"
"exp4","high","average","3",225,40.2933333333333,32.0355555555556,0.176769711388002
"exp4","high","average","5",185,39.5243243243243,31.6956756756757,0.227798985526086
"exp4","high","average","7",190,39.5210526315789,30.6184210526316,0.321395485064723
"exp4","high","experience","3",267,40.314606741573,31.974531835206,0.192369680871061
"exp4","high","experience","5",231,39.8311688311688,31.3688311688312,0.231693394773237
"exp4","high","experience","7",262,39.8320610687023,31.1473282442748,0.231682105649136
"exp4","low","average","3",472,10.228813559322,17.5165254237288,0.153733671668695
"exp4","low","average","5",319,10.3636363636364,17.3216300940439,0.197716722338941
"exp4","low","average","7",303,10.6600660066007,17.7947194719472,0.225660560773866
"exp4","low","experience","3",472,10.3135593220339,17.225,0.147029143376826
"exp4","low","experience","5",342,10.3567251461988,17.4543859649123,0.180198909651539
"exp4","low","experience","7",269,10.2416356877323,17.8252788104089,0.239986385761918
