"experiment","window","condition","variance_level","n_trials","mean_report","mean_obj","se_obj"
"exp4","high","average","3",126,39.2222222222222,31.7928571428571,0.239741073479129
"exp4","high","average","5",120,39.4416666666667,31.5316666666667,0.300992716378307
"exp4","high","average","7",130,39.5846153846154,30.3007692307692,0.422828728630556
"exp4","high","experience","3",146,39.5342465753425,31.9890410958904,0.253225061513709
"exp4","high","experience","5",133,39.6466165413534,31.0383458646617,0.332015603066411
"exp4","high","experience","7",154,39.5194805194805,31.1883116883117,0.295794229728496
"exp4","low","average","3",296,10.472972972973,17.3679054054054,0.172928651801068
"exp4","low","average","5",206,10.5194174757282,17.2796116504854,0.24781471469358
"exp4","low","average","7",203,10.487684729064,17.8098522167488,0.279150835371514
"exp4","low","experience","3",286,10.5909090909091,17.2853146853147,0.19356911327866
"exp4","low","experience","5",210,10.4380952380952,17.1833333333333,0.215162947077544
"exp4","low","experience","7",167,10.5928143712575,17.8946107784431,0.311882903423193
