"experiment","group","level","n_trials","mean_item_sd","r","sd_objective","sd_report","sd_ratio","slope","split_from","split_to","log_change_slope","log_change_from_r","log_change_from_sd_ratio","share_from_r","share_from_sd_ratio","paired_n","paired_p_r","paired_p_sd_ratio"
"exp1","all",2,1008,4,0.744419246334983,6.56087921695393,7.81229717455585,1.19073936834078,0.886409303161634,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","all",6,1025,4.32049379893857,0.702721223236471,6.63951491599095,7.75386754996051,1.16783645312487,0.820663460880047,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","all",8,999,5.47722557505166,0.664734218639652,6.58337185038642,7.47674056662088,1.1357007832061,0.75493917273295,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","all",12,1002,5.45180907793204,0.700369287429246,6.60556663144217,7.69027509805178,1.16421126712226,0.815377815571514,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","average",2,530,4,0.720368000280999,6.41385748614024,7.9552678211088,1.24032500539643,0.893490443835942,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","average",6,535,4.32049379893857,0.697049277790017,6.535462895558,7.67395485203727,1.17420219113371,0.818476789309208,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","average",8,524,5.47722557505166,0.662922333724598,6.449715690622,7.33626209726916,1.13745511417445,0.754044398795502,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","average",12,522,5.45180907793204,0.655766259588199,6.69519025506504,7.25816366884145,1.08408624584649,0.710907182509764,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","experience",2,478,4,0.771712763874573,6.71641758400833,7.65083753952432,1.13912475569429,0.879077113614789,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp1","experience",6,490,4.32049379893857,0.708945431820496,6.7578470883973,7.84150250157123,1.16035512479033,0.822628465009608,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp1","experience",8,475,5.47722557505166,0.666289755942456,6.73217705544501,7.63189292389889,1.13364411854352,0.755335463069964,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp1","experience",12,480,5.45180907793204,0.747971362840303,6.50929239373106,8.13228402381058,1.24933457154922,0.934466482125175,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp2","all",2,5012,4,0.761109745363318,6.53551381141113,7.38216891779447,1.12954683148325,0.85970910128616,"2","20",-0.0725465583998392,-0.0474974132961809,-0.0250491451036584,0.654716286255781,0.34528371374422,163,8.08824201996778e-05,0.0459060189610415
"exp2","all",10,5019,5.9464274989274,0.716927369007846,6.6100061654701,6.92490140824217,1.04763917534859,0.751081197652211,"2","20",-0.0725465583998392,-0.0474974132961809,-0.0250491451036584,0.654716286255781,0.34528371374422,163,8.08824201996778e-05,0.0459060189610415
"exp2","all",20,5003,5.5,0.72580410181958,6.5900576386502,7.25963438921512,1.10160408106872,0.799548760620863,"2","20",-0.0725465583998392,-0.0474974132961809,-0.0250491451036584,0.654716286255781,0.34528371374422,163,8.08824201996778e-05,0.0459060189610415
"exp2","average",2,2643,4,0.767401320474083,6.5741073117107,6.92171103911248,1.05287466585502,0.807977408870854,"2","20",-0.0867289710196747,-0.0507698407991822,-0.0359591302204925,0.585385024199871,0.414614975800129,86,0.00101796888790678,0.0315734588672048
"exp2","average",10,2643,5.9464274989274,0.708920272818441,6.62416936105492,6.35955857629629,0.960053741029882,0.680601560011269,"2","20",-0.0867289710196747,-0.0507698407991822,-0.0359591302204925,0.585385024199871,0.414614975800129,86,0.00101796888790678,0.0315734588672048
"exp2","average",20,2641,5.5,0.729412968372599,6.65235306888638,6.75670744528273,1.01568683672014,0.740855150509014,"2","20",-0.0867289710196747,-0.0507698407991822,-0.0359591302204925,0.585385024199871,0.414614975800129,86,0.00101796888790678,0.0315734588672048
"exp2","experience",2,2369,4,0.759055232819019,6.4931252606848,7.85493801156619,1.20973147694024,0.918253007877367,"2","20",-0.0559795856691776,-0.0429004392529862,-0.0130791464161914,0.766358641997009,0.23364135800299,77,0.0254847643975478,0.582370851472198
"exp2","experience",10,2376,5.9464274989274,0.729295155085159,6.59276028792613,7.49636935274476,1.13706080994231,0.829252939728132,"2","20",-0.0559795856691776,-0.0429004392529862,-0.0130791464161914,0.766358641997009,0.23364135800299,77,0.0254847643975478,0.582370851472198
"exp2","experience",20,2362,5.5,0.727180048192222,6.51997812158832,7.78493370122041,1.19401224299261,0.868261880401469,"2","20",-0.0559795856691776,-0.0429004392529862,-0.0130791464161914,0.766358641997009,0.23364135800299,77,0.0254847643975478,0.582370851472198
"exp3","all",2,2570,4,0.762893991007932,6.53257227821877,7.26013324654859,1.11137434648151,0.847860810691109,"2","20",-0.0439140835111131,-0.0300371454299908,-0.0138769380811223,0.683998003109628,0.316001996890373,84,0.0214911233690564,0.138923049487789
"exp3","all",10,2578,5.9464274989274,0.724004074474258,6.55867907665081,6.74145714032431,1.02786812123865,0.744180707798983,"2","20",-0.0439140835111131,-0.0300371454299908,-0.0138769380811223,0.683998003109628,0.316001996890373,84,0.0214911233690564,0.138923049487789
"exp3","all",20,2560,5.5,0.740319566145282,6.54490021143051,7.17359277910189,1.09605838857151,0.81143347069716,"2","20",-0.0439140835111131,-0.0300371454299908,-0.0138769380811223,0.683998003109628,0.316001996890373,84,0.0214911233690564,0.138923049487789
"exp3","average",2,1408,4,0.771312988805006,6.65317829077203,7.06611481912719,1.06206605479488,0.81918534303218,"2","20",-0.0965675825786955,-0.0651592015769686,-0.0314083810017271,0.674752332376847,0.325247667623154,46,0.00292264954443552,0.151458577492237
"exp3","average",10,1401,5.9464274989274,0.701776783475321,6.48569412647604,6.48692807355385,1.00019025674874,0.701910301244485,"2","20",-0.0965675825786955,-0.0651592015769686,-0.0314083810017271,0.674752332376847,0.325247667623154,46,0.00292264954443552,0.151458577492237
"exp3","average",20,1392,5.5,0.722657248557561,6.54592768249283,6.73724351208278,1.02922669465195,0.743778131299169,"2","20",-0.0965675825786955,-0.0651592015769686,-0.0314083810017271,0.674752332376847,0.325247667623154,46,0.00292264954443552,0.151458577492237
"exp3","experience",2,1162,4,0.754808104316457,6.38033465988582,7.46113776292572,1.16939598949802,0.88266957002827,"2","20",0.00918222319490913,0.00949903309885648,-0.000316809903947429,1.03450252702668,-0.0345025270266875,38,0.867073097020743,0.598478379668352
"exp3","experience",10,1177,5.9464274989274,0.748352173894482,6.64644802614432,7.03249951813371,1.05808388036299,0.791819372032351,"2","20",0.00918222319490913,0.00949903309885648,-0.000316809903947429,1.03450252702668,-0.0345025270266875,38,0.867073097020743,0.598478379668352
"exp3","experience",20,1168,5.5,0.762012213347919,6.54413313116186,7.65025897654717,1.16902557194599,0.890811763538878,"2","20",0.00918222319490913,0.00949903309885648,-0.000316809903947429,1.03450252702668,-0.0345025270266875,38,0.867073097020743,0.598478379668352
"exp4","all",3,7014,2.85894103472694,0.798558947584391,6.28474618621583,8.52651599959691,1.35670013505046,1.0834050320335,"3","7",-0.28282617091642,-0.164312968477264,-0.118513202439155,0.580968048129541,0.419031951870459,101,3.24750307954322e-27,3.43694802714855e-12
"exp4","all",5,7027,4.74650812437592,0.748850707819426,6.20140843688685,7.7624518286181,1.25172400876645,0.937354409959325,"3","7",-0.28282617091642,-0.164312968477264,-0.118513202439155,0.580968048129541,0.419031951870459,101,3.24750307954322e-27,3.43694802714855e-12
"exp4","all",7,7037,6.64600552683267,0.677558448140895,6.2269116612741,7.50389836123684,1.2050754482201,0.816509050588703,"3","7",-0.28282617091642,-0.164312968477264,-0.118513202439155,0.580968048129541,0.419031951870459,101,3.24750307954322e-27,3.43694802714855e-12
"exp4","average",3,3525,2.85823475850005,0.796658115857737,6.22666266013344,8.34752387003571,1.34060962118298,1.06800753491239,"3","7",-0.309658740186787,-0.17007750456089,-0.139581235625896,0.549241737721659,0.450758262278341,51,1.22679633312933e-13,4.31499751070961e-10
"exp4","average",5,3536,4.74673297381731,0.751777209551349,6.23196497206035,7.5382248363808,1.20960641951243,0.909354538716454,"3","7",-0.309658740186787,-0.17007750456089,-0.139581235625896,0.549241737721659,0.450758262278341,51,1.22679633312933e-13,4.31499751070961e-10
"exp4","average",7,3542,6.64737320029195,0.672060333445532,6.25900442664956,7.29773737333245,1.16595817415629,0.783594239307018,"3","7",-0.309658740186787,-0.17007750456089,-0.139581235625896,0.549241737721659,0.450758262278341,51,1.22679633312933e-13,4.31499751070961e-10
"exp4","experience",3,3489,2.85965459841276,0.800505541147821,6.34360546666974,8.70306954875198,1.37194369897044,1.09824853316868,"3","7",-0.255691105948135,-0.157593621393469,-0.0980974845546665,0.616343774685051,0.38365622531495,50,8.11147623999958e-15,0.000289700794712257
"exp4","experience",5,3491,4.74628037656018,0.746903595702908,6.1711247515912,7.98411364879026,1.29378581217817,0.966333275185285,"3","7",-0.255691105948135,-0.157593621393469,-0.0980974845546665,0.616343774685051,0.38365622531495,50,8.11147623999958e-15,0.000289700794712257
"exp4","experience",7,3495,6.64461946119812,0.68378930266355,6.1950873053767,7.70513982589565,1.24374999835892,0.850462944065639,"3","7",-0.255691105948135,-0.157593621393469,-0.0980974845546665,0.616343774685051,0.38365622531495,50,8.11147623999958e-15,0.000289700794712257
"exp2_batch2","all",2,3196,4,0.775502696397011,6.55923398513594,7.52262381817291,1.14687535697311,0.889404931763929,"2","20",-0.0760664843092621,-0.0482132931872164,-0.0278531911220458,0.633830965438031,0.36616903456197,104,0.000620201997381296,0.056591264483844
"exp2_batch2","all",10,3214,5.9464274989274,0.71514235883545,6.59460032677625,6.90971309082514,1.04778345137452,0.749314328964722,"2","20",-0.0760664843092621,-0.0482132931872164,-0.0278531911220458,0.633830965438031,0.36616903456197,104,0.000620201997381296,0.056591264483844
"exp2_batch2","all",20,3199,5.5,0.739000181390431,6.57090204404046,7.32900008752971,1.11537198978287,0.824260102767344,"2","20",-0.0760664843092621,-0.0482132931872164,-0.0278531911220458,0.633830965438031,0.36616903456197,104,0.000620201997381296,0.056591264483844
"exp2_batch2","average",2,1746,4,0.778441325925967,6.64471623479445,7.05910728528248,1.06236399506695,0.826988036935927,"2","20",-0.0853850398990294,-0.0528962184845049,-0.0324888214145246,0.619502181495218,0.380497818504784,57,0.00158233453326299,0.0723590144529211
"exp2_batch2","average",10,1762,5.9464274989274,0.706944312335928,6.57330339913503,6.40131453616908,0.973835246523296,0.6884472886819,"2","20",-0.0853850398990294,-0.0528962184845049,-0.0324888214145246,0.619502181495218,0.380497818504784,57,0.00158233453326299,0.0723590144529211
"exp2_batch2","average",20,1758,5.5,0.738334815928527,6.65209670132772,6.84104081484713,1.02840369315162,0.759306251483317,"2","20",-0.0853850398990294,-0.0528962184845049,-0.0324888214145246,0.619502181495218,0.380497818504784,57,0.00158233453326299,0.0723590144529211
"exp2_batch2","experience",2,1450,4,0.777618843153058,6.45496387583424,8.0325548764521,1.24439966372608,0.967668626926726,"2","20",-0.0635221910514526,-0.0418593056076622,-0.0216628854437904,0.658971375432506,0.341028624567493,47,0.098955873122258,0.420200263359433
"exp2_batch2","experience",10,1452,5.9464274989274,0.727365658230692,6.6201647791025,7.47841538592007,1.12964187984063,0.821662709495235,"2","20",-0.0635221910514526,-0.0418593056076622,-0.0216628854437904,0.658971375432506,0.341028624567493,47,0.098955873122258,0.420200263359433
"exp2_batch2","experience",20,1441,5.5,0.745740123576146,6.47272945879165,7.88205150863715,1.21773226562579,0.908111810250437,"2","20",-0.0635221910514526,-0.0418593056076622,-0.0216628854437904,0.658971375432506,0.341028624567493,47,0.098955873122258,0.420200263359433
"short_exposure","all",2,1144,4,0.79129623068567,6.70405733065353,7.65412508764049,1.14171533895495,0.903435044231061,"2","20",-0.0573153571025802,-0.061743711711086,0.00442835460850559,1.0772629681183,-0.0772629681182993,37,0.0165230598196652,0.892011698596414
"short_exposure","all",10,1148,5.9464274989274,0.758014969090897,6.68467041748876,7.376892995215,1.10355373331724,0.836510249050609,"2","20",-0.0573153571025802,-0.061743711711086,0.00442835460850559,1.0772629681183,-0.0772629681182993,37,0.0165230598196652,0.892011698596414
"short_exposure","all",20,1139,5.5,0.743916418240181,6.56293151890246,7.52625482152706,1.14678247058499,0.853110308018212,"2","20",-0.0573153571025802,-0.061743711711086,0.00442835460850559,1.0772629681183,-0.0772629681182993,37,0.0165230598196652,0.892011698596414
"short_exposure","experience",2,1144,4,0.79129623068567,6.70405733065353,7.65412508764049,1.14171533895495,0.903435044231061,"2","20",-0.0573153571025802,-0.061743711711086,0.00442835460850559,1.0772629681183,-0.0772629681182993,37,0.0165230598196652,0.892011698596414
"short_exposure","experience",10,1148,5.9464274989274,0.758014969090897,6.68467041748876,7.376892995215,1.10355373331724,0.836510249050609,"2","20",-0.0573153571025802,-0.061743711711086,0.00442835460850559,1.0772629681183,-0.0772629681182993,37,0.0165230598196652,0.892011698596414
"short_exposure","experience",20,1139,5.5,0.743916418240181,6.56293151890246,7.52625482152706,1.14678247058499,0.853110308018212,"2","20",-0.0573153571025802,-0.061743711711086,0.00442835460850559,1.0772629681183,-0.0772629681182993,37,0.0165230598196652,0.892011698596414
