"comparison_set","experiment","measure","contrast","estimate","SE","df","t.ratio","p.value"
"noise","short_exposure","slope_fwd","X2 - X10",0.0879801133121055,0.026684239574171,36,3.29708152512864,0.00609350839211631
"noise","short_exposure","slope_fwd","X2 - X20",0.0543179848851826,0.0379602094644339,36,1.43091899785418,0.336070913423659
"noise","short_exposure","slope_fwd","X10 - X20",-0.033662128426923,0.0309399487256794,36,-1.08798268301538,0.527566835978647
"noise","short_exposure","slope_rev","X2 - X10",0.0124696166788772,0.0291082313493069,36,0.428387988580906,0.904065317182366
"noise","short_exposure","slope_rev","X2 - X20",0.0543381320937307,0.0269237499791134,36,2.01822302375726,0.122342334840978
"noise","short_exposure","slope_rev","X10 - X20",0.0418685154148535,0.023455296835318,36,1.78503455781509,0.18895456593222
"noise","short_exposure","r","X2 - X10",0.130087143152659,0.0465803867340763,36,2.7927450215327,0.0221183212897874
"noise","short_exposure","r","X2 - X20",0.133007923585556,0.0528933522128735,36,2.51464348582512,0.0426483190397956
"noise","short_exposure","r","X10 - X20",0.00292078043289656,0.0485767359468329,36,0.0601271447322716,0.998008906517316
"noise","short_exposure","bias","X2 - X10",-2.68281753965152,0.261470370547629,36,-10.2605030697458,9.05320263200338e-12
"noise","short_exposure","bias","X2 - X20",-2.8667666584032,0.386717020900422,36,-7.41308632272842,2.82484978741948e-08
"noise","short_exposure","bias","X10 - X20",-0.183949118751677,0.251493104927492,36,-0.731428079528112,0.746600526723597
"noise","short_exposure","abs_error","X2 - X10",0.160312117496487,0.206287823899332,36,0.777128356226776,0.719288887987121
"noise","short_exposure","abs_error","X2 - X20",-0.0891935644925095,0.255576490015078,36,-0.348989707493234,0.9351901185823
"noise","short_exposure","abs_error","X10 - X20",-0.249505681988996,0.177120646755131,36,-1.40867643925181,0.347188385292657
"noise","short_exposure","sd_response","X2 - X10",0.284788990782351,0.191867339442148,36,1.48430155757812,0.310260635214317
"noise","short_exposure","sd_response","X2 - X20",0.0982897054198748,0.245415076398063,36,0.400503941577123,0.915589432309275
"noise","short_exposure","sd_response","X10 - X20",-0.186499285362476,0.184047269819172,36,-1.01332274880096,0.573386706713809
"noise","short_exposure","sd_objective","X2 - X10",0.0162477688537574,0.122491120042231,36,0.132644463110107,0.99034947539964
"noise","short_exposure","sd_objective","X2 - X20",0.133790039458877,0.113171964510899,36,1.18218359146706,0.471276447149468
"noise","short_exposure","sd_objective","X10 - X20",0.11754227060512,0.111761888500761,36,1.05172051208064,0.549721342624627
"noise","short_exposure","mean_rt","X2 - X10",57.655183508632,30.6121798635059,36,1.88340666250185,0.158100499806973
"noise","short_exposure","mean_rt","X2 - X20",-1.99822539944125,32.6648358296552,36,-0.0611735938261516,0.997939074358162
"noise","short_exposure","mean_rt","X10 - X20",-59.6534089080733,38.8411983862161,36,-1.53582822844217,0.286546425396002
