"participant_id","condition","array_length","band","n_trials","dist","inward"
"experience.55ecd6ff748092000daa9f5f","experience","2","extreme",15,8.31205673758865,0.866666666666666
"experience.55ecd6ff748092000daa9f5f","experience","2","middle",17,2.62327909887359,3.70588235294118
"experience.55ecd6ff748092000daa9f5f","experience","10","extreme",22,7.99825918762089,0.981818181818183
"experience.55ecd6ff748092000daa9f5f","experience","10","middle",8,2.125,-0.5
"experience.55ecd6ff748092000daa9f5f","experience","20","extreme",19,7.70828667413214,0.921052631578948
"experience.55ecd6ff748092000daa9f5f","experience","20","middle",13,2.83224222585925,-1.26923076923077
"experience.56b53292a9d33a000c8981a6","experience","2","extreme",16,8.8560393258427,2.375
"experience.56b53292a9d33a000c8981a6","experience","2","middle",14,3.42215088282504,0.357142857142857
"experience.56b53292a9d33a000c8981a6","experience","10","extreme",18,8.31073657927591,3.12222222222222
"experience.56b53292a9d33a000c8981a6","experience","10","middle",12,1.83333333333333,0.25
"experience.56b53292a9d33a000c8981a6","experience","20","extreme",17,8.86715135492399,1.32352941176471
"experience.56b53292a9d33a000c8981a6","experience","20","middle",12,2.10861423220974,1.08333333333333
"experience.59205f5005b0ce000123c6e6","experience","2","extreme",13,8.62089068825911,-0.846153846153846
"experience.59205f5005b0ce000123c6e6","experience","2","middle",19,3.03390581717452,0.578947368421052
"experience.59205f5005b0ce000123c6e6","experience","10","extreme",20,7.72715789473684,0.520000000000001
"experience.59205f5005b0ce000123c6e6","experience","10","middle",11,3.42985645933014,1.8
"experience.59205f5005b0ce000123c6e6","experience","20","extreme",19,7.96991689750693,0.289473684210526
"experience.59205f5005b0ce000123c6e6","experience","20","middle",13,2.32963562753036,0.192307692307692
"experience.5b6db9e0580154000153cc64","experience","2","extreme",13,8.9315649867374,2.84615384615385
"experience.5b6db9e0580154000153cc64","experience","2","middle",15,3.00245210727969,0.466666666666667
"experience.5b6db9e0580154000153cc64","experience","10","extreme",14,8.28949096880132,2.8
"experience.5b6db9e0580154000153cc64","experience","10","middle",15,2.85088122605364,1.12
"experience.5b6db9e0580154000153cc64","experience","20","extreme",18,8.09885057471264,1.5
"experience.5b6db9e0580154000153cc64","experience","20","middle",12,1.41053639846743,-1.75
"experience.5d6b2515783298001a763157","experience","2","extreme",14,9.6445652173913,0.785714285714286
"experience.5d6b2515783298001a763157","experience","2","middle",15,2.93413043478261,0.0666666666666668
"experience.5d6b2515783298001a763157","experience","10","extreme",21,8.2481884057971,0.81904761904762
