"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"experience.55ecd6ff748092000daa9f5f","experience","2",2,8,7,-3,5.28571428571429,1.14285714285714
"experience.55ecd6ff748092000daa9f5f","experience","10",2,12,10,-0.699999999999999,3,1.15
"experience.55ecd6ff748092000daa9f5f","experience","20",2,8,11,-1.625,2.77272727272727,0.573863636363636
"experience.56b53292a9d33a000c8981a6","experience","2",2,9,7,-0.111111111111111,5.57142857142857,2.73015873015873
"experience.56b53292a9d33a000c8981a6","experience","10",2,11,7,3.8,2.05714285714286,2.92857142857143
"experience.56b53292a9d33a000c8981a6","experience","20",2,11,6,1.59090909090909,0.833333333333333,1.21212121212121
"experience.59205f5005b0ce000123c6e6","experience","2",2,6,7,-1.83333333333333,0,-0.916666666666667
"experience.59205f5005b0ce000123c6e6","experience","10",2,9,11,-3.86666666666667,4.10909090909091,0.121212121212122
"experience.59205f5005b0ce000123c6e6","experience","20",2,10,9,-1.7,2.5,0.4
"experience.5b6db9e0580154000153cc64","experience","2",2,5,8,4.2,2,3.1
"experience.5b6db9e0580154000153cc64","experience","10",2,9,5,4.57777777777778,-0.399999999999997,2.08888888888889
"experience.5b6db9e0580154000153cc64","experience","20",2,12,6,4,-3.5,0.25
"experience.5d6b2515783298001a763157","experience","2",2,6,8,-1.66666666666667,2.625,0.479166666666667
"experience.5d6b2515783298001a763157","experience","10",2,10,11,5.32907051820075e-16,1.56363636363637,0.781818181818183
"experience.5d6b2515783298001a763157","experience","20",2,12,9,-0.916666666666667,1.72222222222222,0.402777777777778
"experience.5e03e20e4cac68ec33187d80","experience","2",2,11,11,-0.090909090909091,0.818181818181818,0.363636363636364
"experience.5e03e20e4cac68ec33187d80","experience","10",2,9,10,2.35555555555556,1.5,1.92777777777778
"experience.5e03e20e4cac68ec33187d80","experience","20",2,8,8,2.875,0,1.4375
"experience.5e076480c4e1550e2114f006","experience","2",2,4,9,-1,1.22222222222222,0.111111111111111
"experience.5e076480c4e1550e2114f006","experience","10",2,7,11,1.37142857142857,2.2,1.78571428571429
"experience.5e076480c4e1550e2114f006","experience","20",2,13,6,0.884615384615384,0.833333333333333,0.858974358974359
"experience.5e3adfc595ff562fbdd130fa","experience","2",2,9,10,-2.22222222222222,3.9,0.838888888888889
"experience.5e3adfc595ff562fbdd130fa","experience","10",2,5,10,-0.399999999999999,5.7,2.65
"experience.5e3adfc595ff562fbdd130fa","experience","20",2,10,6,0.1,4,2.05
"experience.5e437d7404eaba215eafbd2a","experience","2",2,7,9,1.85714285714286,1.77777777777778,1.81746031746032
"experience.5e437d7404eaba215eafbd2a","experience","10",2,7,11,0.942857142857144,-0.890909090909088,0.0259740259740277
"experience.5e437d7404eaba215eafbd2a","experience","20",2,11,2,3.77272727272727,0,1.88636363636364
"experience.5f4813c94e8b081877fb26a6","experience","2",2,8,5,0,-5.8,-2.9
"experience.5f4813c94e8b081877fb26a6","experience","10",2,10,9,1.5,-5.46666666666667,-1.98333333333333
"experience.5f4813c94e8b081877fb26a6","experience","20",2,8,7,-2,-5.64285714285714,-3.82142857142857
"experience.5ff07b5ee7a1d23e719e421e","experience","2",2,10,8,2.1,2.875,2.4875
"experience.5ff07b5ee7a1d23e719e421e","experience","10",2,8,13,8.175,-1.95384615384615,3.11057692307692
