"participant_id","condition","array_length","side","n_trials","inward"
"experience.55ecd6ff748092000daa9f5f","experience","2","high",7,5.28571428571429
"experience.55ecd6ff748092000daa9f5f","experience","2","low",8,-3
"experience.55ecd6ff748092000daa9f5f","experience","10","high",10,3
"experience.55ecd6ff748092000daa9f5f","experience","10","low",12,-0.699999999999999
"experience.55ecd6ff748092000daa9f5f","experience","20","high",11,2.77272727272727
"experience.55ecd6ff748092000daa9f5f","experience","20","low",8,-1.625
"experience.56b53292a9d33a000c8981a6","experience","2","high",7,5.57142857142857
"experience.56b53292a9d33a000c8981a6","experience","2","low",9,-0.111111111111111
"experience.56b53292a9d33a000c8981a6","experience","10","high",7,2.05714285714286
"experience.56b53292a9d33a000c8981a6","experience","10","low",11,3.8
"experience.56b53292a9d33a000c8981a6","experience","20","high",6,0.833333333333333
"experience.56b53292a9d33a000c8981a6","experience","20","low",11,1.59090909090909
"experience.59205f5005b0ce000123c6e6","experience","2","high",7,0
"experience.59205f5005b0ce000123c6e6","experience","2","low",6,-1.83333333333333
"experience.59205f5005b0ce000123c6e6","experience","10","high",11,4.10909090909091
"experience.59205f5005b0ce000123c6e6","experience","10","low",9,-3.86666666666667
"experience.59205f5005b0ce000123c6e6","experience","20","high",9,2.5
"experience.59205f5005b0ce000123c6e6","experience","20","low",10,-1.7
"experience.5b6db9e0580154000153cc64","experience","2","high",8,2
"experience.5b6db9e0580154000153cc64","experience","2","low",5,4.2
"experience.5b6db9e0580154000153cc64","experience","10","high",5,-0.399999999999997
"experience.5b6db9e0580154000153cc64","experience","10","low",9,4.57777777777778
"experience.5b6db9e0580154000153cc64","experience","20","high",6,-3.5
"experience.5b6db9e0580154000153cc64","experience","20","low",12,4
"experience.5d6b2515783298001a763157","experience","2","high",8,2.625
"experience.5d6b2515783298001a763157","experience","2","low",6,-1.66666666666667
"experience.5d6b2515783298001a763157","experience","10","high",11,1.56363636363637
"experience.5d6b2515783298001a763157","experience","10","low",10,5.32907051820075e-16
"experience.5d6b2515783298001a763157","experience","20","high",9,1.72222222222222
"experience.5d6b2515783298001a763157","experience","20","low",12,-0.916666666666667
"experience.5e03e20e4cac68ec33187d80","experience","2","high",11,0.818181818181818
"experience.5e03e20e4cac68ec33187d80","experience","2","low",11,-0.090909090909091
"experience.5e03e20e4cac68ec33187d80","experience","10","high",10,1.5
"experience.5e03e20e4cac68ec33187d80","experience","10","low",9,2.35555555555556
"experience.5e03e20e4cac68ec33187d80","experience","20","high",8,0
"experience.5e03e20e4cac68ec33187d80","experience","20","low",8,2.875
"experience.5e076480c4e1550e2114f006","experience","2","high",9,1.22222222222222
"experience.5e076480c4e1550e2114f006","experience","2","low",4,-1
"experience.5e076480c4e1550e2114f006","experience","10","high",11,2.2
"experience.5e076480c4e1550e2114f006","experience","10","low",7,1.37142857142857
"experience.5e076480c4e1550e2114f006","experience","20","high",6,0.833333333333333
"experience.5e076480c4e1550e2114f006","experience","20","low",13,0.884615384615384
"experience.5e3adfc595ff562fbdd130fa","experience","2","high",10,3.9
"experience.5e3adfc595ff562fbdd130fa","experience","2","low",9,-2.22222222222222
"experience.5e3adfc595ff562fbdd130fa","experience","10","high",10,5.7
"experience.5e3adfc595ff562fbdd130fa","experience","10","low",5,-0.399999999999999
"experience.5e3adfc595ff562fbdd130fa","experience","20","high",6,4
"experience.5e3adfc595ff562fbdd130fa","experience","20","low",10,0.1
"experience.5e437d7404eaba215eafbd2a","experience","2","high",9,1.77777777777778
"experience.5e437d7404eaba215eafbd2a","experience","2","low",7,1.85714285714286
"experience.5e437d7404eaba215eafbd2a","experience","10","high",11,-0.890909090909088
"experience.5e437d7404eaba215eafbd2a","experience","10","low",7,0.942857142857144
"experience.5e437d7404eaba215eafbd2a","experience","20","high",2,0
"experience.5e437d7404eaba215eafbd2a","experience","20","low",11,3.77272727272727
"experience.5f4813c94e8b081877fb26a6","experience","2","high",5,-5.8
"experience.5f4813c94e8b081877fb26a6","experience","2","low",8,0
"experience.5f4813c94e8b081877fb26a6","experience","10","high",9,-5.46666666666667
"experience.5f4813c94e8b081877fb26a6","experience","10","low",10,1.5
"experience.5f4813c94e8b081877fb26a6","experience","20","high",7,-5.64285714285714
"experience.5f4813c94e8b081877fb26a6","experience","20","low",8,-2
"experience.5ff07b5ee7a1d23e719e421e","experience","2","high",8,2.875
"experience.5ff07b5ee7a1d23e719e421e","experience","2","low",10,2.1
"experience.5ff07b5ee7a1d23e719e421e","experience","10","high",13,-1.95384615384615
"experience.5ff07b5ee7a1d23e719e421e","experience","10","low",8,8.175
"experience.5ff07b5ee7a1d23e719e421e","experience","20","high",7,2.78571428571429
"experience.5ff07b5ee7a1d23e719e421e","experience","20","low",15,8.96666666666667
"experience.603006ea5f6c24dfc908f835","experience","2","high",10,0.7
"experience.603006ea5f6c24dfc908f835","experience","2","low",10,-1
"experience.603006ea5f6c24dfc908f835","experience","10","high",8,-1.55
"experience.603006ea5f6c24dfc908f835","experience","10","low",9,3.68888888888889
"experience.603006ea5f6c24dfc908f835","experience","20","high",4,-4.25
"experience.603006ea5f6c24dfc908f835","experience","20","low",8,5.375
"experience.607668ac450fc6e3025a131d","experience","2","high",8,4.875
"experience.607668ac450fc6e3025a131d","experience","2","low",8,-2.875
"experience.607668ac450fc6e3025a131d","experience","10","high",8,4.075
"experience.607668ac450fc6e3025a131d","experience","10","low",8,2.425
"experience.607668ac450fc6e3025a131d","experience","20","high",4,3.5
"experience.607668ac450fc6e3025a131d","experience","20","low",17,2.67647058823529
"experience.609551c1ade88f8463666fb8","experience","2","high",9,0.333333333333333
"experience.609551c1ade88f8463666fb8","experience","2","low",3,3.33333333333333
"experience.609551c1ade88f8463666fb8","experience","10","high",9,0.200000000000001
"experience.609551c1ade88f8463666fb8","experience","10","low",12,2.46666666666667
"experience.609551c1ade88f8463666fb8","experience","20","high",8,-2.625
"experience.609551c1ade88f8463666fb8","experience","20","low",9,1.16666666666667
"experience.61bb392e40db417c1a138dcb","experience","2","high",7,-6.57142857142857
"experience.61bb392e40db417c1a138dcb","experience","2","low",12,0.916666666666667
"experience.61bb392e40db417c1a138dcb","experience","10","high",6,-7.13333333333333
"experience.61bb392e40db417c1a138dcb","experience","10","low",10,6.7
"experience.61bb392e40db417c1a138dcb","experience","20","high",8,-4.75
"experience.61bb392e40db417c1a138dcb","experience","20","low",11,2.59090909090909
"experience.622a42c21de0c55ba18a2acb","experience","2","high",11,4.09090909090909
"experience.622a42c21de0c55ba18a2acb","experience","2","low",8,0.875
"experience.622a42c21de0c55ba18a2acb","experience","10","high",4,0.450000000000002
"experience.622a42c21de0c55ba18a2acb","experience","10","low",18,2.91111111111111
"experience.622a42c21de0c55ba18a2acb","experience","20","high",6,1.16666666666667
"experience.622a42c21de0c55ba18a2acb","experience","20","low",14,2.92857142857143
"experience.633485c40e46cf7e9a2f2ca1","experience","2","high",11,3
"experience.633485c40e46cf7e9a2f2ca1","experience","2","low",6,-4.66666666666667
"experience.633485c40e46cf7e9a2f2ca1","experience","10","high",13,-0.26153846153846
"experience.633485c40e46cf7e9a2f2ca1","experience","10","low",9,0.022222222222223
"experience.633485c40e46cf7e9a2f2ca1","experience","20","high",6,-1.16666666666667
"experience.633485c40e46cf7e9a2f2ca1","experience","20","low",12,-2.83333333333333
"experience.641e62a8191451d08e6c08f7","experience","2","high",13,10.4615384615385
"experience.641e62a8191451d08e6c08f7","experience","2","low",4,0.25
"experience.641e62a8191451d08e6c08f7","experience","10","high",11,10.5636363636364
"experience.641e62a8191451d08e6c08f7","experience","10","low",12,3.05
"experience.641e62a8191451d08e6c08f7","experience","20","high",6,4.5
"experience.641e62a8191451d08e6c08f7","experience","20","low",13,-0.269230769230769
"experience.651b29ff3a6cadf518640abe","experience","2","high",15,9.73333333333333
"experience.651b29ff3a6cadf518640abe","experience","2","low",9,-3.33333333333333
"experience.651b29ff3a6cadf518640abe","experience","10","high",12,6.78333333333333
"experience.651b29ff3a6cadf518640abe","experience","10","low",5,0.800000000000001
"experience.651b29ff3a6cadf518640abe","experience","20","high",9,7.5
"experience.651b29ff3a6cadf518640abe","experience","20","low",8,1.375
"experience.651c4484ba17050f6b716614","experience","2","high",8,1.75
"experience.651c4484ba17050f6b716614","experience","2","low",12,-1.25
"experience.651c4484ba17050f6b716614","experience","10","high",9,0.422222222222224
"experience.651c4484ba17050f6b716614","experience","10","low",9,0.466666666666667
"experience.651c4484ba17050f6b716614","experience","20","high",7,5.07142857142857
"experience.651c4484ba17050f6b716614","experience","20","low",14,5.21428571428571
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","2","high",7,-0.285714285714286
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","2","low",6,0.166666666666667
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","10","high",4,-2.3
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","10","low",6,5.8
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","20","high",7,-3.92857142857143
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","20","low",9,4.38888888888889
"experience.65b98fe25e75b5acc3f44626","experience","2","high",4,-3
"experience.65b98fe25e75b5acc3f44626","experience","2","low",7,-6.28571428571429
"experience.65b98fe25e75b5acc3f44626","experience","10","high",10,-2.2
"experience.65b98fe25e75b5acc3f44626","experience","10","low",12,0.0500000000000007
"experience.65b98fe25e75b5acc3f44626","experience","20","high",6,6.33333333333333
"experience.65b98fe25e75b5acc3f44626","experience","20","low",9,-3.27777777777778
"experience.662a5d4dabae70ece2dfcc21","experience","2","high",6,6.66666666666667
"experience.662a5d4dabae70ece2dfcc21","experience","2","low",9,-3.55555555555556
"experience.662a5d4dabae70ece2dfcc21","experience","10","high",11,2.2
"experience.662a5d4dabae70ece2dfcc21","experience","10","low",6,-1.2
"experience.662a5d4dabae70ece2dfcc21","experience","20","high",9,-0.277777777777778
"experience.662a5d4dabae70ece2dfcc21","experience","20","low",9,0.166666666666667
"experience.662c1b87d84d0f2111bb3a56","experience","2","high",15,3.26666666666667
"experience.662c1b87d84d0f2111bb3a56","experience","2","low",5,-3.4
"experience.662c1b87d84d0f2111bb3a56","experience","10","high",8,1.075
"experience.662c1b87d84d0f2111bb3a56","experience","10","low",10,2.6
"experience.662c1b87d84d0f2111bb3a56","experience","20","high",8,0.25
"experience.662c1b87d84d0f2111bb3a56","experience","20","low",8,2.5
"experience.6644cf0a2e641bfd221ac4af","experience","2","high",9,4
"experience.6644cf0a2e641bfd221ac4af","experience","2","low",7,-1.14285714285714
"experience.6644cf0a2e641bfd221ac4af","experience","10","high",6,1.7
"experience.6644cf0a2e641bfd221ac4af","experience","10","low",8,1.925
"experience.6644cf0a2e641bfd221ac4af","experience","20","high",7,1.5
