"participant_id","condition","array_length","n_trials","r","z"
"experience.55ecd6ff748092000daa9f5f","experience","2",32,0.786039588139644,1.06098246020018
"experience.55ecd6ff748092000daa9f5f","experience","10",30,0.823863966750153,1.16872798776796
"experience.55ecd6ff748092000daa9f5f","experience","20",32,0.752344829744088,0.97833636833679
"experience.56b53292a9d33a000c8981a6","experience","2",30,0.761606541115661,1.00002949093991
"experience.56b53292a9d33a000c8981a6","experience","10",30,0.880729991473135,1.37901268585586
"experience.56b53292a9d33a000c8981a6","experience","20",29,0.944410901754181,1.77736361229214
"experience.59205f5005b0ce000123c6e6","experience","2",32,0.816939457905477,1.14754590939235
"experience.59205f5005b0ce000123c6e6","experience","10",31,0.723452669668841,0.91485147045451
"experience.59205f5005b0ce000123c6e6","experience","20",32,0.731014043894068,0.930901748928562
"experience.5b6db9e0580154000153cc64","experience","2",28,0.705330630521007,0.877830171372282
"experience.5b6db9e0580154000153cc64","experience","10",29,0.735587906144429,0.940796319050717
"experience.5b6db9e0580154000153cc64","experience","20",30,0.802994289179113,1.10698566927135
"experience.5d6b2515783298001a763157","experience","2",29,0.875911280181566,1.35792652212877
"experience.5d6b2515783298001a763157","experience","10",32,0.875581741625484,1.35651260572444
"experience.5d6b2515783298001a763157","experience","20",31,0.934575639498379,1.69337429990872
"experience.5e03e20e4cac68ec33187d80","experience","2",31,0.943152594565123,1.76584820073634
"experience.5e03e20e4cac68ec33187d80","experience","10",31,0.904272151948686,1.49517294636719
"experience.5e03e20e4cac68ec33187d80","experience","20",31,0.920646461382548,1.59325203297863
"experience.5e076480c4e1550e2114f006","experience","2",30,0.814995478988148,1.1417289965493
"experience.5e076480c4e1550e2114f006","experience","10",31,0.833385093920783,1.19911705860353
"experience.5e076480c4e1550e2114f006","experience","20",32,0.908102550638538,1.51659566190069
"experience.5e3adfc595ff562fbdd130fa","experience","2",31,0.897078134593712,1.45705002276209
"experience.5e3adfc595ff562fbdd130fa","experience","10",32,0.747501764987973,0.967269112737637
"experience.5e3adfc595ff562fbdd130fa","experience","20",32,0.700492034803095,0.868265954110405
"experience.5e437d7404eaba215eafbd2a","experience","2",30,0.761123582123749,0.998880472546191
"experience.5e437d7404eaba215eafbd2a","experience","10",31,0.881287880994292,1.38150523509686
"experience.5e437d7404eaba215eafbd2a","experience","20",30,0.76591986489479,1.01038174453529
"experience.5f4813c94e8b081877fb26a6","experience","2",32,0.908979228805724,1.52161810382311
"experience.5f4813c94e8b081877fb26a6","experience","10",32,0.868263916696303,1.32598216978423
"experience.5f4813c94e8b081877fb26a6","experience","20",31,0.88232257756849,1.38615726703739
"experience.5ff07b5ee7a1d23e719e421e","experience","2",31,0.688779986635949,0.845630772644887
"experience.5ff07b5ee7a1d23e719e421e","experience","10",29,0.764712879641886,1.00746836229251
