"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"2 squares","14-17",212,4,0,11.4481132075472,19.4481132075472,0,0
"2 squares","18-21",186,4,0,15.6182795698925,23.6182795698925,0,0
"2 squares","22-28",334,4,0,20.9820359281437,28.9820359281437,0,0
"2 squares","29-31",143,4,0,26.020979020979,34.020979020979,0,0
"2 squares","32+",269,4,0,29.9182156133829,37.9182156133829,0,0
"10 squares","14-17",166,5.9464274989274,-0.125669583629514,5.90361445783132,23.9036144578313,0,0
"10 squares","18-21",232,5.9464274989274,-0.125669583629514,9.5,27.5,0,0
"10 squares","22-28",330,5.9464274989274,-0.125669583629514,14.8848484848485,32.8848484848485,0,0
"10 squares","29-31",143,5.9464274989274,-0.125669583629514,19.972027972028,37.972027972028,0,0
"10 squares","32+",277,5.9464274989274,-0.125669583629516,24.4981949458484,42.4981949458484,0,0
"20 squares","14-17",236,5.5,0.398497370398196,6.11016949152542,25.1101694915254,0,0
"20 squares","18-21",198,5.5,0.398497370398196,10.3787878787879,29.3787878787879,0,0
"20 squares","22-28",341,5.5,0.398497370398196,15.8269794721408,34.8269794721408,0,0
"20 squares","29-31",164,5.5,0.398497370398196,20.9939024390244,39.9939024390244,0,0
"20 squares","32+",200,5.5,0.398497370398196,24.57,43.57,0,0
