"meanVal","array_length","condition","mean_response","n_trials"
12.5,"20","experience",14.3421052631579,38
13.5,"20","experience",16.6122448979592,49
14,"2","experience",13.0727272727273,55
14.2,"10","experience",15.7777777777778,63
14.5,"20","experience",17.3529411764706,51
15,"2","experience",13.8852459016393,61
15.2,"10","experience",18.25,56
15.5,"20","experience",17.6888888888889,45
16,"2","experience",14.6904761904762,42
16.2,"10","experience",18.0851063829787,47
16.5,"20","experience",17.5849056603774,53
17,"2","experience",16.4259259259259,54
17.2,"10","experience",20.4576271186441,59
17.5,"20","experience",19.4464285714286,56
18,"2","experience",16.1951219512195,41
18.2,"10","experience",20.3090909090909,55
18.5,"20","experience",19.4375,48
19,"2","experience",17.4047619047619,42
19.2,"10","experience",19.4098360655738,61
19.5,"20","experience",20.9298245614035,57
20,"2","experience",18.14,50
20.2,"10","experience",20.9298245614035,57
20.5,"20","experience",21.2972972972973,37
21,"2","experience",19.6981132075472,53
21.2,"10","experience",21.9285714285714,56
21.5,"20","experience",20.8297872340426,47
22,"2","experience",18.2,45
22.2,"10","experience",23.5918367346939,49
22.5,"20","experience",23,63
23,"2","experience",22.3404255319149,47
23.2,"10","experience",24.7173913043478,46
23.5,"20","experience",23.0714285714286,42
24,"2","experience",21.5961538461538,52
24.2,"10","experience",24.7173913043478,46
24.5,"20","experience",26.1896551724138,58
25,"2","experience",20.9787234042553,47
25.2,"10","experience",26.390243902439,41
25.5,"20","experience",26.3846153846154,52
26,"2","experience",23.6078431372549,51
26.2,"10","experience",25.6511627906977,43
26.5,"20","experience",27.4358974358974,39
27,"2","experience",24.4038461538462,52
27.2,"10","experience",28.3673469387755,49
27.5,"20","experience",27.025,40
28,"2","experience",26.925,40
28.2,"10","experience",26.3673469387755,49
28.5,"20","experience",27.2982456140351,57
29,"2","experience",26.8297872340426,47
29.2,"10","experience",28.1224489795918,49
29.5,"20","experience",30.2549019607843,51
30,"2","experience",28.195652173913,46
30.2,"10","experience",28.2888888888889,45
30.5,"20","experience",30.9107142857143,56
31,"2","experience",27.68,50
31.2,"10","experience",30.4130434782609,46
31.5,"20","experience",29.7755102040816,49
32,"2","experience",28.2156862745098,51
32.2,"10","experience",32.3829787234043,47
32.5,"20","experience",31.7391304347826,46
33,"2","experience",29.8888888888889,63
33.2,"10","experience",32.7826086956522,46
33.5,"20","experience",32.6595744680851,47
34,"2","experience",32.1052631578947,57
34.2,"10","experience",33.7906976744186,43
34.5,"20","experience",34.1896551724138,58
35,"2","experience",30.6603773584906,53
35.2,"10","experience",34.0980392156863,51
36,"2","experience",33.2666666666667,45
36.2,"10","experience",33.8863636363636,44
