"response_value","array_length","condition","mean_true","n_trials"
3,"2","experience",16,1
4,"10","experience",15.2,1
5,"2","experience",17.6666666666667,3
5,"20","experience",12.5,2
6,"2","experience",14.5,2
6,"10","experience",17.2,3
6,"20","experience",13.5,1
7,"2","experience",14.8,5
7,"10","experience",14.2,1
7,"20","experience",13.75,4
8,"2","experience",15.8571428571429,7
8,"20","experience",14,2
9,"2","experience",15.1875,16
9,"10","experience",15.0333333333333,6
9,"20","experience",15.5,12
10,"2","experience",15.9565217391304,23
10,"10","experience",17.5,10
10,"20","experience",15.2,10
11,"2","experience",18.1923076923077,26
11,"10","experience",17.5,10
11,"20","experience",15.8636363636364,11
12,"2","experience",16.8148148148148,27
12,"10","experience",17.325,16
12,"20","experience",17.2142857142857,28
13,"2","experience",18.3939393939394,33
13,"10","experience",16.9777777777778,27
13,"20","experience",18.8225806451613,31
14,"2","experience",18.4838709677419,31
14,"10","experience",18.0846153846154,26
14,"20","experience",17.0384615384615,26
15,"2","experience",19.3958333333333,48
15,"10","experience",18.075,32
15,"20","experience",17.9,40
16,"2","experience",19.2244897959184,49
16,"10","experience",18.1354838709677,31
16,"20","experience",18.452380952381,42
17,"2","experience",19.75,48
17,"10","experience",19.6705882352941,34
17,"20","experience",19.0869565217391,46
18,"2","experience",20.8297872340426,47
18,"10","experience",18.9692307692308,39
18,"20","experience",18.6333333333333,45
19,"2","experience",22.6530612244898,49
19,"10","experience",20.2740740740741,54
19,"20","experience",19.6296296296296,54
20,"2","experience",24.1818181818182,55
20,"10","experience",20.2338983050847,59
20,"20","experience",20.54,50
21,"2","experience",25.3777777777778,45
21,"10","experience",21.4765957446808,47
21,"20","experience",20.92,50
22,"2","experience",23.62,50
22,"10","experience",22.5488372093023,43
22,"20","experience",20.2105263157895,38
23,"2","experience",25.2205882352941,68
23,"10","experience",23.3290322580645,62
23,"20","experience",24.5350877192982,57
24,"2","experience",26.8039215686275,51
24,"10","experience",23.2980392156863,51
24,"20","experience",23.5677966101695,59
25,"2","experience",27.7307692307692,52
25,"10","experience",24.0409090909091,44
25,"20","experience",24.2142857142857,42
26,"2","experience",29.3939393939394,33
26,"10","experience",24.8530612244898,49
26,"20","experience",25.3717948717949,39
27,"2","experience",28.5,38
27,"10","experience",26.0103448275862,58
27,"20","experience",25.0957446808511,47
28,"2","experience",28.8958333333333,48
28,"10","experience",27.8078431372549,51
28,"20","experience",27.875,40
29,"2","experience",30.0714285714286,42
29,"10","experience",27.7217391304348,46
29,"20","experience",25.6904761904762,42
30,"2","experience",30.75,36
30,"10","experience",27.8078431372549,51
30,"20","experience",29.2173913043478,46
31,"2","experience",31.825,40
31,"10","experience",29.9,50
31,"20","experience",28.7857142857143,42
32,"2","experience",30.1666666666667,24
32,"10","experience",29.4826086956522,46
32,"20","experience",28.3947368421053,38
33,"2","experience",31.375,32
33,"10","experience",30.2909090909091,33
33,"20","experience",28.4285714285714,28
34,"2","experience",32.9583333333333,24
34,"10","experience",30.66875,32
34,"20","experience",30.0675675675676,37
35,"2","experience",32.75,28
35,"10","experience",31.6166666666667,24
35,"20","experience",30.5344827586207,29
36,"2","experience",33.1,10
36,"10","experience",32.2384615384615,26
36,"20","experience",30.35,20
37,"2","experience",34.3333333333333,12
37,"10","experience",33.5333333333333,24
37,"20","experience",29.5,18
38,"2","experience",29.375,8
38,"10","experience",33.2909090909091,11
38,"20","experience",29.4285714285714,14
39,"2","experience",33.6,5
39,"10","experience",31.2588235294118,17
39,"20","experience",30.2647058823529,17
40,"2","experience",32.5714285714286,7
40,"10","experience",31.6615384615385,13
40,"20","experience",32.0833333333333,12
41,"2","experience",33.5714285714286,7
41,"10","experience",32.8,5
41,"20","experience",30.75,8
42,"2","experience",34.2,5
42,"10","experience",33.7,2
42,"20","experience",31.75,4
43,"2","experience",32.6666666666667,3
43,"10","experience",32.8666666666667,6
43,"20","experience",30.5,2
44,"2","experience",32.25,4
44,"20","experience",32.5,1
45,"2","experience",36,1
45,"10","experience",33.8,5
45,"20","experience",34.5,1
46,"2","experience",36,1
46,"10","experience",19.2,1
46,"20","experience",34.5,2
48,"10","experience",32.7,2
48,"20","experience",33.5,2
