"experiment","condition","level","n_trials","item_sd_sd","item_sd","n_items","label","noise_var"
"exp1","average",2,825,0.574571485439341,3.98363636363636,2,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","average",6,821,0.371352172754419,4.39217645018034,6,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","average",8,826,0.220892135600159,5.47060040794718,8,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","average",12,820,0.161760843310174,5.47184761815271,12,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","experience",2,763,0.479727697615721,3.95740498034076,2,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","experience",6,760,0.336858229325257,4.37218769676389,6,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","experience",8,780,0.232276052650045,5.46919029524265,8,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp1","experience",12,775,0.130325528340481,5.47052377404804,12,"Experiment 1 - array size (2/6/8/12)","array_length"
"exp2","average",2,3281,0.494688739914546,3.96936909478817,2,"Experiment 2 - array size (2/10/20)","array_length"
"exp2","average",10,3286,0.184850068979114,5.92417067997968,10,"Experiment 2 - array size (2/10/20)","array_length"
"exp2","average",20,3104,0,5.5,20,"Experiment 2 - array size (2/10/20)","array_length"
"exp2","experience",2,3406,0.549166772550304,3.95596007046389,2,"Experiment 2 - array size (2/10/20)","array_length"
"exp2","experience",10,3421,0.166542204081112,5.92751775823155,10,"Experiment 2 - array size (2/10/20)","array_length"
"exp2","experience",20,3232,0,5.5,20,"Experiment 2 - array size (2/10/20)","array_length"
"exp3","average",2,1655,0.359497010842632,3.97885196374622,2,"Experiment 3 - Mondrian frame (2/10/20)","array_length"
"exp3","average",10,1662,0.124370625565087,5.93996983286937,10,"Experiment 3 - Mondrian frame (2/10/20)","array_length"
"exp3","average",20,1602,0,5.5,20,"Experiment 3 - Mondrian frame (2/10/20)","array_length"
"exp3","experience",2,1778,0.501114675619646,3.99690663667042,2,"Experiment 3 - Mondrian frame (2/10/20)","array_length"
"exp3","experience",10,1760,0.136906200381275,5.93694473584261,10,"Experiment 3 - Mondrian frame (2/10/20)","array_length"
"exp3","experience",20,1705,0,5.5,20,"Experiment 3 - Mondrian frame (2/10/20)","array_length"
"exp4","average",3,3960,0.0926310207055815,2.85817628231666,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level"
"exp4","average",5,3960,0.0906248830494533,4.7474399068525,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level"
"exp4","average",7,3960,0.0908205627213514,6.6471064313978,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level"
"exp4","experience",3,4320,0.0903553535186744,2.85940331834514,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level"
"exp4","experience",5,4320,0.0908060387925144,4.74684511854574,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level"
"exp4","experience",7,4320,0.091291200895431,6.64434466249104,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level"
"exp2_batch2","average",2,2056,0.47511267836638,3.97665369649805,2,"Partial snapshot of Experiment 2 (subset, not independent)","array_length"
"exp2_batch2","average",10,2068,0.197193884341858,5.91938280198376,10,"Partial snapshot of Experiment 2 (subset, not independent)","array_length"
"exp2_batch2","average",20,1952,0,5.5,20,"Partial snapshot of Experiment 2 (subset, not independent)","array_length"
"exp2_batch2","experience",2,1957,0.53375793792143,3.960909555442,2,"Partial snapshot of Experiment 2 (subset, not independent)","array_length"
"exp2_batch2","experience",10,1969,0.169019198299941,5.92770861261546,10,"Partial snapshot of Experiment 2 (subset, not independent)","array_length"
"exp2_batch2","experience",20,1856,0,5.5,20,"Partial snapshot of Experiment 2 (subset, not independent)","array_length"
"short_exposure","experience",2,1382,0.526499558828589,3.98227206946454,2,"Pilot - short exposure, experience only (2/10/20)","array_length"
"short_exposure","experience",10,1389,0.182369667244844,5.91973775824774,10,"Pilot - short exposure, experience only (2/10/20)","array_length"
"short_exposure","experience",20,1312,0,5.5,20,"Pilot - short exposure, experience only (2/10/20)","array_length"
