"experiment","zone","level","n_trials","sd_report","bias"
"exp1","high (>= 32)","2 squares",231,6.49351250418903,-3.60606060606061
"exp1","high (>= 32)","6 squares",253,6.32914891450323,-2.53359683794466
"exp1","high (>= 32)","8 squares",231,6.87324847162879,-2.25108225108225
"exp1","high (>= 32)","12 squares",225,6.48061789245824,-0.271111111111109
"exp1","low (<= 17)","2 squares",154,5.09142440751785,-0.902597402597403
"exp1","low (<= 17)","6 squares",155,5.90684400032137,1.2
"exp1","low (<= 17)","8 squares",157,6.09538952613052,1.36942675159236
"exp1","low (<= 17)","12 squares",171,6.22250632231686,2.87134502923977
"exp1","middle","2 squares",623,5.83052927602956,-2.36276083467095
"exp1","middle","6 squares",617,5.95583673391445,-0.410048622366289
"exp1","middle","8 squares",611,6.08621446759852,0.157119476268413
"exp1","middle","12 squares",606,6.1547682867355,1.26237623762376
