"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"2 squares","14-17",804,4,0,11.4962686567164,19.4962686567164,0,0
"2 squares","18-21",897,4,0,15.5596432552954,23.5596432552954,0,0
"2 squares","22-28",1526,4,0,20.910878112713,28.910878112713,0,0
"2 squares","29-31",648,4,0,26.0617283950617,34.0617283950617,0,0
"2 squares","32+",1137,4,0,29.9692172383465,37.9692172383465,0,0
"10 squares","14-17",659,5.9464274989274,-0.125669583629514,5.97723823975721,23.9772382397572,0,0
"10 squares","18-21",856,5.9464274989274,-0.125669583629514,9.55490654205608,27.5549065420561,0,0
"10 squares","22-28",1552,5.9464274989274,-0.125669583629514,14.9317010309278,32.9317010309278,0,0
"10 squares","29-31",657,5.9464274989274,-0.125669583629514,19.9512937595129,37.9512937595129,0,0
"10 squares","32+",1295,5.9464274989274,-0.125669583629516,24.5420849420849,42.5420849420849,0,0
"20 squares","14-17",1079,5.5,0.398497370398196,5.99907321594069,24.9990732159407,0,0
"20 squares","18-21",881,5.5,0.398497370398196,10.5051078320091,29.5051078320091,0,0
"20 squares","22-28",1533,5.5,0.398497370398196,16.0397912589693,35.0397912589693,0,0
"20 squares","29-31",632,5.5,0.398497370398196,21.0443037974684,40.0443037974684,0,0
"20 squares","32+",878,5.5,0.398497370398196,24.4874715261959,43.4874715261959,0,0
