"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2","raw","2 squares",1,14,1,NA,14,14
"exp2","raw","2 squares",2,16,1,NA,16,16
"exp2","raw","2 squares",3,14.5,2,0.707106781186548,14,15
"exp2","raw","2 squares",4,14.5,2,0.707106781186548,14,15
"exp2","raw","2 squares",5,15.9,10,3.66515120197426,14,26
"exp2","raw","2 squares",6,17.0526315789474,19,2.24780594779606,14,23
"exp2","raw","2 squares",7,17.1304347826087,23,3.03471352288942,14,26
"exp2","raw","2 squares",8,17,38,2.7212874536523,14,26
"exp2","raw","2 squares",9,17.3440860215054,93,3.57069784817403,14,30
"exp2","raw","2 squares",10,17.5714285714286,77,4.05043393201197,14,35
"exp2","raw","2 squares",11,18.4545454545455,121,3.59629438913631,14,32
"exp2","raw","2 squares",12,17.8255033557047,149,3.63305311189363,14,36
"exp2","raw","2 squares",13,18.9573170731707,164,4.27196684598601,14,35
"exp2","raw","2 squares",14,19.4565217391304,184,4.06346656356196,14,36
"exp2","raw","2 squares",15,20.1372549019608,204,4.62918396172087,14,36
"exp2","raw","2 squares",16,20.8370044052863,227,4.95152124787141,14,36
"exp2","raw","2 squares",17,21.0658436213992,243,4.77032255526079,14,36
"exp2","raw","2 squares",18,22.4468085106383,235,4.84727657537899,14,35
"exp2","raw","2 squares",19,22.9568965517241,232,5.1140960301604,14,36
"exp2","raw","2 squares",20,23.6842105263158,228,4.82890669847948,14,35
"exp2","raw","2 squares",21,24.397489539749,239,5.08963293558659,14,36
"exp2","raw","2 squares",22,25.5536480686695,233,4.97388845628955,14,36
"exp2","raw","2 squares",23,25.7224669603524,227,4.83054231116147,14,36
"exp2","raw","2 squares",24,27.0858369098712,233,4.72351201794086,14,36
"exp2","raw","2 squares",25,28.487922705314,207,4.37430705012278,15,36
"exp2","raw","2 squares",26,28.5939086294416,197,4.3363159681096,18,36
"exp2","raw","2 squares",27,29.5277777777778,180,4.70875869438661,14,36
"exp2","raw","2 squares",28,30.0365853658537,164,3.93644329500043,16,36
