"experiment","version","band","level","n_trials","n_participants","mean_report","sd_report","mean_objective","sd_objective","gap"
"exp3","raw","extreme low (1-9)","2 squares",153,46,7.0718954248366,1.72483628194632,17.5882352941176,3.98769391834149,10.516339869281
"exp3","raw","extreme low (1-9)","10 squares",55,34,7.63636363636364,1.40585595863551,17.5818181818182,4.39482401405086,9.94545454545455
"exp3","raw","extreme low (1-9)","20 squares",89,40,7.20224719101124,1.69343501956083,15.4438202247191,3.12380722895591,8.24157303370787
"exp3","raw","low (10-14)","2 squares",403,78,12.2307692307692,1.37092994325007,18.9305210918114,4.3216608743471,6.69975186104218
"exp3","raw","low (10-14)","10 squares",266,74,12.4248120300752,1.24232928002429,18.4142857142857,4.21801424901004,5.98947368421052
"exp3","raw","low (10-14)","20 squares",337,77,12.3501483679525,1.36351534097138,16.9243323442136,4.10223533532164,4.57418397626113
"exp3","raw","high (36-40)","2 squares",67,34,37.3731343283582,1.37989701960429,32.6417910447761,3.63360365634913,4.73134328358209
"exp3","raw","high (36-40)","10 squares",123,45,37.3414634146341,1.32954613414912,32.5008130081301,3.74589383793445,4.84065040650406
"exp3","raw","high (36-40)","20 squares",90,36,37.4888888888889,1.25639438133422,30.6444444444444,3.19255141217033,6.84444444444444
"exp3","raw","extreme high (41-50)","2 squares",15,9,43.8,2.83347338589432,33.7333333333333,2.31352133173242,10.0666666666667
"exp3","raw","extreme high (41-50)","10 squares",22,13,42.9545454545455,1.98751514465084,33.3818181818182,3.23134003805827,9.57272727272727
"exp3","raw","extreme high (41-50)","20 squares",30,16,43.6666666666667,2.46818840913503,31.8666666666667,2.85854235018761,11.8
"exp3","shift_removed","extreme low (1-9)","2 squares",12,11,8.33333333333333,1.07308673997732,16.5833333333333,2.19330938551907,8.25
"exp3","shift_removed","extreme low (1-9)","10 squares",20,19,8.25,1.06992375527664,17.6,4.55839306866148,9.35
"exp3","shift_removed","extreme low (1-9)","20 squares",50,28,7.68,1.46301338451338,14.42,2.17443401033605,6.74
"exp3","shift_removed","low (10-14)","2 squares",160,61,12.51875,1.3642878899048,17.075,3.57234309944129,4.55625
"exp3","shift_removed","low (10-14)","10 squares",148,60,12.6959459459459,1.27593521141355,17.3013513513514,3.79892549230972,4.6054054054054
"exp3","shift_removed","low (10-14)","20 squares",248,72,12.5201612903226,1.34359960289829,15.6008064516129,3.13816769994764,3.08064516129032
"exp3","shift_removed","high (36-40)","2 squares",177,63,37.4632768361582,1.24318894251434,32.8813559322034,3.12841492919072,4.5819209039548
"exp3","shift_removed","high (36-40)","10 squares",140,58,37.45,1.32124314690272,33.0285714285714,2.97699297163004,4.42142857142857
"exp3","shift_removed","high (36-40)","20 squares",86,47,37.5116279069767,1.42039088279175,31.4767441860465,3.07160331456141,6.03488372093023
"exp3","shift_removed","extreme high (41-50)","2 squares",34,27,42.7352941176471,2.50222717193391,34.0882352941176,1.94418553577185,8.64705882352941
"exp3","shift_removed","extreme high (41-50)","10 squares",25,21,42,1.4142135623731,33.88,3.6823905279044,8.12
"exp3","shift_removed","extreme high (41-50)","20 squares",22,14,42.5,1.33630620956212,32,2.17671661869322,10.5
