"experiment","version","segment","level","slope","SE","n_trials_segment"
"exp4","raw","low","SD 3",0.330368454032796,0.0340673981207116,2781
"exp4","raw","low","SD 5",0.322197130716208,0.0398773206426445,2781
"exp4","raw","low","SD 7",0.333774349229779,0.0433452925920918,2781
"exp4","raw","mid","SD 3",0.656539637224056,0.0151620402218188,16530
"exp4","raw","mid","SD 5",0.641433817020149,0.0164486368982234,16530
"exp4","raw","mid","SD 7",0.592338789202645,0.0186091730915991,16530
"exp4","raw","high","SD 3",0.0889022421709856,0.0377377070554085,1767
"exp4","raw","high","SD 5",0.134742952782929,0.0470420551521814,1767
"exp4","raw","high","SD 7",0.153992347134894,0.0467602556859893,1767
"exp4","shift_removed","low","SD 3",0.253631377124101,0.0394572507098073,2351
"exp4","shift_removed","low","SD 5",0.229496272793727,0.0411877593571611,2351
"exp4","shift_removed","low","SD 7",0.254809536061143,0.0410429421021611,2351
"exp4","shift_removed","mid","SD 3",0.70141339910424,0.0131918213144772,17020
"exp4","shift_removed","mid","SD 5",0.699739393633169,0.0154652127072099,17020
"exp4","shift_removed","mid","SD 7",0.669000313553506,0.0182500143283495,17020
"exp4","shift_removed","high","SD 3",0.102750462984475,0.0340671864910111,1707
"exp4","shift_removed","high","SD 5",0.075146933193161,0.0487519736172832,1707
"exp4","shift_removed","high","SD 7",0.0583153089862103,0.0519006155542918,1707
