"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"67ad0557981df85a8b4f3fb5",35,500,26,27,8,"red",9084,15,"rt_bounds"
"67ad0557981df85a8b4f3fb5",36,600,25,24,2,"red",8491,16,"rt_bounds"
"67ad0557981df85a8b4f3fb5",44,600,36,32,2,"red",8589,24,"rt_bounds"
"67ad0557981df85a8b4f3fb5",50,400,30,26,8,"red",12309,30,"rt_bounds"
"67ad0557981df85a8b4f3fb5",52,600,22,27,12,"red",13793,32,"rt_bounds"
"67ad0557981df85a8b4f3fb5",61,600,29,26,6,"red",11847,41,"rt_bounds"
"67ad0557981df85a8b4f3fb5",68,400,24,25,8,"red",9421,48,"rt_bounds"
"67ad0557981df85a8b4f3fb5",72,600,34,37,6,"blue",11675,52,"rt_bounds"
"67ad0557981df85a8b4f3fb5",73,400,23,21,2,"blue",12642,53,"rt_bounds"
"67ad0557981df85a8b4f3fb5",76,600,34,33,8,"blue",8213,56,"rt_bounds"
"67ad0557981df85a8b4f3fb5",78,400,23,24,6,"blue",12537,58,"rt_bounds"
"67ad0557981df85a8b4f3fb5",100,500,20,20,2,"blue",12462,80,"rt_bounds"
"67ad0557981df85a8b4f3fb5",104,400,33,31,12,"blue",14123,84,"rt_bounds"
"67ad0557981df85a8b4f3fb5",106,600,29,26,8,"blue",17065,86,"rt_bounds"
"67ad0557981df85a8b4f3fb5",107,600,17,11,2,"blue",11450,87,"rt_bounds"
"67d8b5e7ceb82869824198a2",80,400,22,18,2,"blue",11177,156,"rt_bounds"
"67d8b5e7ceb82869824198a2",82,500,20,16,12,"blue",9820,158,"rt_bounds"
"67d8b5e7ceb82869824198a2",83,500,34,37,2,"blue",12686,159,"rt_bounds"
"67d8b5e7ceb82869824198a2",101,600,16,15,2,"blue",8722,177,"rt_bounds"
"67d8b5e7ceb82869824198a2",107,600,17,16,2,"blue",8433,183,"rt_bounds"
"66ba25f31c96638d878c9235",59,500,24,20,12,"red",9705,231,"rt_bounds"
"66ba25f31c96638d878c9235",66,600,27,19,2,"red",8638,238,"rt_bounds"
"66ba25f31c96638d878c9235",89,600,28,18,12,"blue",10872,261,"rt_bounds"
"661415341b1fdb1844c6f6a6",87,400,29,39,12,"red",18929,355,"rt_bounds"
"67eaf9e474539bd9571a69c8",24,500,31,38,12,"red",10288,387,"rt_bounds"
"67eaf9e474539bd9571a69c8",26,500,26,30,6,"red",32737,389,"rt_bounds"
"67eaf9e474539bd9571a69c8",27,500,26,30,8,"red",33617,390,"rt_bounds"
"67eaf9e474539bd9571a69c8",29,400,21,0,8,"red",42655,391,"rt_bounds"
"67eaf9e474539bd9571a69c8",34,400,31,27,12,"red",8276,396,"rt_bounds"
"67eaf9e474539bd9571a69c8",36,400,33,32,6,"red",14756,398,"rt_bounds"
"67eaf9e474539bd9571a69c8",38,600,18,30,6,"red",39838,400,"rt_bounds"
"67eaf9e474539bd9571a69c8",39,400,32,35,6,"red",79118,401,"rt_bounds"
"67eaf9e474539bd9571a69c8",40,500,23,32,8,"red",15363,402,"rt_bounds"
"67eaf9e474539bd9571a69c8",41,400,26,27,12,"red",97268,403,"rt_bounds"
"67eaf9e474539bd9571a69c8",42,600,21,40,12,"red",35497,404,"rt_bounds"
"67eaf9e474539bd9571a69c8",43,400,18,42,12,"red",35592,405,"rt_bounds"
"67eaf9e474539bd9571a69c8",44,600,34,40,6,"red",68799,406,"rt_bounds"
"67eaf9e474539bd9571a69c8",45,500,26,38,8,"red",88571,407,"rt_bounds"
"67eaf9e474539bd9571a69c8",46,500,15,9,2,"red",11176,408,"rt_bounds"
"67eaf9e474539bd9571a69c8",48,400,21,19,8,"red",13709,410,"rt_bounds"
"67eaf9e474539bd9571a69c8",62,600,30,17,2,"red",9708,424,"rt_bounds"
"67eaf9e474539bd9571a69c8",90,500,15,18,6,"blue",11056,452,"rt_bounds"
"67d0aced826014f4736f06a0",21,500,33,26,8,"red",35957,479,"rt_bounds"
"67d0aced826014f4736f06a0",22,400,32,29,8,"red",8914,480,"rt_bounds"
"67d0aced826014f4736f06a0",23,600,29,27,6,"red",15463,481,"rt_bounds"
"67d0aced826014f4736f06a0",24,500,27,23,8,"red",11716,482,"rt_bounds"
"67d0aced826014f4736f06a0",25,400,25,26,8,"red",59244,483,"rt_bounds"
"67d0aced826014f4736f06a0",26,400,20,22,2,"red",12615,484,"rt_bounds"
"67d0aced826014f4736f06a0",27,500,30,24,12,"red",26769,485,"rt_bounds"
"67d0aced826014f4736f06a0",28,400,36,26,2,"red",16340,486,"rt_bounds"
"67d0aced826014f4736f06a0",29,500,23,0,6,"red",25201,487,"rt_bounds"
"67d0aced826014f4736f06a0",32,600,23,21,6,"red",10069,490,"rt_bounds"
"67d0aced826014f4736f06a0",33,500,33,21,8,"red",34425,491,"rt_bounds"
"67d0aced826014f4736f06a0",34,400,24,0,6,"red",13284,492,"rt_bounds"
"67d0aced826014f4736f06a0",35,600,17,27,2,"red",9377,493,"rt_bounds"
"67d0aced826014f4736f06a0",36,400,14,21,6,"red",12037,494,"rt_bounds"
"67d0aced826014f4736f06a0",37,500,26,0,2,"red",8270,495,"rt_bounds"
"67d0aced826014f4736f06a0",38,400,29,27,12,"red",12246,496,"rt_bounds"
"67d0aced826014f4736f06a0",39,600,21,27,6,"red",15869,497,"rt_bounds"
"67d0aced826014f4736f06a0",40,600,16,20,8,"red",19103,498,"rt_bounds"
"67d0aced826014f4736f06a0",41,600,21,26,2,"red",22161,499,"rt_bounds"
"67d0aced826014f4736f06a0",43,500,20,0,8,"red",18270,501,"rt_bounds"
"67d0aced826014f4736f06a0",44,500,25,25,2,"red",19821,502,"rt_bounds"
"67d0aced826014f4736f06a0",45,500,33,25,8,"red",10970,503,"rt_bounds"
"67d0aced826014f4736f06a0",46,400,33,23,6,"red",56702,504,"rt_bounds"
"67d0aced826014f4736f06a0",47,400,34,20,12,"red",13064,505,"rt_bounds"
"67d0aced826014f4736f06a0",50,500,19,0,12,"red",63522,508,"rt_bounds"
