"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses","stimulus","key_press","Name","config","type","prompt","step","max","start","on_load","data","min","labels","button_label","stimulus_duration","trial_duration","response_ends_trial","imageSelected","indexSelected","exp_type","fixationTime","faceIdentity","array_length","array_values","meanVal","description","trial","color","button_pressed","purpose"
"pavlovia","0","14","0.0-0.0","67eaa46b7bb6cbefdcbde74c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","7061","0.0-1.0","67eaa46b7bb6cbefdcbde74c","6676.39999999851","external_page.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","17607","0.0-2.0","67eaa46b7bb6cbefdcbde74c","10545.10000000149","","[{""page_index"":0,""viewing_time"":3172.89999999851},{""page_index"":1,""viewing_time"":1987},{""page_index"":2,""viewing_time"":3510.5},{""page_index"":3,""viewing_time"":1874}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","39943","0.0-3.0","67eaa46b7bb6cbefdcbde74c","22329.80000000447","","","{""Q0"":""67eaa46b7bb6cbefdcbde74c""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","43519","0.0-4.0","67eaa46b7bb6cbefdcbde74c","3575.2999999970198","","[{""page_index"":0,""viewing_time"":3575.0999999940395}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","5","69699","0.0-5.0","67eaa46b7bb6cbefdcbde74c","26177.70000000298","","","{""Q0"":""three giraffes""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","99162","0.0-6.0-0.0","67eaa46b7bb6cbefdcbde74c","29459.30000000447","","","{""Q0"":""Giraffe""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","7","127065","0.0-6.1-0.1","67eaa46b7bb6cbefdcbde74c","19573.89999999851","","","{""Q0"":""grass""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","8","146177","0.0-6.2-0.2","67eaa46b7bb6cbefdcbde74c","15778.60000000149","","","{""Q0"":""Grass""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","9","174133","0.0-6.3-0.3","67eaa46b7bb6cbefdcbde74c","26116.20000000298","","","{""Q0"":""Three Giraffes""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","10","209487","0.0-6.4-0.4","67eaa46b7bb6cbefdcbde74c","23273","","","{""Q0"":""""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","216159","0.0-7.0","67eaa46b7bb6cbefdcbde74c","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","218154","0.0-8.0","67eaa46b7bb6cbefdcbde74c","null","","","","<span class='grid'><div> </div> <div> </div> <div class='red' style='background-position:300% 0%;margin-top:28px'></div> <div class='red' style='background-position:1500% 0%;margin-top:42px'></div> <div class='red' style='background-position:100% 0%;margin-top:46px'></div> <div> </div> <div class='red' style='background-position:700% 0%;margin-top:32px'></div> <div class='red' style='background-position:1700% 0%;margin-top:22px'></div> <div> </div> <div> </div> <div> </div> <div> </div> <div class='red' style='background-position:600% 0%;margin-top:47px'></div> <div class='red' style='background-position:1200% 0%;margin-top:29px'></div> <div> </div> <div class='red' style='background-position:1000% 0%;margin-top:36px'></div> <div class='red' style='background-position:900% 0%;margin-top:46px'></div> <div class='red' style='background-position:500% 0%;margin-top:46px'></div></span>","null","stimulus","","","","","","","","","","","","","","","","","","","","","","","","","","",""
