"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"66ba25f31c96638d878c9235",21,400,23,13,8,"red",1883
"66ba25f31c96638d878c9235",22,600,35,29,2,"red",2312
"66ba25f31c96638d878c9235",23,500,27,17,6,"red",2953
"66ba25f31c96638d878c9235",24,600,29,21,8,"red",1995
"66ba25f31c96638d878c9235",25,600,24,21,12,"red",2734
"66ba25f31c96638d878c9235",26,600,34,29,8,"red",2218
"66ba25f31c96638d878c9235",27,500,20,18,8,"red",2713
"66ba25f31c96638d878c9235",28,500,20,21,8,"red",2650
"66ba25f31c96638d878c9235",29,400,20,22,12,"red",2281
"66ba25f31c96638d878c9235",30,500,14,13,2,"red",2173
"66ba25f31c96638d878c9235",31,400,30,34,12,"red",1927
"66ba25f31c96638d878c9235",32,600,32,30,2,"red",1946
"66ba25f31c96638d878c9235",33,400,20,20,8,"red",2064
"66ba25f31c96638d878c9235",34,600,14,16,8,"red",1737
"66ba25f31c96638d878c9235",36,500,25,29,8,"red",2663
"66ba25f31c96638d878c9235",37,600,35,30,6,"red",3454
"66ba25f31c96638d878c9235",38,600,18,13,2,"red",1756
"66ba25f31c96638d878c9235",39,500,27,24,6,"red",2096
"66ba25f31c96638d878c9235",40,600,22,28,8,"red",2007
"66ba25f31c96638d878c9235",41,500,36,39,12,"red",1757
"66ba25f31c96638d878c9235",42,400,21,22,8,"red",2283
"66ba25f31c96638d878c9235",43,600,30,34,12,"red",1657
"66ba25f31c96638d878c9235",44,500,18,24,12,"red",1841
"66ba25f31c96638d878c9235",45,400,22,23,12,"red",2352
"66ba25f31c96638d878c9235",46,400,22,15,2,"red",1358
"66ba25f31c96638d878c9235",47,600,31,34,2,"red",2562
"66ba25f31c96638d878c9235",49,600,18,12,6,"red",1427
"66ba25f31c96638d878c9235",50,500,36,39,6,"red",2304
"66ba25f31c96638d878c9235",52,600,15,15,6,"red",2013
"66ba25f31c96638d878c9235",53,500,36,30,2,"red",2664
"66ba25f31c96638d878c9235",54,600,19,12,2,"red",1776
"66ba25f31c96638d878c9235",55,500,29,18,6,"red",2853
"66ba25f31c96638d878c9235",56,500,25,22,8,"red",3364
"66ba25f31c96638d878c9235",57,600,22,23,6,"red",2402
"66ba25f31c96638d878c9235",58,600,34,40,2,"red",1886
"66ba25f31c96638d878c9235",60,400,25,16,2,"red",1993
"66ba25f31c96638d878c9235",61,600,17,17,12,"red",2744
"66ba25f31c96638d878c9235",62,400,35,39,6,"red",2732
"66ba25f31c96638d878c9235",63,500,28,35,8,"red",1805
"66ba25f31c96638d878c9235",64,500,29,33,6,"red",2535
"66ba25f31c96638d878c9235",65,500,34,34,12,"red",3502
"66ba25f31c96638d878c9235",67,600,17,11,12,"red",2818
"66ba25f31c96638d878c9235",68,400,33,37,6,"red",1870
"66ba25f31c96638d878c9235",69,600,26,37,8,"blue",2931
"66ba25f31c96638d878c9235",70,500,30,25,6,"blue",1787
"66ba25f31c96638d878c9235",71,600,19,19,8,"blue",1975
"66ba25f31c96638d878c9235",72,600,16,22,8,"blue",1996
"66ba25f31c96638d878c9235",73,500,23,29,2,"blue",3109
"66ba25f31c96638d878c9235",74,600,34,33,6,"blue",1879
"66ba25f31c96638d878c9235",75,500,29,35,8,"blue",1577
"66ba25f31c96638d878c9235",76,500,18,16,2,"blue",1649
"66ba25f31c96638d878c9235",77,400,28,26,12,"blue",1763
"66ba25f31c96638d878c9235",78,400,14,17,12,"blue",2042
"66ba25f31c96638d878c9235",79,500,32,37,12,"blue",2118
"66ba25f31c96638d878c9235",80,600,32,32,12,"blue",1984
"66ba25f31c96638d878c9235",81,500,20,21,2,"blue",1842
"66ba25f31c96638d878c9235",82,600,34,35,8,"blue",3430
