"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"67ad0557981df85a8b4f3fb5",21,600,29,16,2,"red","2525"
"67ad0557981df85a8b4f3fb5",22,500,30,35,2,"red","4363"
"67ad0557981df85a8b4f3fb5",23,600,24,33,12,"red","2454"
"67ad0557981df85a8b4f3fb5",24,400,24,41,6,"red","2338"
"67ad0557981df85a8b4f3fb5",25,500,27,40,6,"red","1709"
"67ad0557981df85a8b4f3fb5",26,400,21,39,6,"red","2313"
"67ad0557981df85a8b4f3fb5",27,600,21,25,2,"red","2530"
"67ad0557981df85a8b4f3fb5",28,600,16,28,8,"red","5144"
"67ad0557981df85a8b4f3fb5",29,500,17,26,12,"red","5126"
"67ad0557981df85a8b4f3fb5",30,500,20,25,8,"red","4536"
"67ad0557981df85a8b4f3fb5",31,500,24,29,8,"red","6427"
"67ad0557981df85a8b4f3fb5",32,500,29,35,8,"red","6632"
"67ad0557981df85a8b4f3fb5",33,600,35,40,12,"red","2606"
"67ad0557981df85a8b4f3fb5",34,500,24,35,12,"red","4671"
"67ad0557981df85a8b4f3fb5",35,500,26,27,8,"red","9084"
"67ad0557981df85a8b4f3fb5",36,600,25,24,2,"red","8491"
"67ad0557981df85a8b4f3fb5",37,500,16,16,2,"red","4931"
"67ad0557981df85a8b4f3fb5",38,500,19,23,8,"red","3552"
"67ad0557981df85a8b4f3fb5",39,400,29,31,6,"red","3005"
"67ad0557981df85a8b4f3fb5",40,600,31,41,12,"red","4025"
"67ad0557981df85a8b4f3fb5",41,600,30,40,12,"red","2566"
"67ad0557981df85a8b4f3fb5",42,500,29,34,2,"red","4648"
"67ad0557981df85a8b4f3fb5",43,600,35,37,8,"red","4895"
"67ad0557981df85a8b4f3fb5",44,600,36,32,2,"red","8589"
"67ad0557981df85a8b4f3fb5",45,400,33,38,2,"red","2890"
"67ad0557981df85a8b4f3fb5",46,500,19,26,12,"red","2027"
"67ad0557981df85a8b4f3fb5",47,400,23,26,2,"red","5105"
"67ad0557981df85a8b4f3fb5",48,500,17,23,12,"red","3872"
"67ad0557981df85a8b4f3fb5",49,400,31,29,12,"red","6676"
"67ad0557981df85a8b4f3fb5",50,400,30,26,8,"red","12309"
"67ad0557981df85a8b4f3fb5",51,500,14,18,6,"red","3636"
"67ad0557981df85a8b4f3fb5",52,600,22,27,12,"red","13793"
"67ad0557981df85a8b4f3fb5",53,400,19,24,6,"red","5640"
"67ad0557981df85a8b4f3fb5",54,500,32,32,6,"red","3784"
"67ad0557981df85a8b4f3fb5",55,600,34,37,12,"red","2886"
"67ad0557981df85a8b4f3fb5",56,600,15,16,8,"red","3434"
"67ad0557981df85a8b4f3fb5",57,600,27,36,6,"red","6943"
"67ad0557981df85a8b4f3fb5",58,400,28,34,2,"red","5154"
"67ad0557981df85a8b4f3fb5",59,600,25,30,2,"red","6027"
"67ad0557981df85a8b4f3fb5",60,500,15,30,6,"red","1973"
"67ad0557981df85a8b4f3fb5",61,600,29,26,6,"red","11847"
"67ad0557981df85a8b4f3fb5",62,600,15,28,6,"red","2398"
"67ad0557981df85a8b4f3fb5",63,400,31,31,2,"red","6406"
"67ad0557981df85a8b4f3fb5",64,500,27,32,12,"red","7699"
"67ad0557981df85a8b4f3fb5",65,500,30,38,8,"red","2778"
"67ad0557981df85a8b4f3fb5",66,600,36,34,6,"red","2394"
"67ad0557981df85a8b4f3fb5",67,500,23,23,8,"red","4262"
"67ad0557981df85a8b4f3fb5",68,400,24,25,8,"red","9421"
"67ad0557981df85a8b4f3fb5",69,500,14,21,12,"blue","3241"
"67ad0557981df85a8b4f3fb5",70,400,26,24,12,"blue","5258"
"67ad0557981df85a8b4f3fb5",71,600,32,33,12,"blue","2224"
"67ad0557981df85a8b4f3fb5",72,600,34,37,6,"blue","11675"
"67ad0557981df85a8b4f3fb5",73,400,23,21,2,"blue","12642"
"67ad0557981df85a8b4f3fb5",74,400,19,21,12,"blue","4859"
"67ad0557981df85a8b4f3fb5",75,500,35,34,8,"blue","2982"
"67ad0557981df85a8b4f3fb5",76,600,34,33,8,"blue","8213"
"67ad0557981df85a8b4f3fb5",77,500,18,19,12,"blue","3154"
"67ad0557981df85a8b4f3fb5",78,400,23,24,6,"blue","12537"
"67ad0557981df85a8b4f3fb5",79,600,19,20,2,"blue","2638"
"67ad0557981df85a8b4f3fb5",80,600,25,17,6,"blue","3385"
"67ad0557981df85a8b4f3fb5",81,400,23,23,6,"blue","2694"
"67ad0557981df85a8b4f3fb5",82,400,32,31,6,"blue","2761"
"67ad0557981df85a8b4f3fb5",83,400,32,35,12,"blue","2451"
"67ad0557981df85a8b4f3fb5",84,400,23,31,12,"blue","3753"
"67ad0557981df85a8b4f3fb5",85,600,23,33,8,"blue","2212"
"67ad0557981df85a8b4f3fb5",86,600,21,15,6,"blue","5557"
"67ad0557981df85a8b4f3fb5",87,400,36,30,6,"blue","2861"
"67ad0557981df85a8b4f3fb5",88,600,16,35,2,"blue","5455"
"67ad0557981df85a8b4f3fb5",89,500,34,43,2,"blue","7776"
"67ad0557981df85a8b4f3fb5",90,600,20,24,6,"blue","2873"
"67ad0557981df85a8b4f3fb5",91,600,23,22,2,"blue","2706"
"67ad0557981df85a8b4f3fb5",92,400,16,15,2,"blue","3654"
"67ad0557981df85a8b4f3fb5",93,400,24,21,2,"blue","5805"
"67ad0557981df85a8b4f3fb5",94,400,35,36,12,"blue","2670"
"67ad0557981df85a8b4f3fb5",95,500,22,28,8,"blue","5372"
"67ad0557981df85a8b4f3fb5",96,600,21,15,2,"blue","6217"
