"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"67ad0557981df85a8b4f3fb5",28,600,16,28,8,"red",5144,8,"rt_bounds"
"67ad0557981df85a8b4f3fb5",29,500,17,26,12,"red",5126,9,"rt_bounds"
"67ad0557981df85a8b4f3fb5",31,500,24,29,8,"red",6427,11,"rt_bounds"
"67ad0557981df85a8b4f3fb5",32,500,29,35,8,"red",6632,12,"rt_bounds"
"67ad0557981df85a8b4f3fb5",35,500,26,27,8,"red",9084,15,"rt_bounds"
"67ad0557981df85a8b4f3fb5",36,600,25,24,2,"red",8491,16,"rt_bounds"
"67ad0557981df85a8b4f3fb5",44,600,36,32,2,"red",8589,24,"rt_bounds"
"67ad0557981df85a8b4f3fb5",47,400,23,26,2,"red",5105,27,"rt_bounds"
"67ad0557981df85a8b4f3fb5",49,400,31,29,12,"red",6676,29,"rt_bounds"
"67ad0557981df85a8b4f3fb5",50,400,30,26,8,"red",12309,30,"rt_bounds"
"67ad0557981df85a8b4f3fb5",52,600,22,27,12,"red",13793,32,"rt_bounds"
"67ad0557981df85a8b4f3fb5",53,400,19,24,6,"red",5640,33,"rt_bounds"
"67ad0557981df85a8b4f3fb5",57,600,27,36,6,"red",6943,37,"rt_bounds"
"67ad0557981df85a8b4f3fb5",58,400,28,34,2,"red",5154,38,"rt_bounds"
"67ad0557981df85a8b4f3fb5",59,600,25,30,2,"red",6027,39,"rt_bounds"
"67ad0557981df85a8b4f3fb5",61,600,29,26,6,"red",11847,41,"rt_bounds"
"67ad0557981df85a8b4f3fb5",63,400,31,31,2,"red",6406,43,"rt_bounds"
"67ad0557981df85a8b4f3fb5",64,500,27,32,12,"red",7699,44,"rt_bounds"
"67ad0557981df85a8b4f3fb5",68,400,24,25,8,"red",9421,48,"rt_bounds"
"67ad0557981df85a8b4f3fb5",70,400,26,24,12,"blue",5258,50,"rt_bounds"
"67ad0557981df85a8b4f3fb5",72,600,34,37,6,"blue",11675,52,"rt_bounds"
"67ad0557981df85a8b4f3fb5",73,400,23,21,2,"blue",12642,53,"rt_bounds"
"67ad0557981df85a8b4f3fb5",76,600,34,33,8,"blue",8213,56,"rt_bounds"
"67ad0557981df85a8b4f3fb5",78,400,23,24,6,"blue",12537,58,"rt_bounds"
"67ad0557981df85a8b4f3fb5",86,600,21,15,6,"blue",5557,66,"rt_bounds"
"67ad0557981df85a8b4f3fb5",88,600,16,35,2,"blue",5455,68,"rt_bounds"
"67ad0557981df85a8b4f3fb5",89,500,34,43,2,"blue",7776,69,"rt_bounds"
"67ad0557981df85a8b4f3fb5",93,400,24,21,2,"blue",5805,73,"rt_bounds"
"67ad0557981df85a8b4f3fb5",95,500,22,28,8,"blue",5372,75,"rt_bounds"
"67ad0557981df85a8b4f3fb5",96,600,21,15,2,"blue",6217,76,"rt_bounds"
"67ad0557981df85a8b4f3fb5",97,600,33,26,2,"blue",7611,77,"rt_bounds"
"67ad0557981df85a8b4f3fb5",100,500,20,20,2,"blue",12462,80,"rt_bounds"
"67ad0557981df85a8b4f3fb5",104,400,33,31,12,"blue",14123,84,"rt_bounds"
"67ad0557981df85a8b4f3fb5",105,600,15,17,12,"blue",5464,85,"rt_bounds"
"67ad0557981df85a8b4f3fb5",106,600,29,26,8,"blue",17065,86,"rt_bounds"
"67ad0557981df85a8b4f3fb5",107,600,17,11,2,"blue",11450,87,"rt_bounds"
"67ad0557981df85a8b4f3fb5",111,500,23,23,8,"blue",5615,91,"rt_bounds"
"67ad0557981df85a8b4f3fb5",112,600,27,23,6,"blue",6056,92,"rt_bounds"
"67ad0557981df85a8b4f3fb5",114,600,23,24,12,"blue",6223,94,"rt_bounds"
"67ad0557981df85a8b4f3fb5",115,600,28,25,8,"blue",7848,95,"rt_bounds"
"67d8b5e7ceb82869824198a2",22,600,21,11,2,"red",5156,98,"rt_bounds"
"67d8b5e7ceb82869824198a2",26,400,26,24,12,"red",5159,102,"rt_bounds"
"67d8b5e7ceb82869824198a2",27,600,36,31,6,"red",5728,103,"rt_bounds"
"67d8b5e7ceb82869824198a2",31,600,31,32,12,"red",5037,107,"rt_bounds"
"67d8b5e7ceb82869824198a2",33,400,22,17,12,"red",5249,109,"rt_bounds"
"67d8b5e7ceb82869824198a2",34,600,23,21,12,"red",6044,110,"rt_bounds"
"67d8b5e7ceb82869824198a2",35,500,24,25,12,"red",6384,111,"rt_bounds"
"67d8b5e7ceb82869824198a2",37,400,22,22,12,"red",5175,113,"rt_bounds"
"67d8b5e7ceb82869824198a2",38,400,36,31,2,"red",5950,114,"rt_bounds"
"67d8b5e7ceb82869824198a2",39,400,31,29,12,"red",5128,115,"rt_bounds"
"67d8b5e7ceb82869824198a2",40,500,25,12,8,"red",6690,116,"rt_bounds"
"67d8b5e7ceb82869824198a2",41,400,24,17,6,"red",5791,117,"rt_bounds"
"67d8b5e7ceb82869824198a2",44,600,25,26,12,"red",5612,120,"rt_bounds"
"67d8b5e7ceb82869824198a2",47,500,22,18,2,"red",7083,123,"rt_bounds"
"67d8b5e7ceb82869824198a2",49,500,32,25,2,"red",5552,125,"rt_bounds"
"67d8b5e7ceb82869824198a2",50,500,33,27,6,"red",6742,126,"rt_bounds"
"67d8b5e7ceb82869824198a2",53,500,21,23,6,"red",5123,129,"rt_bounds"
"67d8b5e7ceb82869824198a2",54,500,17,21,6,"red",6106,130,"rt_bounds"
"67d8b5e7ceb82869824198a2",59,500,36,24,8,"red",6144,135,"rt_bounds"
"67d8b5e7ceb82869824198a2",61,500,19,21,12,"red",5779,137,"rt_bounds"
"67d8b5e7ceb82869824198a2",66,500,23,23,8,"red",5683,142,"rt_bounds"
"67d8b5e7ceb82869824198a2",67,400,16,20,6,"red",5100,143,"rt_bounds"
"67d8b5e7ceb82869824198a2",68,500,18,13,8,"red",7290,144,"rt_bounds"
"67d8b5e7ceb82869824198a2",69,500,23,22,2,"blue",5379,145,"rt_bounds"
"67d8b5e7ceb82869824198a2",71,500,24,30,8,"blue",5195,147,"rt_bounds"
"67d8b5e7ceb82869824198a2",76,600,23,20,2,"blue",5513,152,"rt_bounds"
"67d8b5e7ceb82869824198a2",78,600,33,24,6,"blue",6093,154,"rt_bounds"
"67d8b5e7ceb82869824198a2",79,500,32,28,12,"blue",5115,155,"rt_bounds"
