"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"666fb6f24d1c14f333eb4a0a",38,400,22,19,10,"red",5427,18,"rt_bounds"
"666fb6f24d1c14f333eb4a0a",39,500,23,17,10,"red",5515,19,"rt_bounds"
"666fb6f24d1c14f333eb4a0a",49,600,33,30,10,"red",8278,29,"rt_bounds"
"67414dcbcf89f6a633385d49",36,600,21,23,2,"red",5341,400,"rt_bounds"
"67414dcbcf89f6a633385d49",105,500,35,33,2,"blue",5092,469,"rt_bounds"
"67414dcbcf89f6a633385d49",112,500,35,31,2,"blue",5339,476,"rt_bounds"
"67414dcbcf89f6a633385d49",36,600,21,23,2,"red",5341,496,"rt_bounds"
"67414dcbcf89f6a633385d49",105,500,35,33,2,"blue",5092,565,"rt_bounds"
"67414dcbcf89f6a633385d49",112,500,35,31,2,"blue",5339,572,"rt_bounds"
"677c5e96582459bcf49e80da",22,500,27,21,10,"red",5498,578,"rt_bounds"
"677c5e96582459bcf49e80da",23,500,20,21,10,"red",7961,579,"rt_bounds"
"677c5e96582459bcf49e80da",24,400,24,13,20,"red",5576,580,"rt_bounds"
"677c5e96582459bcf49e80da",26,600,22,19,10,"red",6129,582,"rt_bounds"
"677c5e96582459bcf49e80da",30,600,23,21,10,"red",6165,586,"rt_bounds"
"677c5e96582459bcf49e80da",31,500,33,27,10,"red",6559,587,"rt_bounds"
"677c5e96582459bcf49e80da",33,400,28,27,2,"red",8062,589,"rt_bounds"
"677c5e96582459bcf49e80da",35,600,31,23,2,"red",10526,591,"rt_bounds"
"677c5e96582459bcf49e80da",36,500,22,17,2,"red",7164,592,"rt_bounds"
"677c5e96582459bcf49e80da",37,400,27,21,20,"red",7429,593,"rt_bounds"
"677c5e96582459bcf49e80da",38,400,32,27,10,"red",7628,594,"rt_bounds"
"677c5e96582459bcf49e80da",39,600,20,21,2,"red",6440,595,"rt_bounds"
"677c5e96582459bcf49e80da",40,500,25,22,2,"red",6197,596,"rt_bounds"
"677c5e96582459bcf49e80da",42,600,34,27,2,"red",9066,598,"rt_bounds"
"677c5e96582459bcf49e80da",44,600,26,20,2,"red",6162,600,"rt_bounds"
"677c5e96582459bcf49e80da",45,400,15,13,2,"red",6013,601,"rt_bounds"
"677c5e96582459bcf49e80da",46,400,36,35,2,"red",6709,602,"rt_bounds"
"677c5e96582459bcf49e80da",47,600,20,23,20,"red",6955,603,"rt_bounds"
"677c5e96582459bcf49e80da",49,500,36,33,10,"red",6003,605,"rt_bounds"
"677c5e96582459bcf49e80da",51,500,28,26,2,"red",5230,607,"rt_bounds"
"677c5e96582459bcf49e80da",52,500,30,24,10,"red",5998,608,"rt_bounds"
"677c5e96582459bcf49e80da",53,600,32,29,10,"red",5053,609,"rt_bounds"
"677c5e96582459bcf49e80da",54,500,34,29,2,"red",5114,610,"rt_bounds"
"677c5e96582459bcf49e80da",55,600,30,23,20,"red",5826,611,"rt_bounds"
"677c5e96582459bcf49e80da",56,600,28,23,20,"red",5601,612,"rt_bounds"
"677c5e96582459bcf49e80da",57,600,17,16,2,"red",5245,613,"rt_bounds"
"677c5e96582459bcf49e80da",58,400,16,18,10,"red",7045,614,"rt_bounds"
"677c5e96582459bcf49e80da",59,600,17,18,2,"red",5860,615,"rt_bounds"
"677c5e96582459bcf49e80da",61,500,18,19,10,"red",5369,617,"rt_bounds"
"677c5e96582459bcf49e80da",62,400,35,30,10,"red",5292,618,"rt_bounds"
"677c5e96582459bcf49e80da",63,500,31,27,20,"red",6228,619,"rt_bounds"
"677c5e96582459bcf49e80da",64,400,24,21,2,"red",5248,620,"rt_bounds"
"677c5e96582459bcf49e80da",67,500,32,28,2,"red",5681,623,"rt_bounds"
"677c5e96582459bcf49e80da",69,500,17,13,20,"blue",5953,625,"rt_bounds"
