"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","7","0.0-0.0","67e6619a3bf0679ee4175214","","","",""
"external-html","1","45890","0.0-1.0","67e6619a3bf0679ee4175214","45519.89999997616","external_page.html","",""
"instructions","2","159308","0.0-2.0","67e6619a3bf0679ee4175214","113416","","[{""page_index"":0,""viewing_time"":25944.600000023842},{""page_index"":1,""viewing_time"":18701.5},{""page_index"":2,""viewing_time"":62947.69999998808},{""page_index"":3,""viewing_time"":5821.300000011921}]",""
"survey-text","3","168812","0.0-3.0","67e6619a3bf0679ee4175214","9485.399999976158","","","{""Q0"":""67e6619a3bf0679ee4175214""}"
"instructions","4","172146","0.0-4.0","67e6619a3bf0679ee4175214","3331.800000011921","","[{""page_index"":0,""viewing_time"":3331.300000011921}]",""
"survey-text","5","417714","0.0-5.0","67e6619a3bf0679ee4175214","245564.80000001192","","","{""Q0"":""It's an image of three giraffes,two are facing in one direction ,while the other one in opposite direction.""}"
"survey-text","6","464526","0.0-6.0-0.0","67e6619a3bf0679ee4175214","46805.60000002384","","","{""Q0"":""It's an image of three giraffes,two are facing in one direction ,while the other one in opposite direction.""}"
"survey-text","7","512736","0.0-6.1-0.1","67e6619a3bf0679ee4175214","34617","","","{""Q0"":""It's an image of three  giraffes ,two are facing in one direction ,while the other one in opposite direction.""}"
"survey-text","8","560852","0.0-6.2-0.2","67e6619a3bf0679ee4175214","40183.299999952316","","","{""Q0"":""An image of three giraffes.""}"
"survey-text","9","604304","0.0-6.3-0.3","67e6619a3bf0679ee4175214","23959.400000035763","","","{""Q0"":""AN IMAGE OF THREE GIRAFFES.""}"
