"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"676f37ed7c44110e5278cc97",93,500,32,36,20,"blue",8508,73,"rt_bounds"
"662c299e6db88649ff13ccae",42,600,20,15,20,"red",10896,310,"rt_bounds"
"662c299e6db88649ff13ccae",44,600,20,16,10,"red",9827,312,"rt_bounds"
"662c299e6db88649ff13ccae",51,600,22,25,20,"red",10829,319,"rt_bounds"
"662c299e6db88649ff13ccae",58,600,34,34,10,"red",8850,326,"rt_bounds"
"662c299e6db88649ff13ccae",69,400,14,15,20,"blue",10083,337,"rt_bounds"
"662c299e6db88649ff13ccae",79,600,30,12,2,"blue",11917,347,"rt_bounds"
"662c299e6db88649ff13ccae",87,400,28,21,10,"blue",11247,355,"rt_bounds"
"662c299e6db88649ff13ccae",102,500,23,14,10,"blue",11907,370,"rt_bounds"
"670feba2e636f738625aa72d",23,500,34,34,20,"red",8783,387,"rt_bounds"
"670feba2e636f738625aa72d",49,400,31,22,10,"red",8728,413,"rt_bounds"
"670feba2e636f738625aa72d",64,600,22,12,2,"red",8701,428,"rt_bounds"
"67ef0ffd5065856baab09f1a",44,500,26,32,2,"blue",9496,504,"rt_bounds"
"67ef0ffd5065856baab09f1a",46,600,24,22,20,"blue",8365,506,"rt_bounds"
"67ef0ffd5065856baab09f1a",50,400,22,29,10,"blue",13597,510,"rt_bounds"
"67ef0ffd5065856baab09f1a",59,400,34,0,2,"blue",17451,519,"rt_bounds"
"67ef0ffd5065856baab09f1a",102,500,31,28,2,"red",11977,562,"rt_bounds"
"67df971ade30d8628a50216a",34,500,35,22,2,"blue",14623,782,"rt_bounds"
"67df971ade30d8628a50216a",65,500,30,24,2,"blue",9941,813,"rt_bounds"
"67df971ade30d8628a50216a",91,400,21,17,20,"red",53150,839,"rt_bounds"
"67df971ade30d8628a50216a",104,400,25,15,2,"red",89626,852,"rt_bounds"
"66ce5adac1cd4b6037be4a63",21,500,26,38,2,"blue",9101,1537,"rt_bounds"
"66ce5adac1cd4b6037be4a63",26,400,20,35,10,"blue",8745,1542,"rt_bounds"
"66ce5adac1cd4b6037be4a63",29,600,35,41,20,"blue",8202,1545,"rt_bounds"
"66ce5adac1cd4b6037be4a63",46,400,24,14,2,"blue",9578,1562,"rt_bounds"
"66ce5adac1cd4b6037be4a63",47,600,28,26,10,"blue",8357,1563,"rt_bounds"
"66ce5adac1cd4b6037be4a63",55,600,25,16,2,"blue",8715,1571,"rt_bounds"
"66ce5adac1cd4b6037be4a63",61,400,32,41,2,"blue",8716,1577,"rt_bounds"
"66ce5adac1cd4b6037be4a63",64,400,20,16,20,"blue",10259,1580,"rt_bounds"
"66ce5adac1cd4b6037be4a63",68,500,16,11,10,"blue",8327,1584,"rt_bounds"
"66ce5adac1cd4b6037be4a63",69,400,18,9,20,"red",8479,1585,"rt_bounds"
"66ce5adac1cd4b6037be4a63",72,400,28,32,10,"red",8092,1588,"rt_bounds"
"66ce5adac1cd4b6037be4a63",78,600,15,11,20,"red",8235,1594,"rt_bounds"
"66ce5adac1cd4b6037be4a63",100,500,21,31,2,"red",8275,1616,"rt_bounds"
"66ce5adac1cd4b6037be4a63",101,400,16,10,20,"red",9037,1617,"rt_bounds"
"66ce5adac1cd4b6037be4a63",103,400,14,30,10,"red",9573,1619,"rt_bounds"
"66ce5adac1cd4b6037be4a63",104,600,29,37,2,"red",9641,1620,"rt_bounds"
"66ce5adac1cd4b6037be4a63",107,400,19,20,10,"red",8318,1623,"rt_bounds"
"668c0bc95fadbd0e93071351",21,400,14,4,2,"blue",10232,1729,"rt_bounds"
"668c0bc95fadbd0e93071351",22,400,34,18,2,"blue",8400,1730,"rt_bounds"
"668c0bc95fadbd0e93071351",27,400,34,4,2,"blue",14157,1735,"rt_bounds"
"668c0bc95fadbd0e93071351",28,600,17,9,2,"blue",31051,1736,"rt_bounds"
"668c0bc95fadbd0e93071351",29,500,21,23,10,"blue",9735,1737,"rt_bounds"
"668c0bc95fadbd0e93071351",34,600,21,21,10,"blue",18134,1742,"rt_bounds"
"668c0bc95fadbd0e93071351",39,600,32,26,20,"blue",9641,1747,"rt_bounds"
"668c0bc95fadbd0e93071351",40,500,31,23,10,"blue",23518,1748,"rt_bounds"
"668c0bc95fadbd0e93071351",41,500,30,23,10,"blue",12354,1749,"rt_bounds"
"668c0bc95fadbd0e93071351",42,500,29,22,2,"blue",9371,1750,"rt_bounds"
"668c0bc95fadbd0e93071351",48,500,26,15,20,"blue",12367,1756,"rt_bounds"
"668c0bc95fadbd0e93071351",49,600,35,25,10,"blue",13390,1757,"rt_bounds"
"668c0bc95fadbd0e93071351",50,500,18,18,2,"blue",9661,1758,"rt_bounds"
"668c0bc95fadbd0e93071351",51,500,15,12,20,"blue",10817,1759,"rt_bounds"
"668c0bc95fadbd0e93071351",55,600,31,13,10,"blue",16300,1763,"rt_bounds"
"668c0bc95fadbd0e93071351",56,600,14,14,10,"blue",12871,1764,"rt_bounds"
"668c0bc95fadbd0e93071351",57,500,25,14,10,"blue",21845,1765,"rt_bounds"
"668c0bc95fadbd0e93071351",58,500,22,16,20,"blue",9497,1766,"rt_bounds"
"668c0bc95fadbd0e93071351",60,400,25,24,20,"blue",12144,1768,"rt_bounds"
"668c0bc95fadbd0e93071351",61,400,16,16,2,"blue",10362,1769,"rt_bounds"
"668c0bc95fadbd0e93071351",64,500,26,18,2,"blue",8660,1772,"rt_bounds"
"668c0bc95fadbd0e93071351",66,500,18,11,10,"blue",10213,1774,"rt_bounds"
"668c0bc95fadbd0e93071351",67,600,26,16,20,"blue",11426,1775,"rt_bounds"
"668c0bc95fadbd0e93071351",69,600,18,7,20,"red",11114,1777,"rt_bounds"
"668c0bc95fadbd0e93071351",80,400,31,16,10,"red",27625,1788,"rt_bounds"
"668c0bc95fadbd0e93071351",81,500,23,11,10,"red",8259,1789,"rt_bounds"
"668c0bc95fadbd0e93071351",84,600,19,12,2,"red",9131,1792,"rt_bounds"
"668c0bc95fadbd0e93071351",89,500,16,5,10,"red",10760,1797,"rt_bounds"
"668c0bc95fadbd0e93071351",97,400,29,22,2,"red",9356,1805,"rt_bounds"
"668c0bc95fadbd0e93071351",99,500,20,15,20,"red",13256,1807,"rt_bounds"
"668c0bc95fadbd0e93071351",100,400,23,16,10,"red",17312,1808,"rt_bounds"
"668c0bc95fadbd0e93071351",101,600,29,21,10,"red",9264,1809,"rt_bounds"
"668c0bc95fadbd0e93071351",102,500,29,15,20,"red",12566,1810,"rt_bounds"
"668c0bc95fadbd0e93071351",105,400,20,14,20,"red",49603,1813,"rt_bounds"
"668c0bc95fadbd0e93071351",107,400,20,10,20,"red",14659,1815,"rt_bounds"
"668c0bc95fadbd0e93071351",109,500,20,5,2,"red",9992,1817,"rt_bounds"
"67f0470dc52f142ca66823c8",24,500,26,15,20,"blue",12136,1924,"rt_bounds"
"67f0470dc52f142ca66823c8",30,400,33,22,2,"blue",8586,1930,"rt_bounds"
"67f0470dc52f142ca66823c8",31,400,15,11,20,"blue",35784,1931,"rt_bounds"
"67f0470dc52f142ca66823c8",36,400,22,18,20,"blue",10250,1936,"rt_bounds"
"67f0470dc52f142ca66823c8",38,400,28,18,2,"blue",23116,1938,"rt_bounds"
"67f0470dc52f142ca66823c8",44,500,23,18,2,"blue",13111,1944,"rt_bounds"
"67f0470dc52f142ca66823c8",51,400,31,18,10,"blue",13024,1951,"rt_bounds"
"67f0470dc52f142ca66823c8",55,600,32,24,20,"blue",8902,1955,"rt_bounds"
"67f0470dc52f142ca66823c8",56,500,20,14,2,"blue",9645,1956,"rt_bounds"
"67f0470dc52f142ca66823c8",65,600,24,17,10,"blue",11618,1965,"rt_bounds"
"67f0470dc52f142ca66823c8",73,400,36,13,2,"red",9654,1973,"rt_bounds"
"67f0470dc52f142ca66823c8",75,500,36,17,20,"red",9924,1975,"rt_bounds"
"67f0470dc52f142ca66823c8",76,500,29,24,10,"red",16425,1976,"rt_bounds"
"67f0470dc52f142ca66823c8",77,600,14,17,20,"red",28373,1977,"rt_bounds"
"67f0470dc52f142ca66823c8",90,600,31,18,2,"red",9632,1990,"rt_bounds"
"67f0470dc52f142ca66823c8",98,400,29,21,20,"red",8050,1998,"rt_bounds"
"67f0470dc52f142ca66823c8",112,600,35,14,2,"red",8292,2012,"rt_bounds"
"62fbeca46caf4abaaf74b5f1",100,400,25,23,2,"red",8648,2192,"rt_bounds"
"60fe21d7301f49dfc4aa5f3a",112,400,29,12,20,"red",9181,2300,"rt_bounds"
"60087afa0a5c054c002eaf0e",94,500,26,36,20,"red",109025,2378,"rt_bounds"
"67d0a57b0a4981c5e65c3bcc",60,400,36,17,10,"blue",14958,2920,"rt_bounds"
"6625c9127eee9a3639d7e1af",98,600,32,25,10,"blue",8762,3054,"rt_bounds"
"6625c9127eee9a3639d7e1af",98,600,32,25,10,"blue",8762,3150,"rt_bounds"
"66491e9882aaa64c5d0911d5",44,600,28,20,10,"red",8160,3192,"rt_bounds"
"66491e9882aaa64c5d0911d5",73,500,36,23,10,"blue",10199,3221,"rt_bounds"
"66491e9882aaa64c5d0911d5",85,400,32,32,2,"blue",10798,3233,"rt_bounds"
"66491e9882aaa64c5d0911d5",87,500,18,25,20,"blue",8629,3235,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",27,500,35,30,2,"red",8211,3271,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",28,400,28,28,10,"red",10433,3272,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",29,600,24,29,2,"red",15815,3273,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",30,400,30,28,2,"red",9926,3274,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",38,500,18,31,2,"red",10064,3282,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",47,500,23,35,20,"red",9355,3291,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",48,400,21,36,2,"red",10749,3292,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",49,500,20,19,2,"red",9915,3293,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",50,600,31,27,20,"red",15347,3294,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",53,400,22,14,2,"red",10199,3297,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",56,600,28,33,10,"red",11826,3300,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",57,400,36,39,2,"red",10165,3301,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",64,400,20,35,20,"red",10248,3308,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",74,500,14,23,10,"blue",11040,3318,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",99,600,35,23,10,"blue",9846,3343,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",106,400,24,27,20,"blue",8144,3350,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",108,600,18,30,20,"blue",8646,3352,"rt_bounds"
"67d36708a7ca7a13dbc0bce1",110,400,34,32,10,"blue",8605,3354,"rt_bounds"
"65a7027c88eae2b9a68ae596",26,500,29,20,20,"blue",8001,3558,"rt_bounds"
"65a7027c88eae2b9a68ae596",29,400,30,23,2,"blue",16645,3561,"rt_bounds"
"65a7027c88eae2b9a68ae596",36,600,29,20,2,"blue",16345,3568,"rt_bounds"
"65a7027c88eae2b9a68ae596",45,400,28,37,10,"blue",9380,3577,"rt_bounds"
"65a7027c88eae2b9a68ae596",49,400,24,24,20,"blue",17939,3581,"rt_bounds"
"65a7027c88eae2b9a68ae596",58,400,32,24,2,"blue",8902,3590,"rt_bounds"
"67d48133208e9bbe96dc6761",96,500,15,25,2,"red",10096,3724,"rt_bounds"
"67c8825394a997c0c713156a",56,500,17,20,2,"red",10199,3780,"rt_bounds"
"67c8825394a997c0c713156a",69,500,19,20,10,"blue",50496,3793,"rt_bounds"
"67c8825394a997c0c713156a",84,400,26,19,20,"blue",10391,3808,"rt_bounds"
"67c8825394a997c0c713156a",91,400,28,14,10,"blue",79363,3815,"rt_bounds"
