"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"653703627539f3a8b2ed4af3",44,400,17,22,12,"red",11097,24,"rt_bounds"
"67c44dd612fd47cf995211d8",27,600,29,0,12,"blue",8242,295,"rt_bounds"
"67c44dd612fd47cf995211d8",28,600,34,37,8,"blue",11221,296,"rt_bounds"
"67c44dd612fd47cf995211d8",30,600,14,35,8,"blue",8931,298,"rt_bounds"
"67c44dd612fd47cf995211d8",31,500,19,18,8,"blue",8344,299,"rt_bounds"
"67c44dd612fd47cf995211d8",35,400,29,34,12,"blue",11488,303,"rt_bounds"
"67c44dd612fd47cf995211d8",38,400,28,31,12,"blue",8924,306,"rt_bounds"
"67c44dd612fd47cf995211d8",39,500,25,31,6,"blue",13239,307,"rt_bounds"
"67c44dd612fd47cf995211d8",55,600,17,35,2,"blue",8141,323,"rt_bounds"
"67c44dd612fd47cf995211d8",82,400,30,34,6,"red",14363,350,"rt_bounds"
"67c44dd612fd47cf995211d8",92,500,31,31,12,"red",16053,360,"rt_bounds"
"67c44dd612fd47cf995211d8",113,500,32,33,6,"red",13344,381,"rt_bounds"
"67d086393f43728f3325b593",21,600,24,17,2,"blue",9374,385,"rt_bounds"
"67d086393f43728f3325b593",22,600,30,21,8,"blue",10857,386,"rt_bounds"
"67d086393f43728f3325b593",24,500,18,22,12,"blue",51081,388,"rt_bounds"
"67d086393f43728f3325b593",25,600,33,20,8,"blue",61703,389,"rt_bounds"
"67d086393f43728f3325b593",28,500,23,18,2,"blue",41174,392,"rt_bounds"
"67d086393f43728f3325b593",29,600,31,24,8,"blue",30764,393,"rt_bounds"
"67d086393f43728f3325b593",39,400,24,15,12,"blue",80088,403,"rt_bounds"
"67d086393f43728f3325b593",69,500,24,18,12,"red",8128,433,"rt_bounds"
"66ea6bd034571ff4a00f2171",55,600,15,18,12,"blue",8552,515,"rt_bounds"
"66ea6bd034571ff4a00f2171",58,500,26,20,12,"blue",8665,518,"rt_bounds"
"678c25598730346bf11e22ce",22,500,21,0,8,"red",13,674,"rt_bounds"
"678c25598730346bf11e22ce",27,500,16,0,8,"red",66,679,"rt_bounds"
"678c25598730346bf11e22ce",33,600,28,0,6,"red",54,685,"rt_bounds"
"678c25598730346bf11e22ce",38,600,34,0,8,"red",227,690,"rt_bounds"
"678c25598730346bf11e22ce",47,600,35,0,12,"red",52,699,"rt_bounds"
"678c25598730346bf11e22ce",51,500,22,0,6,"red",248,703,"rt_bounds"
"678c25598730346bf11e22ce",54,400,22,0,8,"red",178,706,"rt_bounds"
"678c25598730346bf11e22ce",63,400,16,0,12,"red",201,715,"rt_bounds"
"678c25598730346bf11e22ce",64,400,25,9,2,"red",8556,716,"rt_bounds"
"678c25598730346bf11e22ce",74,600,19,19,2,"blue",8530,726,"rt_bounds"
"678c25598730346bf11e22ce",79,600,32,22,8,"blue",8093,731,"rt_bounds"
"678c25598730346bf11e22ce",81,600,23,19,2,"blue",8012,733,"rt_bounds"
"678c25598730346bf11e22ce",109,400,17,23,8,"blue",9652,761,"rt_bounds"
"678c25598730346bf11e22ce",110,400,22,27,6,"blue",13074,762,"rt_bounds"
"678c25598730346bf11e22ce",112,400,31,17,8,"blue",8733,764,"rt_bounds"
"678c25598730346bf11e22ce",115,500,28,16,12,"blue",8049,767,"rt_bounds"
"67b6e6cd3ff52d5036ecc0f9",25,500,16,25,6,"red",16516,773,"rt_bounds"
"67b6e6cd3ff52d5036ecc0f9",26,400,21,29,12,"red",26319,774,"rt_bounds"
"653feb348f4df4e625de5909",36,400,22,27,6,"red",8170,880,"rt_bounds"
"653feb348f4df4e625de5909",37,600,32,30,12,"red",10849,881,"rt_bounds"
"653feb348f4df4e625de5909",38,500,17,32,12,"red",8344,882,"rt_bounds"
"653feb348f4df4e625de5909",39,600,28,34,12,"red",8905,883,"rt_bounds"
"653feb348f4df4e625de5909",47,500,19,27,2,"red",9860,891,"rt_bounds"
"653feb348f4df4e625de5909",51,500,35,37,8,"red",11990,895,"rt_bounds"
"653feb348f4df4e625de5909",103,500,34,35,8,"blue",8730,947,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",22,400,24,23,2,"blue",24521,962,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",23,500,35,26,2,"blue",8168,963,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",27,400,36,29,8,"blue",8203,967,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",34,400,31,9,2,"blue",10671,974,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",43,600,31,25,12,"blue",9682,983,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",94,500,33,23,12,"red",8968,1034,"rt_bounds"
"67f0130f2e5e1c69ddbcfcdd",95,400,16,20,6,"red",12607,1035,"rt_bounds"
"636da58a0d76bbb9167dbf3e",21,600,21,23,2,"red",16705,1153,"rt_bounds"
"636da58a0d76bbb9167dbf3e",115,600,36,37,12,"blue",10347,1247,"rt_bounds"
"677ad429ed36352f4c58ea48",21,600,27,33,8,"red",8757,1249,"rt_bounds"
"677ad429ed36352f4c58ea48",22,600,26,33,2,"red",10301,1250,"rt_bounds"
"677ad429ed36352f4c58ea48",32,600,35,35,2,"red",8055,1260,"rt_bounds"
"677ad429ed36352f4c58ea48",42,400,17,33,12,"red",12665,1270,"rt_bounds"
"677ad429ed36352f4c58ea48",44,400,16,19,12,"red",92116,1272,"rt_bounds"
"677ad429ed36352f4c58ea48",45,400,23,0,2,"red",19852,1273,"rt_bounds"
"677ad429ed36352f4c58ea48",46,600,17,18,8,"red",9968,1274,"rt_bounds"
"677ad429ed36352f4c58ea48",52,600,28,34,8,"red",13440,1280,"rt_bounds"
"677ad429ed36352f4c58ea48",53,400,17,24,2,"red",11228,1281,"rt_bounds"
"677ad429ed36352f4c58ea48",54,600,34,33,6,"red",18510,1282,"rt_bounds"
"677ad429ed36352f4c58ea48",55,500,25,34,6,"red",17645,1283,"rt_bounds"
"677ad429ed36352f4c58ea48",56,400,32,24,6,"red",35258,1284,"rt_bounds"
"677ad429ed36352f4c58ea48",60,500,24,23,8,"red",11464,1288,"rt_bounds"
"677ad429ed36352f4c58ea48",61,500,33,0,8,"red",9139,1289,"rt_bounds"
"677ad429ed36352f4c58ea48",69,500,17,12,8,"blue",14783,1297,"rt_bounds"
"677ad429ed36352f4c58ea48",76,600,26,29,6,"blue",8448,1304,"rt_bounds"
"677ad429ed36352f4c58ea48",89,500,35,29,2,"blue",12023,1317,"rt_bounds"
"677ad429ed36352f4c58ea48",102,600,20,27,12,"blue",10159,1330,"rt_bounds"
"677ad429ed36352f4c58ea48",106,500,17,25,2,"blue",15402,1334,"rt_bounds"
"677ad429ed36352f4c58ea48",107,400,22,26,6,"blue",8154,1335,"rt_bounds"
"677ad429ed36352f4c58ea48",110,500,35,29,8,"blue",11603,1338,"rt_bounds"
"67899bebbf12a390ddcc0848",21,400,35,28,6,"blue",9658,1345,"rt_bounds"
"67899bebbf12a390ddcc0848",24,400,22,42,6,"blue",9712,1348,"rt_bounds"
"67899bebbf12a390ddcc0848",25,500,24,41,6,"blue",11379,1349,"rt_bounds"
"67899bebbf12a390ddcc0848",26,400,28,42,6,"blue",31866,1350,"rt_bounds"
"67899bebbf12a390ddcc0848",27,400,28,37,8,"blue",20895,1351,"rt_bounds"
"67899bebbf12a390ddcc0848",28,500,29,34,2,"blue",64871,1352,"rt_bounds"
"67899bebbf12a390ddcc0848",30,400,34,40,8,"blue",9813,1354,"rt_bounds"
"67899bebbf12a390ddcc0848",31,400,32,35,2,"blue",46674,1355,"rt_bounds"
"67899bebbf12a390ddcc0848",32,500,32,39,6,"blue",12117,1356,"rt_bounds"
"67899bebbf12a390ddcc0848",33,400,20,40,12,"blue",112901,1357,"rt_bounds"
"67899bebbf12a390ddcc0848",34,500,30,40,8,"blue",27685,1358,"rt_bounds"
"67899bebbf12a390ddcc0848",37,500,19,32,12,"blue",19843,1361,"rt_bounds"
"67899bebbf12a390ddcc0848",38,400,35,12,12,"blue",30092,1362,"rt_bounds"
"67899bebbf12a390ddcc0848",39,600,22,5,12,"blue",9265,1363,"rt_bounds"
"67899bebbf12a390ddcc0848",40,500,16,4,8,"blue",8847,1364,"rt_bounds"
"67899bebbf12a390ddcc0848",41,600,32,9,12,"blue",10133,1365,"rt_bounds"
"67899bebbf12a390ddcc0848",42,600,31,38,8,"blue",18729,1366,"rt_bounds"
"67899bebbf12a390ddcc0848",44,400,18,34,2,"blue",17204,1368,"rt_bounds"
"67899bebbf12a390ddcc0848",45,600,23,10,2,"blue",13531,1369,"rt_bounds"
"67899bebbf12a390ddcc0848",46,600,25,12,8,"blue",10735,1370,"rt_bounds"
"67899bebbf12a390ddcc0848",47,600,32,15,8,"blue",30398,1371,"rt_bounds"
"67899bebbf12a390ddcc0848",48,600,16,12,12,"blue",17134,1372,"rt_bounds"
"67899bebbf12a390ddcc0848",49,400,24,18,6,"blue",20274,1373,"rt_bounds"
"67899bebbf12a390ddcc0848",50,500,25,12,6,"blue",25933,1374,"rt_bounds"
"67899bebbf12a390ddcc0848",51,500,35,15,6,"blue",51728,1375,"rt_bounds"
"67899bebbf12a390ddcc0848",53,500,36,15,2,"blue",25062,1377,"rt_bounds"
"67899bebbf12a390ddcc0848",55,500,35,31,2,"blue",9277,1379,"rt_bounds"
"67899bebbf12a390ddcc0848",57,400,33,22,2,"blue",27081,1381,"rt_bounds"
"67899bebbf12a390ddcc0848",60,400,23,24,8,"blue",33307,1384,"rt_bounds"
"67899bebbf12a390ddcc0848",61,600,19,18,2,"blue",10949,1385,"rt_bounds"
"67899bebbf12a390ddcc0848",62,500,15,16,6,"blue",40736,1386,"rt_bounds"
"67899bebbf12a390ddcc0848",63,600,24,15,12,"blue",28464,1387,"rt_bounds"
"67899bebbf12a390ddcc0848",64,400,18,24,12,"blue",11426,1388,"rt_bounds"
"67899bebbf12a390ddcc0848",65,600,31,31,6,"blue",304439,1389,"rt_bounds"
