"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"653703627539f3a8b2ed4af3",21,400,20,18,6,"red",2025
"653703627539f3a8b2ed4af3",22,400,31,25,6,"red",2519
"653703627539f3a8b2ed4af3",23,400,24,27,8,"red",2131
"653703627539f3a8b2ed4af3",24,600,14,15,8,"red",2267
"653703627539f3a8b2ed4af3",26,400,20,15,2,"red",2348
"653703627539f3a8b2ed4af3",27,600,23,16,2,"red",1808
"653703627539f3a8b2ed4af3",28,500,16,18,6,"red",2838
"653703627539f3a8b2ed4af3",29,600,32,25,12,"red",1777
"653703627539f3a8b2ed4af3",30,400,23,22,6,"red",1685
"653703627539f3a8b2ed4af3",31,500,27,29,12,"red",1898
"653703627539f3a8b2ed4af3",32,500,30,31,6,"red",1961
"653703627539f3a8b2ed4af3",33,600,27,24,2,"red",2089
"653703627539f3a8b2ed4af3",34,400,33,25,2,"red",2026
"653703627539f3a8b2ed4af3",35,600,21,15,2,"red",1794
"653703627539f3a8b2ed4af3",36,600,15,13,8,"red",1512
"653703627539f3a8b2ed4af3",37,600,23,18,2,"red",1992
"653703627539f3a8b2ed4af3",38,400,25,21,6,"red",2153
"653703627539f3a8b2ed4af3",39,400,25,23,8,"red",1848
"653703627539f3a8b2ed4af3",40,600,28,25,2,"red",2272
"653703627539f3a8b2ed4af3",41,400,18,21,12,"red",2053
"653703627539f3a8b2ed4af3",42,600,34,29,2,"red",1920
"653703627539f3a8b2ed4af3",43,400,15,16,6,"red",1297
"653703627539f3a8b2ed4af3",46,600,19,25,8,"red",2163
"653703627539f3a8b2ed4af3",47,400,29,22,12,"red",1567
"653703627539f3a8b2ed4af3",48,400,18,17,8,"red",1703
"653703627539f3a8b2ed4af3",49,400,24,16,8,"red",1523
"653703627539f3a8b2ed4af3",50,600,21,15,2,"red",1688
"653703627539f3a8b2ed4af3",51,500,29,25,12,"red",1891
"653703627539f3a8b2ed4af3",52,400,32,23,2,"red",1837
"653703627539f3a8b2ed4af3",54,400,22,22,12,"red",2391
"653703627539f3a8b2ed4af3",55,400,15,14,8,"red",1444
"653703627539f3a8b2ed4af3",56,400,21,11,2,"red",1794
"653703627539f3a8b2ed4af3",57,400,32,22,8,"red",1491
"653703627539f3a8b2ed4af3",58,400,24,17,6,"red",1450
"653703627539f3a8b2ed4af3",59,600,28,28,12,"red",1534
"653703627539f3a8b2ed4af3",60,500,27,22,8,"red",1559
"653703627539f3a8b2ed4af3",61,400,32,25,12,"red",1588
"653703627539f3a8b2ed4af3",62,600,34,27,6,"red",1482
"653703627539f3a8b2ed4af3",63,400,27,21,8,"red",1824
"653703627539f3a8b2ed4af3",64,600,22,14,6,"red",1724
"653703627539f3a8b2ed4af3",65,500,17,12,12,"red",1557
"653703627539f3a8b2ed4af3",66,400,25,15,6,"red",1519
"653703627539f3a8b2ed4af3",67,400,21,13,8,"red",1799
"653703627539f3a8b2ed4af3",68,400,23,18,12,"red",2282
"653703627539f3a8b2ed4af3",69,600,21,23,8,"blue",2746
"653703627539f3a8b2ed4af3",70,500,18,15,2,"blue",2359
"653703627539f3a8b2ed4af3",71,500,22,18,2,"blue",1995
"653703627539f3a8b2ed4af3",72,600,16,17,8,"blue",1536
"653703627539f3a8b2ed4af3",73,400,26,25,8,"blue",1737
"653703627539f3a8b2ed4af3",74,600,34,29,6,"blue",1538
"653703627539f3a8b2ed4af3",75,400,15,10,2,"blue",1357
"653703627539f3a8b2ed4af3",76,500,23,19,8,"blue",1416
