"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"653703627539f3a8b2ed4af3",44,400,17,22,12,"red",11097,24,"rt_bounds"
"67c44dd612fd47cf995211d8",23,500,22,32,2,"blue",7384,291,"rt_bounds"
"67c44dd612fd47cf995211d8",24,400,16,30,12,"blue",6091,292,"rt_bounds"
"67c44dd612fd47cf995211d8",27,600,29,0,12,"blue",8242,295,"rt_bounds"
"67c44dd612fd47cf995211d8",28,600,34,37,8,"blue",11221,296,"rt_bounds"
"67c44dd612fd47cf995211d8",29,400,31,33,8,"blue",6154,297,"rt_bounds"
"67c44dd612fd47cf995211d8",30,600,14,35,8,"blue",8931,298,"rt_bounds"
"67c44dd612fd47cf995211d8",31,500,19,18,8,"blue",8344,299,"rt_bounds"
"67c44dd612fd47cf995211d8",32,500,17,24,2,"blue",5535,300,"rt_bounds"
"67c44dd612fd47cf995211d8",34,600,14,34,8,"blue",5286,302,"rt_bounds"
"67c44dd612fd47cf995211d8",35,400,29,34,12,"blue",11488,303,"rt_bounds"
"67c44dd612fd47cf995211d8",36,400,34,34,2,"blue",7926,304,"rt_bounds"
"67c44dd612fd47cf995211d8",38,400,28,31,12,"blue",8924,306,"rt_bounds"
"67c44dd612fd47cf995211d8",39,500,25,31,6,"blue",13239,307,"rt_bounds"
"67c44dd612fd47cf995211d8",42,500,25,25,12,"blue",6095,310,"rt_bounds"
"67c44dd612fd47cf995211d8",43,400,19,33,8,"blue",5426,311,"rt_bounds"
"67c44dd612fd47cf995211d8",46,500,19,30,6,"blue",7284,314,"rt_bounds"
"67c44dd612fd47cf995211d8",49,500,19,37,12,"blue",6260,317,"rt_bounds"
"67c44dd612fd47cf995211d8",52,500,17,27,8,"blue",5261,320,"rt_bounds"
"67c44dd612fd47cf995211d8",55,600,17,35,2,"blue",8141,323,"rt_bounds"
"67c44dd612fd47cf995211d8",58,500,20,40,6,"blue",6430,326,"rt_bounds"
"67c44dd612fd47cf995211d8",61,500,35,35,6,"blue",6285,329,"rt_bounds"
"67c44dd612fd47cf995211d8",64,500,15,29,6,"blue",5717,332,"rt_bounds"
"67c44dd612fd47cf995211d8",66,500,29,36,8,"blue",5780,334,"rt_bounds"
"67c44dd612fd47cf995211d8",68,500,34,37,8,"blue",5409,336,"rt_bounds"
"67c44dd612fd47cf995211d8",82,400,30,34,6,"red",14363,350,"rt_bounds"
"67c44dd612fd47cf995211d8",90,600,14,35,8,"red",5868,358,"rt_bounds"
"67c44dd612fd47cf995211d8",91,500,18,35,2,"red",6217,359,"rt_bounds"
"67c44dd612fd47cf995211d8",92,500,31,31,12,"red",16053,360,"rt_bounds"
"67c44dd612fd47cf995211d8",94,600,28,33,6,"red",6848,362,"rt_bounds"
"67c44dd612fd47cf995211d8",106,500,14,38,6,"red",5050,374,"rt_bounds"
"67c44dd612fd47cf995211d8",113,500,32,33,6,"red",13344,381,"rt_bounds"
"67d086393f43728f3325b593",21,600,24,17,2,"blue",9374,385,"rt_bounds"
"67d086393f43728f3325b593",22,600,30,21,8,"blue",10857,386,"rt_bounds"
"67d086393f43728f3325b593",24,500,18,22,12,"blue",51081,388,"rt_bounds"
"67d086393f43728f3325b593",25,600,33,20,8,"blue",61703,389,"rt_bounds"
"67d086393f43728f3325b593",28,500,23,18,2,"blue",41174,392,"rt_bounds"
"67d086393f43728f3325b593",29,600,31,24,8,"blue",30764,393,"rt_bounds"
"67d086393f43728f3325b593",39,400,24,15,12,"blue",80088,403,"rt_bounds"
"67d086393f43728f3325b593",46,500,24,25,6,"blue",5320,410,"rt_bounds"
"67d086393f43728f3325b593",69,500,24,18,12,"red",8128,433,"rt_bounds"
"66ea6bd034571ff4a00f2171",21,600,21,25,8,"blue",7349,481,"rt_bounds"
"66ea6bd034571ff4a00f2171",26,600,25,27,8,"blue",6656,486,"rt_bounds"
"66ea6bd034571ff4a00f2171",44,500,30,28,12,"blue",5072,504,"rt_bounds"
"66ea6bd034571ff4a00f2171",53,400,29,28,8,"blue",5157,513,"rt_bounds"
"66ea6bd034571ff4a00f2171",55,600,15,18,12,"blue",8552,515,"rt_bounds"
"66ea6bd034571ff4a00f2171",58,500,26,20,12,"blue",8665,518,"rt_bounds"
"66ea6bd034571ff4a00f2171",59,600,14,17,6,"blue",5295,519,"rt_bounds"
"66ea6bd034571ff4a00f2171",64,600,14,14,12,"blue",7597,524,"rt_bounds"
"66ea6bd034571ff4a00f2171",67,500,34,40,12,"blue",5190,527,"rt_bounds"
"66ea6bd034571ff4a00f2171",71,600,35,32,8,"red",6240,531,"rt_bounds"
"66ea6bd034571ff4a00f2171",75,400,24,30,8,"red",5028,535,"rt_bounds"
"66ea6bd034571ff4a00f2171",84,500,31,27,12,"red",5457,544,"rt_bounds"
"66ea6bd034571ff4a00f2171",88,600,33,37,8,"red",5290,548,"rt_bounds"
"66ea6bd034571ff4a00f2171",96,500,23,19,2,"red",5335,556,"rt_bounds"
"66ea6bd034571ff4a00f2171",99,500,19,25,12,"red",5360,559,"rt_bounds"
"66ea6bd034571ff4a00f2171",105,600,33,32,6,"red",5923,565,"rt_bounds"
