"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"56b53292a9d33a000c8981a6",36,500,35,30,20,"red",12256,112,"rt_bounds"
"56b53292a9d33a000c8981a6",50,400,26,23,10,"red",9473,126,"rt_bounds"
"56b53292a9d33a000c8981a6",69,600,33,0,2,"blue",11771,145,"rt_bounds"
"56b53292a9d33a000c8981a6",82,400,22,24,10,"blue",8022,158,"rt_bounds"
"5b6db9e0580154000153cc64",21,600,36,10,20,"blue",26226,289,"rt_bounds"
"5b6db9e0580154000153cc64",30,400,23,23,2,"blue",24363,298,"rt_bounds"
"5b6db9e0580154000153cc64",58,400,31,23,2,"blue",8150,326,"rt_bounds"
"5b6db9e0580154000153cc64",60,600,20,20,2,"blue",9048,328,"rt_bounds"
"5b6db9e0580154000153cc64",61,600,26,35,10,"blue",13703,329,"rt_bounds"
"5b6db9e0580154000153cc64",90,500,18,25,10,"red",9671,358,"rt_bounds"
"5b6db9e0580154000153cc64",95,600,18,16,2,"red",8185,363,"rt_bounds"
"5b6db9e0580154000153cc64",114,500,31,37,20,"red",9711,382,"rt_bounds"
"5b6db9e0580154000153cc64",116,600,20,23,10,"red",13055,384,"rt_bounds"
"5e437d7404eaba215eafbd2a",62,500,30,29,20,"red",14169,810,"rt_bounds"
"5e437d7404eaba215eafbd2a",69,500,27,23,20,"blue",39616,817,"rt_bounds"
"609551c1ade88f8463666fb8",23,400,20,22,10,"red",10893,1251,"rt_bounds"
"609551c1ade88f8463666fb8",27,600,27,14,2,"red",9773,1255,"rt_bounds"
"61bb392e40db417c1a138dcb",43,500,22,26,10,"red",9413,1367,"rt_bounds"
"651b29ff3a6cadf518640abe",69,600,36,14,2,"red",10096,1777,"rt_bounds"
"651c4484ba17050f6b716614",65,600,29,19,20,"red",9223,1869,"rt_bounds"
"65612a45629022b7c905ef6c",30,500,31,21,20,"blue",9887,1930,"rt_bounds"
"65612a45629022b7c905ef6c",34,500,36,31,2,"blue",10778,1934,"rt_bounds"
"65612a45629022b7c905ef6c",43,400,33,35,10,"blue",11439,1943,"rt_bounds"
"65612a45629022b7c905ef6c",56,500,35,26,2,"blue",13812,1956,"rt_bounds"
"65612a45629022b7c905ef6c",60,500,18,23,10,"blue",9373,1960,"rt_bounds"
"65612a45629022b7c905ef6c",66,600,22,28,2,"blue",15190,1966,"rt_bounds"
"65612a45629022b7c905ef6c",72,400,20,17,2,"red",8521,1972,"rt_bounds"
"65612a45629022b7c905ef6c",77,400,15,14,20,"red",8988,1977,"rt_bounds"
"65612a45629022b7c905ef6c",85,500,14,24,20,"red",11727,1985,"rt_bounds"
"65612a45629022b7c905ef6c",96,500,18,28,20,"red",12609,1996,"rt_bounds"
"65612a45629022b7c905ef6c",102,400,14,27,2,"red",13722,2002,"rt_bounds"
"65612a45629022b7c905ef6c",111,600,17,27,10,"red",15329,2011,"rt_bounds"
"65612a45629022b7c905ef6c",113,400,34,30,10,"red",17975,2013,"rt_bounds"
"65a2bc0d60b1e46f4e1d3cc8",61,500,22,28,20,"blue",13644,2057,"rt_bounds"
"65a2bc0d60b1e46f4e1d3cc8",69,400,21,23,2,"red",11136,2065,"rt_bounds"
"65a2bc0d60b1e46f4e1d3cc8",105,600,20,21,20,"red",139533,2101,"rt_bounds"
"662a5d4dabae70ece2dfcc21",29,400,25,21,2,"red",9521,2217,"rt_bounds"
"662a5d4dabae70ece2dfcc21",39,500,23,20,10,"red",9057,2227,"rt_bounds"
"662a5d4dabae70ece2dfcc21",42,500,34,31,20,"red",11217,2230,"rt_bounds"
