"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"55ecd6ff748092000daa9f5f",21,500,26,22,10,"blue","3227"
"55ecd6ff748092000daa9f5f",22,500,35,20,20,"blue","1458"
"55ecd6ff748092000daa9f5f",23,400,26,24,20,"blue","1694"
"55ecd6ff748092000daa9f5f",24,600,18,11,2,"blue","1461"
"55ecd6ff748092000daa9f5f",25,400,36,28,2,"blue","1275"
"55ecd6ff748092000daa9f5f",26,600,16,17,2,"blue","1954"
"55ecd6ff748092000daa9f5f",27,600,34,25,2,"blue","1512"
"55ecd6ff748092000daa9f5f",28,500,32,27,2,"blue","1533"
"55ecd6ff748092000daa9f5f",29,500,18,16,20,"blue","1567"
"55ecd6ff748092000daa9f5f",30,400,30,23,20,"blue","1734"
"55ecd6ff748092000daa9f5f",31,500,15,12,10,"blue","1264"
"55ecd6ff748092000daa9f5f",32,500,14,12,10,"blue","1487"
"55ecd6ff748092000daa9f5f",33,500,21,20,10,"blue","1392"
"55ecd6ff748092000daa9f5f",34,500,31,32,10,"blue","1288"
"55ecd6ff748092000daa9f5f",35,600,32,24,10,"blue","1964"
"55ecd6ff748092000daa9f5f",36,400,14,6,2,"blue","1267"
"55ecd6ff748092000daa9f5f",37,600,28,25,2,"blue","1746"
"55ecd6ff748092000daa9f5f",38,400,21,25,20,"blue","1577"
"55ecd6ff748092000daa9f5f",39,500,20,16,2,"blue","1790"
"55ecd6ff748092000daa9f5f",40,500,14,12,10,"blue","1219"
"55ecd6ff748092000daa9f5f",41,500,34,35,20,"blue","1301"
"55ecd6ff748092000daa9f5f",42,500,22,26,2,"blue","1424"
"55ecd6ff748092000daa9f5f",43,400,19,20,10,"blue","2177"
"55ecd6ff748092000daa9f5f",44,500,25,20,2,"blue","1476"
"55ecd6ff748092000daa9f5f",45,500,18,29,10,"blue","1241"
"55ecd6ff748092000daa9f5f",46,600,28,24,20,"blue","1758"
"55ecd6ff748092000daa9f5f",47,500,16,16,2,"blue","1387"
"55ecd6ff748092000daa9f5f",48,400,35,35,10,"blue","1316"
"55ecd6ff748092000daa9f5f",49,600,29,32,2,"blue","1779"
"55ecd6ff748092000daa9f5f",50,400,30,24,2,"blue","1545"
"55ecd6ff748092000daa9f5f",51,600,18,15,10,"blue","1722"
