"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"666fb6f24d1c14f333eb4a0a",21,600,24,23,2,"red",1788
"666fb6f24d1c14f333eb4a0a",22,500,32,28,2,"red",1513
"666fb6f24d1c14f333eb4a0a",24,500,34,27,2,"red",2751
"666fb6f24d1c14f333eb4a0a",25,500,33,28,2,"red",2656
"666fb6f24d1c14f333eb4a0a",26,500,16,11,2,"red",1971
"666fb6f24d1c14f333eb4a0a",27,400,34,28,2,"red",1943
"666fb6f24d1c14f333eb4a0a",28,600,17,11,2,"red",1977
"666fb6f24d1c14f333eb4a0a",29,500,35,25,2,"red",4612
"666fb6f24d1c14f333eb4a0a",30,400,29,24,2,"red",2224
"666fb6f24d1c14f333eb4a0a",31,500,14,10,2,"red",3123
"666fb6f24d1c14f333eb4a0a",32,500,31,27,2,"red",2179
"666fb6f24d1c14f333eb4a0a",33,600,24,19,2,"red",3533
"666fb6f24d1c14f333eb4a0a",34,400,17,11,2,"red",2144
"666fb6f24d1c14f333eb4a0a",35,500,30,25,2,"red",2331
"666fb6f24d1c14f333eb4a0a",36,600,32,24,2,"red",2265
"666fb6f24d1c14f333eb4a0a",37,500,34,26,10,"red",2228
"666fb6f24d1c14f333eb4a0a",40,400,29,26,10,"red",3137
"666fb6f24d1c14f333eb4a0a",41,600,19,18,10,"red",1997
"666fb6f24d1c14f333eb4a0a",42,600,28,21,10,"red",2955
"666fb6f24d1c14f333eb4a0a",43,600,29,23,10,"red",4118
"666fb6f24d1c14f333eb4a0a",44,500,30,25,10,"red",4127
"666fb6f24d1c14f333eb4a0a",45,400,17,12,10,"red",2173
"666fb6f24d1c14f333eb4a0a",46,400,35,25,10,"red",2585
"666fb6f24d1c14f333eb4a0a",47,500,24,21,10,"red",4240
"666fb6f24d1c14f333eb4a0a",48,600,20,17,10,"red",2785
"666fb6f24d1c14f333eb4a0a",50,600,19,19,10,"red",3797
"666fb6f24d1c14f333eb4a0a",51,600,18,15,10,"red",2279
"666fb6f24d1c14f333eb4a0a",52,400,18,14,10,"red",1906
"666fb6f24d1c14f333eb4a0a",53,400,26,20,20,"red",3937
"666fb6f24d1c14f333eb4a0a",54,600,19,15,20,"red",3759
"666fb6f24d1c14f333eb4a0a",55,400,15,11,20,"red",2846
"666fb6f24d1c14f333eb4a0a",56,400,21,12,20,"red",2149
"666fb6f24d1c14f333eb4a0a",57,400,26,18,20,"red",3495
"666fb6f24d1c14f333eb4a0a",58,600,36,28,20,"red",2837
"666fb6f24d1c14f333eb4a0a",59,600,22,16,20,"red",1851
"666fb6f24d1c14f333eb4a0a",60,500,30,19,20,"red",2287
"666fb6f24d1c14f333eb4a0a",61,400,15,10,20,"red",2875
"666fb6f24d1c14f333eb4a0a",62,500,16,12,20,"red",1525
"666fb6f24d1c14f333eb4a0a",63,600,15,11,20,"red",2414
"666fb6f24d1c14f333eb4a0a",64,400,18,10,20,"red",3372
"666fb6f24d1c14f333eb4a0a",66,600,36,26,20,"red",3012
"666fb6f24d1c14f333eb4a0a",67,400,20,16,20,"red",3059
"666fb6f24d1c14f333eb4a0a",68,400,21,11,20,"red",2158
"666fb6f24d1c14f333eb4a0a",69,600,32,21,2,"blue",2216
"666fb6f24d1c14f333eb4a0a",70,400,27,24,2,"blue",2474
"666fb6f24d1c14f333eb4a0a",71,400,14,10,2,"blue",1945
"666fb6f24d1c14f333eb4a0a",72,500,21,15,2,"blue",4133
"666fb6f24d1c14f333eb4a0a",73,500,25,21,2,"blue",3138
"666fb6f24d1c14f333eb4a0a",74,600,32,26,2,"blue",2847
"666fb6f24d1c14f333eb4a0a",75,600,22,17,2,"blue",2598
"666fb6f24d1c14f333eb4a0a",76,500,23,20,2,"blue",1504
"666fb6f24d1c14f333eb4a0a",77,500,33,31,2,"blue",1763
"666fb6f24d1c14f333eb4a0a",78,500,18,11,2,"blue",2295
"666fb6f24d1c14f333eb4a0a",79,400,22,17,2,"blue",2023
"666fb6f24d1c14f333eb4a0a",80,600,17,11,2,"blue",1395
"666fb6f24d1c14f333eb4a0a",81,500,20,16,2,"blue",2265
"666fb6f24d1c14f333eb4a0a",82,600,36,31,2,"blue",2060
"666fb6f24d1c14f333eb4a0a",83,400,21,15,2,"blue",2602
"666fb6f24d1c14f333eb4a0a",84,600,24,24,2,"blue",3096
"666fb6f24d1c14f333eb4a0a",85,400,35,26,10,"blue",1927
"666fb6f24d1c14f333eb4a0a",86,400,24,23,10,"blue",2694
"666fb6f24d1c14f333eb4a0a",87,600,30,23,10,"blue",2261
"666fb6f24d1c14f333eb4a0a",88,500,15,13,10,"blue",2844
"666fb6f24d1c14f333eb4a0a",89,400,14,14,10,"blue",1363
"666fb6f24d1c14f333eb4a0a",90,400,27,24,10,"blue",3292
"666fb6f24d1c14f333eb4a0a",91,400,22,20,10,"blue",1856
"666fb6f24d1c14f333eb4a0a",92,400,18,16,10,"blue",2007
"666fb6f24d1c14f333eb4a0a",93,500,31,24,10,"blue",1526
"666fb6f24d1c14f333eb4a0a",94,400,26,22,10,"blue",2402
"666fb6f24d1c14f333eb4a0a",95,500,28,24,10,"blue",2298
"666fb6f24d1c14f333eb4a0a",96,400,31,25,10,"blue",1371
"666fb6f24d1c14f333eb4a0a",97,500,26,23,10,"blue",2056
"666fb6f24d1c14f333eb4a0a",98,500,31,23,10,"blue",1435
"666fb6f24d1c14f333eb4a0a",99,600,32,25,10,"blue",1644
"666fb6f24d1c14f333eb4a0a",100,500,35,29,10,"blue",1354
"666fb6f24d1c14f333eb4a0a",101,500,18,12,20,"blue",3473
"666fb6f24d1c14f333eb4a0a",102,600,28,22,20,"blue",1526
"666fb6f24d1c14f333eb4a0a",103,500,35,28,20,"blue",4014
"666fb6f24d1c14f333eb4a0a",104,500,20,17,20,"blue",2358
"666fb6f24d1c14f333eb4a0a",105,500,32,24,20,"blue",1404
"666fb6f24d1c14f333eb4a0a",106,600,23,19,20,"blue",1360
"666fb6f24d1c14f333eb4a0a",107,600,14,10,20,"blue",3660
"666fb6f24d1c14f333eb4a0a",108,400,15,10,20,"blue",1998
"666fb6f24d1c14f333eb4a0a",109,500,30,29,20,"blue",3873
"666fb6f24d1c14f333eb4a0a",110,500,30,23,20,"blue",1439
"666fb6f24d1c14f333eb4a0a",111,400,29,23,20,"blue",2102
"666fb6f24d1c14f333eb4a0a",112,400,16,9,20,"blue",3013
"666fb6f24d1c14f333eb4a0a",113,600,21,16,20,"blue",2702
"666fb6f24d1c14f333eb4a0a",114,500,35,28,20,"blue",1267
"666fb6f24d1c14f333eb4a0a",115,400,36,27,20,"blue",2080
"666fb6f24d1c14f333eb4a0a",116,400,33,25,20,"blue",1978
"58509fbda6946500016117ed",21,600,21,22,2,"red",2500
"58509fbda6946500016117ed",22,400,29,29,20,"red",2091
"58509fbda6946500016117ed",23,400,34,30,2,"red",2065
"58509fbda6946500016117ed",24,500,14,29,10,"red",1733
"58509fbda6946500016117ed",25,500,35,34,2,"red",2204
"58509fbda6946500016117ed",26,400,27,34,20,"red",1765
"58509fbda6946500016117ed",27,600,32,28,2,"red",1851
"58509fbda6946500016117ed",28,400,30,33,10,"red",1705
"58509fbda6946500016117ed",29,500,34,32,10,"red",2076
"58509fbda6946500016117ed",30,600,33,28,10,"red",2024
"58509fbda6946500016117ed",31,400,28,25,10,"red",1816
"58509fbda6946500016117ed",32,400,25,26,2,"red",1785
"58509fbda6946500016117ed",33,500,20,27,2,"red",2867
"58509fbda6946500016117ed",34,600,20,23,20,"red",1800
"58509fbda6946500016117ed",35,500,14,21,2,"red",1511
"58509fbda6946500016117ed",36,400,20,24,20,"red",2337
