"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"558d8d71fdf99b534f79b352",28,400,31,26,2,"red",12083,8,"rt_bounds"
"558d8d71fdf99b534f79b352",32,400,31,31,10,"red",9380,12,"rt_bounds"
"558d8d71fdf99b534f79b352",35,600,18,8,2,"red",8036,15,"rt_bounds"
"558d8d71fdf99b534f79b352",39,400,32,33,2,"red",10120,19,"rt_bounds"
"558d8d71fdf99b534f79b352",42,500,21,26,10,"red",12035,22,"rt_bounds"
"558d8d71fdf99b534f79b352",43,500,19,26,10,"red",14074,23,"rt_bounds"
"558d8d71fdf99b534f79b352",44,400,36,31,10,"red",8507,24,"rt_bounds"
"558d8d71fdf99b534f79b352",45,500,20,31,20,"red",8427,25,"rt_bounds"
"558d8d71fdf99b534f79b352",47,500,27,19,10,"red",12141,27,"rt_bounds"
"558d8d71fdf99b534f79b352",56,600,20,25,20,"red",18126,36,"rt_bounds"
"558d8d71fdf99b534f79b352",57,600,14,15,10,"red",42931,37,"rt_bounds"
"558d8d71fdf99b534f79b352",58,500,15,19,20,"red",17808,38,"rt_bounds"
"558d8d71fdf99b534f79b352",62,600,34,40,10,"red",15968,42,"rt_bounds"
"558d8d71fdf99b534f79b352",64,500,23,4,2,"red",14716,44,"rt_bounds"
"558d8d71fdf99b534f79b352",66,400,20,14,2,"red",8430,46,"rt_bounds"
"558d8d71fdf99b534f79b352",67,400,27,17,2,"red",8074,47,"rt_bounds"
"558d8d71fdf99b534f79b352",68,600,18,11,10,"red",8161,48,"rt_bounds"
"558d8d71fdf99b534f79b352",69,400,18,10,10,"blue",8724,49,"rt_bounds"
"558d8d71fdf99b534f79b352",79,600,36,30,10,"blue",12030,59,"rt_bounds"
"558d8d71fdf99b534f79b352",83,500,24,18,20,"blue",10369,63,"rt_bounds"
"558d8d71fdf99b534f79b352",88,400,36,29,10,"blue",11887,68,"rt_bounds"
"558d8d71fdf99b534f79b352",90,500,25,23,20,"blue",8420,70,"rt_bounds"
"558d8d71fdf99b534f79b352",96,400,28,24,20,"blue",9714,76,"rt_bounds"
"558d8d71fdf99b534f79b352",105,500,33,28,20,"blue",9462,85,"rt_bounds"
"558d8d71fdf99b534f79b352",107,500,15,9,20,"blue",8779,87,"rt_bounds"
"558d8d71fdf99b534f79b352",109,500,19,14,10,"blue",8694,89,"rt_bounds"
"558d8d71fdf99b534f79b352",110,600,36,29,10,"blue",10931,90,"rt_bounds"
"558d8d71fdf99b534f79b352",111,600,36,24,20,"blue",14982,91,"rt_bounds"
"558d8d71fdf99b534f79b352",112,500,31,23,10,"blue",9029,92,"rt_bounds"
"558d8d71fdf99b534f79b352",114,600,16,15,10,"blue",16254,94,"rt_bounds"
"558d8d71fdf99b534f79b352",115,600,36,25,10,"blue",13117,95,"rt_bounds"
"558d8d71fdf99b534f79b352",116,400,15,11,20,"blue",12332,96,"rt_bounds"
"55a56724fdf99b7973398109",49,500,36,32,2,"blue",8118,125,"rt_bounds"
"55d4d11258c35800113dc2ab",110,500,29,20,2,"red",9969,378,"rt_bounds"
"55d4d11258c35800113dc2ab",116,500,28,25,2,"red",10472,384,"rt_bounds"
"579f1d3bc9abeb0001af52d8",30,600,20,18,10,"red",8015,490,"rt_bounds"
"579f1d3bc9abeb0001af52d8",36,600,28,26,20,"red",8206,496,"rt_bounds"
"579f1d3bc9abeb0001af52d8",37,500,33,28,20,"red",12870,497,"rt_bounds"
"579f1d3bc9abeb0001af52d8",55,400,17,17,20,"red",8378,515,"rt_bounds"
"579f1d3bc9abeb0001af52d8",63,500,36,26,20,"red",9266,523,"rt_bounds"
"579f1d3bc9abeb0001af52d8",82,400,16,13,10,"blue",9153,542,"rt_bounds"
"579f1d3bc9abeb0001af52d8",83,500,24,16,20,"blue",11081,543,"rt_bounds"
"579f1d3bc9abeb0001af52d8",87,600,33,22,20,"blue",10095,547,"rt_bounds"
"579f1d3bc9abeb0001af52d8",111,600,23,12,20,"blue",8994,571,"rt_bounds"
"580cab86b869700001d71628",40,400,24,25,10,"blue",12016,692,"rt_bounds"
"580cab86b869700001d71628",68,500,25,23,20,"blue",21951,720,"rt_bounds"
"580cab86b869700001d71628",74,500,27,35,20,"red",9104,726,"rt_bounds"
"58d4c4c287b2420001263b6a",89,600,36,25,20,"blue",9136,933,"rt_bounds"
"58d4c4c287b2420001263b6a",92,600,34,29,10,"blue",8302,936,"rt_bounds"
"5969496f06679c00014b818e",29,500,22,14,20,"red",33481,1161,"rt_bounds"
"5969496f06679c00014b818e",106,400,16,19,2,"blue",198825,1238,"rt_bounds"
"5a33d736bf4d770001e6097a",28,600,26,25,2,"blue",10845,1256,"rt_bounds"
"5a33d736bf4d770001e6097a",29,500,28,19,20,"blue",11362,1257,"rt_bounds"
"5a33d736bf4d770001e6097a",30,400,21,21,2,"blue",8082,1258,"rt_bounds"
"5c6a36214fbf270001311702",28,400,35,23,2,"blue",8010,1640,"rt_bounds"
"5c6a36214fbf270001311702",37,400,33,30,10,"blue",23188,1649,"rt_bounds"
"5c6a36214fbf270001311702",38,400,34,24,20,"blue",13279,1650,"rt_bounds"
"5c6a36214fbf270001311702",40,500,32,29,20,"blue",9476,1652,"rt_bounds"
"5c6a36214fbf270001311702",43,500,30,27,10,"blue",11351,1655,"rt_bounds"
"5c6a36214fbf270001311702",44,500,22,19,2,"blue",17501,1656,"rt_bounds"
"5c6a36214fbf270001311702",46,600,31,30,10,"blue",10464,1658,"rt_bounds"
"5c6a36214fbf270001311702",47,500,19,18,20,"blue",8222,1659,"rt_bounds"
"5c6a36214fbf270001311702",48,400,23,18,2,"blue",8430,1660,"rt_bounds"
"5c6a36214fbf270001311702",49,600,14,18,10,"blue",9397,1661,"rt_bounds"
"5c6a36214fbf270001311702",50,400,24,17,20,"blue",8137,1662,"rt_bounds"
"5c6a36214fbf270001311702",51,500,25,19,2,"blue",10446,1663,"rt_bounds"
"5c6a36214fbf270001311702",55,500,26,20,20,"blue",10136,1667,"rt_bounds"
"5c6a36214fbf270001311702",57,400,19,32,10,"blue",13979,1669,"rt_bounds"
"5c6a36214fbf270001311702",65,600,21,24,10,"blue",9009,1677,"rt_bounds"
"5c6a36214fbf270001311702",68,600,33,21,20,"blue",8146,1680,"rt_bounds"
"5c6a36214fbf270001311702",69,400,25,11,10,"red",10377,1681,"rt_bounds"
"5c6a36214fbf270001311702",88,500,34,25,20,"red",8402,1700,"rt_bounds"
"5c6a36214fbf270001311702",102,600,36,31,10,"red",14633,1714,"rt_bounds"
"5c6a36214fbf270001311702",103,600,22,23,20,"red",11624,1715,"rt_bounds"
"5c6a36214fbf270001311702",108,500,34,29,2,"red",21313,1720,"rt_bounds"
"5f4a4da1575d605c43bef871",29,500,20,26,20,"blue",13420,2025,"rt_bounds"
"5f4a4da1575d605c43bef871",55,500,36,33,10,"blue",9291,2051,"rt_bounds"
"5f4a4da1575d605c43bef871",58,500,31,32,10,"blue",12060,2054,"rt_bounds"
"5f79bca83a2eb65c0983816d",51,400,20,19,2,"blue",10013,2143,"rt_bounds"
"5f79bca83a2eb65c0983816d",62,600,26,18,10,"blue",21491,2154,"rt_bounds"
"5f79bca83a2eb65c0983816d",88,400,16,18,10,"red",27580,2180,"rt_bounds"
"5f79bca83a2eb65c0983816d",103,400,36,17,10,"red",10894,2195,"rt_bounds"
"60121fca666552254559110d",24,500,23,11,2,"red",25835,2212,"rt_bounds"
"60121fca666552254559110d",35,400,18,11,20,"red",8139,2223,"rt_bounds"
"60121fca666552254559110d",36,500,19,9,10,"red",8636,2224,"rt_bounds"
"60121fca666552254559110d",56,500,31,30,20,"red",34454,2244,"rt_bounds"
"60121fca666552254559110d",102,400,21,18,2,"blue",15601,2290,"rt_bounds"
"60121fca666552254559110d",104,600,18,17,20,"blue",8393,2292,"rt_bounds"
"603470186bba1c26a354c27e",45,600,20,16,10,"red",9469,2329,"rt_bounds"
"603470186bba1c26a354c27e",54,500,19,14,2,"red",8169,2338,"rt_bounds"
"603470186bba1c26a354c27e",96,400,18,14,2,"blue",9679,2380,"rt_bounds"
"607b73619e1bfba7bfb23cce",45,600,20,15,2,"blue",51530,2521,"rt_bounds"
"60dfd857e293a99dd577f4c8",21,600,14,16,20,"blue",14994,2689,"rt_bounds"
"60dfd857e293a99dd577f4c8",26,400,27,26,10,"blue",8514,2694,"rt_bounds"
"60dfd857e293a99dd577f4c8",27,600,24,17,2,"blue",8346,2695,"rt_bounds"
"60dfd857e293a99dd577f4c8",28,400,34,24,20,"blue",10539,2696,"rt_bounds"
"60dfd857e293a99dd577f4c8",29,400,16,17,20,"blue",9966,2697,"rt_bounds"
"60dfd857e293a99dd577f4c8",30,600,18,15,10,"blue",9958,2698,"rt_bounds"
"60dfd857e293a99dd577f4c8",31,600,36,24,2,"blue",10163,2699,"rt_bounds"
"60dfd857e293a99dd577f4c8",32,500,20,21,10,"blue",9162,2700,"rt_bounds"
"60dfd857e293a99dd577f4c8",34,500,14,14,20,"blue",14368,2702,"rt_bounds"
"60dfd857e293a99dd577f4c8",38,600,21,20,10,"blue",9876,2706,"rt_bounds"
"60dfd857e293a99dd577f4c8",44,600,28,21,2,"blue",13034,2712,"rt_bounds"
"60dfd857e293a99dd577f4c8",45,500,25,16,2,"blue",10016,2713,"rt_bounds"
"60dfd857e293a99dd577f4c8",46,400,36,22,2,"blue",10696,2714,"rt_bounds"
"60dfd857e293a99dd577f4c8",49,400,32,29,20,"blue",9172,2717,"rt_bounds"
"60dfd857e293a99dd577f4c8",50,600,20,21,10,"blue",9180,2718,"rt_bounds"
"60dfd857e293a99dd577f4c8",52,600,26,21,20,"blue",11353,2720,"rt_bounds"
"60dfd857e293a99dd577f4c8",53,600,14,17,10,"blue",11282,2721,"rt_bounds"
"60dfd857e293a99dd577f4c8",54,600,22,21,10,"blue",11008,2722,"rt_bounds"
"60dfd857e293a99dd577f4c8",55,400,17,15,20,"blue",11375,2723,"rt_bounds"
"60dfd857e293a99dd577f4c8",56,600,16,14,2,"blue",11464,2724,"rt_bounds"
"60dfd857e293a99dd577f4c8",57,500,15,19,10,"blue",10787,2725,"rt_bounds"
"60dfd857e293a99dd577f4c8",60,600,23,24,20,"blue",11006,2728,"rt_bounds"
"60dfd857e293a99dd577f4c8",61,500,21,15,2,"blue",10554,2729,"rt_bounds"
"60dfd857e293a99dd577f4c8",62,400,20,19,10,"blue",11388,2730,"rt_bounds"
"60dfd857e293a99dd577f4c8",69,400,32,23,2,"red",13933,2737,"rt_bounds"
"60dfd857e293a99dd577f4c8",70,600,26,24,2,"red",8874,2738,"rt_bounds"
"60dfd857e293a99dd577f4c8",72,500,22,13,10,"red",13498,2740,"rt_bounds"
"60dfd857e293a99dd577f4c8",74,500,30,25,10,"red",8599,2742,"rt_bounds"
"60dfd857e293a99dd577f4c8",76,400,34,25,2,"red",15550,2744,"rt_bounds"
"60dfd857e293a99dd577f4c8",77,400,14,16,10,"red",10235,2745,"rt_bounds"
"60dfd857e293a99dd577f4c8",78,500,21,21,10,"red",8987,2746,"rt_bounds"
"60dfd857e293a99dd577f4c8",80,600,19,17,10,"red",16485,2748,"rt_bounds"
"60dfd857e293a99dd577f4c8",81,500,35,26,2,"red",8182,2749,"rt_bounds"
"60dfd857e293a99dd577f4c8",85,400,30,21,10,"red",9393,2753,"rt_bounds"
"60dfd857e293a99dd577f4c8",86,400,27,24,20,"red",11051,2754,"rt_bounds"
"60dfd857e293a99dd577f4c8",87,400,32,25,10,"red",8060,2755,"rt_bounds"
"60dfd857e293a99dd577f4c8",93,600,28,24,10,"red",8688,2761,"rt_bounds"
"60dfd857e293a99dd577f4c8",94,400,29,24,20,"red",8778,2762,"rt_bounds"
"60dfd857e293a99dd577f4c8",96,600,22,24,10,"red",8559,2764,"rt_bounds"
"60dfd857e293a99dd577f4c8",97,400,33,26,2,"red",9665,2765,"rt_bounds"
"60dfd857e293a99dd577f4c8",104,400,19,20,20,"red",12517,2772,"rt_bounds"
"60dfd857e293a99dd577f4c8",108,500,20,17,20,"red",10509,2776,"rt_bounds"
"60dfd857e293a99dd577f4c8",112,400,18,21,10,"red",11331,2780,"rt_bounds"
