"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"558d8d71fdf99b534f79b352",21,500,17,19,20,"red","4313"
"558d8d71fdf99b534f79b352",22,500,29,28,10,"red","4252"
"558d8d71fdf99b534f79b352",23,500,14,13,2,"red","6117"
"558d8d71fdf99b534f79b352",24,600,24,27,20,"red","7033"
"558d8d71fdf99b534f79b352",25,600,15,11,20,"red","6404"
"558d8d71fdf99b534f79b352",26,400,30,29,10,"red","4281"
"558d8d71fdf99b534f79b352",27,500,23,18,2,"red","5370"
"558d8d71fdf99b534f79b352",28,400,31,26,2,"red","12083"
"558d8d71fdf99b534f79b352",29,600,14,19,20,"red","7985"
"558d8d71fdf99b534f79b352",30,500,22,24,20,"red","6954"
"558d8d71fdf99b534f79b352",31,600,25,18,2,"red","4138"
"558d8d71fdf99b534f79b352",32,400,31,31,10,"red","9380"
"558d8d71fdf99b534f79b352",33,500,32,35,10,"red","3803"
"558d8d71fdf99b534f79b352",34,400,16,13,10,"red","4685"
"558d8d71fdf99b534f79b352",35,600,18,8,2,"red","8036"
"558d8d71fdf99b534f79b352",36,500,19,15,20,"red","5061"
"558d8d71fdf99b534f79b352",37,600,35,32,10,"red","4612"
"558d8d71fdf99b534f79b352",38,500,17,12,20,"red","5430"
"558d8d71fdf99b534f79b352",39,400,32,33,2,"red","10120"
"558d8d71fdf99b534f79b352",40,600,29,29,20,"red","6280"
"558d8d71fdf99b534f79b352",41,500,35,36,20,"red","4323"
"558d8d71fdf99b534f79b352",42,500,21,26,10,"red","12035"
"558d8d71fdf99b534f79b352",43,500,19,26,10,"red","14074"
"558d8d71fdf99b534f79b352",44,400,36,31,10,"red","8507"
"558d8d71fdf99b534f79b352",45,500,20,31,20,"red","8427"
"558d8d71fdf99b534f79b352",46,600,21,8,2,"red","4811"
"558d8d71fdf99b534f79b352",47,500,27,19,10,"red","12141"
"558d8d71fdf99b534f79b352",48,400,27,29,20,"red","5115"
"558d8d71fdf99b534f79b352",49,500,14,9,10,"red","3935"
"558d8d71fdf99b534f79b352",50,600,16,14,20,"red","4197"
"558d8d71fdf99b534f79b352",51,600,20,26,10,"red","3401"
"558d8d71fdf99b534f79b352",52,400,25,24,20,"red","7633"
"558d8d71fdf99b534f79b352",53,500,22,14,2,"red","5149"
"558d8d71fdf99b534f79b352",54,500,24,30,10,"red","4222"
"558d8d71fdf99b534f79b352",55,500,28,15,2,"red","4465"
"558d8d71fdf99b534f79b352",56,600,20,25,20,"red","18126"
"558d8d71fdf99b534f79b352",57,600,14,15,10,"red","42931"
"558d8d71fdf99b534f79b352",58,500,15,19,20,"red","17808"
"558d8d71fdf99b534f79b352",59,500,36,21,2,"red","4769"
"558d8d71fdf99b534f79b352",60,400,23,20,20,"red","5023"
"558d8d71fdf99b534f79b352",61,400,29,27,2,"red","6482"
"558d8d71fdf99b534f79b352",62,600,34,40,10,"red","15968"
"558d8d71fdf99b534f79b352",63,600,29,23,2,"red","6900"
"558d8d71fdf99b534f79b352",64,500,23,4,2,"red","14716"
"558d8d71fdf99b534f79b352",65,600,23,5,2,"red","6023"
"558d8d71fdf99b534f79b352",66,400,20,14,2,"red","8430"
"558d8d71fdf99b534f79b352",67,400,27,17,2,"red","8074"
"558d8d71fdf99b534f79b352",68,600,18,11,10,"red","8161"
"558d8d71fdf99b534f79b352",69,400,18,10,10,"blue","8724"
"558d8d71fdf99b534f79b352",70,600,18,8,2,"blue","7693"
"558d8d71fdf99b534f79b352",71,400,32,26,20,"blue","5187"
"558d8d71fdf99b534f79b352",72,500,23,23,10,"blue","6179"
"558d8d71fdf99b534f79b352",73,500,26,29,2,"blue","6394"
"558d8d71fdf99b534f79b352",74,500,31,30,2,"blue","5044"
"558d8d71fdf99b534f79b352",75,400,34,30,20,"blue","7624"
"558d8d71fdf99b534f79b352",76,600,25,14,2,"blue","4355"
"558d8d71fdf99b534f79b352",77,500,14,10,2,"blue","7571"
"558d8d71fdf99b534f79b352",78,400,21,23,10,"blue","3982"
"558d8d71fdf99b534f79b352",79,600,36,30,10,"blue","12030"
"558d8d71fdf99b534f79b352",80,600,22,26,10,"blue","7291"
"558d8d71fdf99b534f79b352",81,400,14,8,2,"blue","4851"
"558d8d71fdf99b534f79b352",82,600,15,8,2,"blue","5832"
"558d8d71fdf99b534f79b352",83,500,24,18,20,"blue","10369"
"558d8d71fdf99b534f79b352",84,600,21,11,2,"blue","6157"
"558d8d71fdf99b534f79b352",85,600,19,13,10,"blue","6136"
"558d8d71fdf99b534f79b352",86,500,26,19,2,"blue","5271"
"558d8d71fdf99b534f79b352",87,500,22,22,20,"blue","5280"
"558d8d71fdf99b534f79b352",88,400,36,29,10,"blue","11887"
"558d8d71fdf99b534f79b352",89,400,26,28,2,"blue","5844"
"558d8d71fdf99b534f79b352",90,500,25,23,20,"blue","8420"
"558d8d71fdf99b534f79b352",91,500,18,13,20,"blue","7930"
"558d8d71fdf99b534f79b352",92,600,19,15,10,"blue","5055"
"558d8d71fdf99b534f79b352",93,500,26,23,20,"blue","7390"
"558d8d71fdf99b534f79b352",94,600,15,13,2,"blue","7246"
"558d8d71fdf99b534f79b352",95,400,17,13,2,"blue","6759"
"558d8d71fdf99b534f79b352",96,400,28,24,20,"blue","9714"
"558d8d71fdf99b534f79b352",97,600,30,21,10,"blue","5931"
"558d8d71fdf99b534f79b352",98,400,34,32,20,"blue","3426"
"558d8d71fdf99b534f79b352",99,400,30,31,2,"blue","7367"
"558d8d71fdf99b534f79b352",100,500,25,27,10,"blue","4863"
"558d8d71fdf99b534f79b352",101,600,35,29,20,"blue","6201"
"558d8d71fdf99b534f79b352",102,400,36,30,2,"blue","4183"
"558d8d71fdf99b534f79b352",103,400,35,29,20,"blue","6422"
"558d8d71fdf99b534f79b352",104,500,23,26,2,"blue","5794"
"558d8d71fdf99b534f79b352",105,500,33,28,20,"blue","9462"
"558d8d71fdf99b534f79b352",106,600,17,11,10,"blue","5518"
"558d8d71fdf99b534f79b352",107,500,15,9,20,"blue","8779"
"558d8d71fdf99b534f79b352",108,600,20,11,20,"blue","4199"
"558d8d71fdf99b534f79b352",109,500,19,14,10,"blue","8694"
"558d8d71fdf99b534f79b352",110,600,36,29,10,"blue","10931"
"558d8d71fdf99b534f79b352",111,600,36,24,20,"blue","14982"
"558d8d71fdf99b534f79b352",112,500,31,23,10,"blue","9029"
"558d8d71fdf99b534f79b352",113,400,16,9,2,"blue","6243"
"558d8d71fdf99b534f79b352",114,600,16,15,10,"blue","16254"
"558d8d71fdf99b534f79b352",115,600,36,25,10,"blue","13117"
"558d8d71fdf99b534f79b352",116,400,15,11,20,"blue","12332"
"55a56724fdf99b7973398109",21,600,27,16,20,"blue","5515"
"55a56724fdf99b7973398109",22,400,19,14,20,"blue","2635"
"55a56724fdf99b7973398109",23,500,31,22,20,"blue","3620"
"55a56724fdf99b7973398109",24,600,27,20,2,"blue","4533"
"55a56724fdf99b7973398109",25,600,24,22,20,"blue","3197"
"55a56724fdf99b7973398109",26,500,24,17,20,"blue","4102"
"55a56724fdf99b7973398109",27,400,26,17,10,"blue","4179"
"55a56724fdf99b7973398109",28,400,29,21,20,"blue","3834"
"55a56724fdf99b7973398109",29,600,33,26,20,"blue","4082"
"55a56724fdf99b7973398109",30,500,28,24,2,"blue","2367"
