"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses","stimulus","key_press","Name","config","type","prompt","step","max","start","on_load","data","min","labels","button_label","stimulus_duration","trial_duration","response_ends_trial","imageSelected","indexSelected","exp_type","fixationTime","faceIdentity","array_length","array_values","meanVal","description","trial","color","button_pressed","purpose"
"pavlovia","0","5","0.0-0.0","659daa1ed4e13d6428103c1f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","17654","0.0-1.0","659daa1ed4e13d6428103c1f","17465.199999809265","external_page.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","45101","0.0-2.0","659daa1ed4e13d6428103c1f","27445.89999985695","","[{""page_index"":0,""viewing_time"":5622.700000047684},{""page_index"":1,""viewing_time"":7321.399999856949},{""page_index"":2,""viewing_time"":11940.900000095367},{""page_index"":3,""viewing_time"":2560.2999999523163}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","48637","0.0-3.0","659daa1ed4e13d6428103c1f","3525.5999999046326","","","{""Q0"":""659daa1ed4e13d6428103c1f""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","50124","0.0-4.0","659daa1ed4e13d6428103c1f","1485.4000000953674","","[{""page_index"":0,""viewing_time"":1485.1000001430511}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","5","59756","0.0-5.0","659daa1ed4e13d6428103c1f","9630.099999904633","","","{""Q0"":""giraffe""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","70476","0.0-6.0-0.0","659daa1ed4e13d6428103c1f","10717.299999952316","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","7","81245","0.0-6.1-0.1","659daa1ed4e13d6428103c1f","7440.700000047684","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","81663","0.0-7.0","659daa1ed4e13d6428103c1f","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","83165","0.0-8.0","659daa1ed4e13d6428103c1f","null","","","","<span class='grid'><div class='red' style='background-position:1200% 0%;margin-top:50px'></div> <div> </div> <div class='red' style='background-position:1400% 0%;margin-top:25px'></div> <div> </div> <div> </div> <div> </div> <div class='red' style='background-position:800% 0%;margin-top:38px'></div> <div class='red' style='background-position:2000% 0%;margin-top:43px'></div> <div class='red' style='background-position:100% 0%;margin-top:40px'></div> <div class='red' style='background-position:1900% 0%;margin-top:42px'></div> <div> </div> <div class='red' style='background-position:1500% 0%;margin-top:37px'></div> <div class='red' style='background-position:1300% 0%;margin-top:26px'></div> <div> </div> <div> </div> <div> </div> <div> </div></span>","null","stimulus","","","","","","","","","","","","","","","","","","","","","","","","","","",""
