"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","rt","url","view_history","responses"
"pavlovia","0","4","0.0-0.0","67da78ec74b981548fd1d2a3","","","",""
"external-html","1","39745","0.0-1.0","67da78ec74b981548fd1d2a3","39700.5","external_page.html","",""
"instructions","2","73249","0.0-2.0","67da78ec74b981548fd1d2a3","33501.89999997616","","[{""page_index"":0,""viewing_time"":10560},{""page_index"":1,""viewing_time"":6934.200000047684},{""page_index"":2,""viewing_time"":7567.5},{""page_index"":3,""viewing_time"":8439.099999904633}]",""
"survey-text","3","80850","0.0-3.0","67da78ec74b981548fd1d2a3","7568.200000047684","","","{""Q0"":""67da78ec74b981548fd1d2a3""}"
"instructions","4","83066","0.0-4.0","67da78ec74b981548fd1d2a3","2213.5","","[{""page_index"":0,""viewing_time"":2212.5}]",""
"survey-text","5","166657","0.0-5.0","67da78ec74b981548fd1d2a3","83559.90000009537","","","{""Q0"":""CAPTIVATING""}"
"survey-text","6","176908","0.0-6.0-0.0","67da78ec74b981548fd1d2a3","10215.399999976158","","","{""Q0"":""CAPTIVATING""}"
"survey-text","7","198232","0.0-6.1-0.1","67da78ec74b981548fd1d2a3","13357.700000047684","","","{""Q0"":""Brown""}"
"survey-text","8","210627","0.0-6.2-0.2","67da78ec74b981548fd1d2a3","9643","","","{""Q0"":""captivating""}"
"survey-text","9","217946","0.0-6.3-0.3","67da78ec74b981548fd1d2a3","7297.5","","","{""Q0"":""captivating""}"
