"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"676f37ed7c44110e5278cc97",21,400,29,30,2,"red","2435"
"676f37ed7c44110e5278cc97",22,400,33,29,20,"red","3197"
"676f37ed7c44110e5278cc97",23,500,20,12,2,"red","2535"
"676f37ed7c44110e5278cc97",24,400,14,11,10,"red","2897"
"676f37ed7c44110e5278cc97",25,400,32,30,20,"red","3017"
"676f37ed7c44110e5278cc97",26,500,31,35,20,"red","3720"
"676f37ed7c44110e5278cc97",27,400,36,32,2,"red","3277"
"676f37ed7c44110e5278cc97",28,400,36,35,10,"red","3230"
"676f37ed7c44110e5278cc97",29,600,16,9,20,"red","3454"
"676f37ed7c44110e5278cc97",30,500,35,34,20,"red","3876"
"676f37ed7c44110e5278cc97",31,500,16,10,20,"red","4462"
"676f37ed7c44110e5278cc97",32,500,14,5,20,"red","2841"
"676f37ed7c44110e5278cc97",33,600,19,8,20,"red","3263"
"676f37ed7c44110e5278cc97",34,600,22,25,10,"red","2558"
"676f37ed7c44110e5278cc97",35,500,32,27,10,"red","3101"
"676f37ed7c44110e5278cc97",36,600,23,16,2,"red","2181"
"676f37ed7c44110e5278cc97",37,400,19,14,20,"red","2306"
"676f37ed7c44110e5278cc97",38,400,26,26,2,"red","1800"
"676f37ed7c44110e5278cc97",39,500,28,31,10,"red","2446"
"676f37ed7c44110e5278cc97",40,400,34,32,20,"red","3854"
"676f37ed7c44110e5278cc97",41,600,33,34,10,"red","2475"
"676f37ed7c44110e5278cc97",42,600,34,36,10,"red","2912"
"676f37ed7c44110e5278cc97",43,600,14,4,20,"red","2979"
"676f37ed7c44110e5278cc97",44,600,18,8,20,"red","2883"
"676f37ed7c44110e5278cc97",45,600,35,32,2,"red","3301"
"676f37ed7c44110e5278cc97",46,400,29,32,2,"red","2253"
"676f37ed7c44110e5278cc97",47,600,24,22,2,"red","2399"
"676f37ed7c44110e5278cc97",48,600,21,11,2,"red","1690"
"676f37ed7c44110e5278cc97",49,400,32,41,10,"red","2792"
"676f37ed7c44110e5278cc97",50,500,26,33,10,"red","2441"
"676f37ed7c44110e5278cc97",51,600,25,24,2,"red","6157"
"676f37ed7c44110e5278cc97",52,400,16,11,2,"red","2096"
"676f37ed7c44110e5278cc97",53,600,23,16,10,"red","2835"
"676f37ed7c44110e5278cc97",54,500,29,22,2,"red","2280"
"676f37ed7c44110e5278cc97",55,400,22,29,10,"red","2655"
"676f37ed7c44110e5278cc97",56,600,26,18,10,"red","5178"
"676f37ed7c44110e5278cc97",57,500,23,14,2,"red","2801"
"676f37ed7c44110e5278cc97",58,400,20,18,10,"red","3408"
"676f37ed7c44110e5278cc97",59,400,14,5,20,"red","2345"
"676f37ed7c44110e5278cc97",60,600,22,15,2,"red","1750"
"676f37ed7c44110e5278cc97",61,400,30,32,2,"red","2265"
"676f37ed7c44110e5278cc97",62,600,24,27,10,"red","2793"
"676f37ed7c44110e5278cc97",63,500,36,33,2,"red","3028"
"676f37ed7c44110e5278cc97",64,500,16,8,10,"red","1831"
"676f37ed7c44110e5278cc97",65,600,29,31,20,"red","1980"
"676f37ed7c44110e5278cc97",66,400,19,7,20,"red","2514"
"676f37ed7c44110e5278cc97",67,600,17,9,10,"red","2418"
"676f37ed7c44110e5278cc97",68,400,32,37,20,"red","2965"
"676f37ed7c44110e5278cc97",69,600,36,35,20,"blue","4836"
"676f37ed7c44110e5278cc97",70,600,19,21,20,"blue","2341"
"676f37ed7c44110e5278cc97",71,500,19,19,2,"blue","2178"
"676f37ed7c44110e5278cc97",72,500,22,17,20,"blue","1916"
"676f37ed7c44110e5278cc97",73,500,16,12,10,"blue","2337"
"676f37ed7c44110e5278cc97",74,400,19,18,2,"blue","2269"
"676f37ed7c44110e5278cc97",75,400,17,11,20,"blue","2641"
"676f37ed7c44110e5278cc97",76,500,16,9,20,"blue","1926"
"676f37ed7c44110e5278cc97",77,600,26,30,2,"blue","2460"
"676f37ed7c44110e5278cc97",78,600,20,20,2,"blue","2176"
"676f37ed7c44110e5278cc97",79,400,31,18,10,"blue","2327"
