"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"56802e5fc5767f00121cc6a0",46,400,29,23,10,"red",8734,26,"rt_bounds"
"56802e5fc5767f00121cc6a0",48,500,26,29,10,"red",8904,28,"rt_bounds"
"5ae12548dee8590001b08925",55,400,22,22,2,"blue",8704,419,"rt_bounds"
"5ae12548dee8590001b08925",80,600,25,22,2,"red",19552,444,"rt_bounds"
"5ae12548dee8590001b08925",104,400,22,29,10,"red",11711,468,"rt_bounds"
"5ae12548dee8590001b08925",107,600,32,23,10,"red",9652,471,"rt_bounds"
"5f2f8574ff256b37b1970220",81,600,25,21,10,"red",10814,1885,"rt_bounds"
"5f2f8574ff256b37b1970220",86,400,34,32,2,"red",10060,1890,"rt_bounds"
"5f2f8574ff256b37b1970220",112,500,22,10,10,"red",11092,1916,"rt_bounds"
"60087afa0a5c054c002eaf0e",94,500,26,36,20,"red",109025,2186,"rt_bounds"
"601478ee2d7cc94b1f1855ec",86,400,35,25,20,"blue",8830,2370,"rt_bounds"
"60fe21d7301f49dfc4aa5f3a",112,400,29,12,20,"red",9181,2684,"rt_bounds"
"610036d6b6496ca7c4dbdb1b",40,500,30,21,2,"red",9249,2708,"rt_bounds"
"62fbeca46caf4abaaf74b5f1",100,400,25,23,2,"red",8648,3440,"rt_bounds"
"63d13f416b2c25038c13007f",22,600,18,23,10,"red",9677,3650,"rt_bounds"
"63d13f416b2c25038c13007f",35,500,19,11,20,"red",9332,3663,"rt_bounds"
"63d13f416b2c25038c13007f",43,500,36,18,2,"red",111156,3671,"rt_bounds"
"63d13f416b2c25038c13007f",61,600,21,16,10,"red",8624,3689,"rt_bounds"
"63d13f416b2c25038c13007f",66,400,17,10,20,"red",9523,3694,"rt_bounds"
"6400e07f37c248e81cbc9d41",110,400,14,13,20,"blue",29864,3834,"rt_bounds"
"642f6ac1b10ead55a45175ab",115,400,26,32,20,"red",16271,4127,"rt_bounds"
"643466ccb8e9bb0350af3cbb",21,600,30,27,2,"blue",10629,4129,"rt_bounds"
"643466ccb8e9bb0350af3cbb",22,400,28,32,10,"blue",9135,4130,"rt_bounds"
"643466ccb8e9bb0350af3cbb",23,400,17,16,20,"blue",8109,4131,"rt_bounds"
