"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"55a56724fdf99b7973398109",21,600,27,16,20,"blue",5515
"55a56724fdf99b7973398109",22,400,19,14,20,"blue",2635
"55a56724fdf99b7973398109",23,500,31,22,20,"blue",3620
"55a56724fdf99b7973398109",24,600,27,20,2,"blue",4533
"55a56724fdf99b7973398109",25,600,24,22,20,"blue",3197
"55a56724fdf99b7973398109",26,500,24,17,20,"blue",4102
"55a56724fdf99b7973398109",27,400,26,17,10,"blue",4179
"55a56724fdf99b7973398109",28,400,29,21,20,"blue",3834
"55a56724fdf99b7973398109",29,600,33,26,20,"blue",4082
"55a56724fdf99b7973398109",30,500,28,24,2,"blue",2367
"55a56724fdf99b7973398109",32,600,31,27,20,"blue",2703
"55a56724fdf99b7973398109",33,400,20,13,2,"blue",4192
"55a56724fdf99b7973398109",34,400,16,14,10,"blue",3113
"55a56724fdf99b7973398109",35,400,33,28,20,"blue",2252
"55a56724fdf99b7973398109",36,400,23,22,10,"blue",2961
"55a56724fdf99b7973398109",37,600,26,20,20,"blue",4645
"55a56724fdf99b7973398109",38,400,34,29,10,"blue",2728
"55a56724fdf99b7973398109",39,500,19,19,10,"blue",3059
"55a56724fdf99b7973398109",40,500,15,11,20,"blue",2852
"55a56724fdf99b7973398109",41,600,20,11,2,"blue",2016
"55a56724fdf99b7973398109",42,500,19,16,20,"blue",3457
"55a56724fdf99b7973398109",44,500,29,31,10,"blue",2820
"55a56724fdf99b7973398109",45,400,35,25,20,"blue",4588
"55a56724fdf99b7973398109",46,500,23,24,2,"blue",2970
"55a56724fdf99b7973398109",47,600,19,15,20,"blue",2100
"55a56724fdf99b7973398109",48,400,26,25,2,"blue",2604
"55a56724fdf99b7973398109",50,500,14,10,10,"blue",3785
"55a56724fdf99b7973398109",51,500,36,31,10,"blue",2741
"55a56724fdf99b7973398109",52,600,26,25,2,"blue",3346
"55a56724fdf99b7973398109",53,400,32,27,2,"blue",3743
"55a56724fdf99b7973398109",54,500,20,28,10,"blue",3233
"55a56724fdf99b7973398109",55,500,31,28,2,"blue",4323
"55a56724fdf99b7973398109",56,500,30,29,2,"blue",4085
"55a56724fdf99b7973398109",57,400,33,30,2,"blue",3875
"55a56724fdf99b7973398109",58,600,21,25,10,"blue",3398
"55a56724fdf99b7973398109",59,400,31,27,2,"blue",5526
"55a56724fdf99b7973398109",60,500,16,12,10,"blue",4128
"55a56724fdf99b7973398109",61,500,18,19,10,"blue",2560
"55a56724fdf99b7973398109",62,500,33,30,2,"blue",5412
"55a56724fdf99b7973398109",63,400,24,22,2,"blue",5304
"55a56724fdf99b7973398109",64,600,33,33,10,"blue",2993
"55a56724fdf99b7973398109",65,500,32,33,2,"blue",4365
"55a56724fdf99b7973398109",66,600,31,30,10,"blue",2124
"55a56724fdf99b7973398109",67,500,25,26,10,"blue",4160
"55a56724fdf99b7973398109",68,600,31,29,10,"blue",5883
"55a56724fdf99b7973398109",69,600,20,15,2,"red",3569
"55a56724fdf99b7973398109",70,400,22,16,10,"red",4422
"55a56724fdf99b7973398109",71,600,20,10,20,"red",3222
"55a56724fdf99b7973398109",72,500,26,14,10,"red",3051
"55a56724fdf99b7973398109",73,600,15,12,2,"red",4185
"55a56724fdf99b7973398109",74,600,32,29,20,"red",2905
"55a56724fdf99b7973398109",75,400,26,19,2,"red",4848
"55a56724fdf99b7973398109",76,400,34,28,10,"red",2337
"55a56724fdf99b7973398109",77,600,18,16,20,"red",5886
"55a56724fdf99b7973398109",78,600,33,30,20,"red",5599
"55a56724fdf99b7973398109",79,500,27,21,20,"red",2685
