"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"566a17d07da0350012b3e876",13,500,34,16,2,"blue",2422
"566a17d07da0350012b3e876",14,500,32,18,2,"blue",2507
"566a17d07da0350012b3e876",15,600,18,8,2,"blue",2376
"566a17d07da0350012b3e876",16,600,32,19,2,"blue",1894
"566a17d07da0350012b3e876",17,500,35,21,2,"blue",1715
"566a17d07da0350012b3e876",18,400,30,17,2,"blue",2286
"566a17d07da0350012b3e876",19,400,24,18,2,"blue",3467
"566a17d07da0350012b3e876",20,600,16,18,2,"blue",2562
"566a17d07da0350012b3e876",21,500,17,11,2,"blue",1900
"566a17d07da0350012b3e876",22,400,15,9,2,"blue",2151
"566a17d07da0350012b3e876",23,600,17,7,2,"blue",2014
"566a17d07da0350012b3e876",24,400,18,11,2,"blue",2455
"566a17d07da0350012b3e876",25,600,34,10,2,"blue",2272
"566a17d07da0350012b3e876",26,500,18,6,2,"blue",2303
"566a17d07da0350012b3e876",27,500,14,3,2,"blue",2039
"566a17d07da0350012b3e876",28,400,26,15,2,"blue",2194
"566a17d07da0350012b3e876",29,400,14,15,10,"blue",1889
"566a17d07da0350012b3e876",30,500,20,11,10,"blue",1886
"566a17d07da0350012b3e876",31,500,25,10,10,"blue",2654
"566a17d07da0350012b3e876",32,400,17,13,10,"blue",2593
"566a17d07da0350012b3e876",33,400,20,14,10,"blue",2911
"566a17d07da0350012b3e876",34,500,35,17,10,"blue",2624
"566a17d07da0350012b3e876",35,400,32,12,10,"blue",2221
"566a17d07da0350012b3e876",36,500,27,12,10,"blue",2357
"566a17d07da0350012b3e876",37,600,32,16,10,"blue",2028
"566a17d07da0350012b3e876",38,600,16,11,10,"blue",2391
"566a17d07da0350012b3e876",39,600,24,13,10,"blue",2383
"566a17d07da0350012b3e876",40,500,30,14,10,"blue",2056
"566a17d07da0350012b3e876",41,500,29,17,10,"blue",1970
"566a17d07da0350012b3e876",42,600,25,18,10,"blue",2980
"566a17d07da0350012b3e876",43,400,26,19,10,"blue",1876
"566a17d07da0350012b3e876",44,400,24,18,10,"blue",2584
"566a17d07da0350012b3e876",45,500,21,16,20,"blue",3451
"566a17d07da0350012b3e876",46,400,21,11,20,"blue",1921
"566a17d07da0350012b3e876",47,500,23,16,20,"blue",2512
"566a17d07da0350012b3e876",48,400,22,16,20,"blue",1968
"566a17d07da0350012b3e876",49,400,21,14,20,"blue",2171
