"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"5c1021a547d07800011a23de",13,500,18,11,2,"blue",2333,481,"too_few_trials_initial"
"5c1021a547d07800011a23de",14,400,21,21,10,"blue",2921,482,"too_few_trials_initial"
"5c1021a547d07800011a23de",15,400,34,22,20,"blue",3329,483,"too_few_trials_initial"
"5c1021a547d07800011a23de",16,600,23,18,20,"blue",2177,484,"too_few_trials_initial"
"573b8bc2f3580b0006ce0986",13,500,28,25,20,"blue",9660,97,"rt_bounds"
"573b8bc2f3580b0006ce0986",19,400,26,25,10,"blue",11249,103,"rt_bounds"
"573b8bc2f3580b0006ce0986",21,500,31,24,10,"blue",9279,105,"rt_bounds"
"573b8bc2f3580b0006ce0986",23,500,16,16,10,"blue",9137,107,"rt_bounds"
"573b8bc2f3580b0006ce0986",24,500,32,27,20,"blue",9928,108,"rt_bounds"
"573b8bc2f3580b0006ce0986",25,400,26,28,10,"blue",8004,109,"rt_bounds"
"573b8bc2f3580b0006ce0986",30,400,14,19,10,"blue",10466,114,"rt_bounds"
"573b8bc2f3580b0006ce0986",31,600,18,18,10,"blue",8687,115,"rt_bounds"
"573b8bc2f3580b0006ce0986",45,500,36,22,20,"blue",8028,129,"rt_bounds"
"573b8bc2f3580b0006ce0986",86,500,26,16,10,"red",8467,170,"rt_bounds"
"573b8bc2f3580b0006ce0986",96,400,36,21,20,"red",8187,180,"rt_bounds"
"588f1a4f7f238e000133c03f",89,600,15,19,10,"red",11040,269,"rt_bounds"
"588f1a4f7f238e000133c03f",96,500,20,27,20,"red",11435,276,"rt_bounds"
"588f1a4f7f238e000133c03f",98,600,36,19,2,"red",8828,278,"rt_bounds"
"588f1a4f7f238e000133c03f",107,400,24,24,10,"red",14461,287,"rt_bounds"
"59f224ce40333e00017edfe8",62,600,21,14,20,"blue",8403,338,"rt_bounds"
"5a907927873cda0001dc4719",77,600,33,33,2,"blue",8239,449,"rt_bounds"
"5c22db5c540c6d00018bc10c",61,600,23,15,10,"blue",10849,533,"rt_bounds"
"5c22db5c540c6d00018bc10c",71,500,31,29,2,"blue",9675,543,"rt_bounds"
"5d7ff85ffec5620017b07c40",24,400,35,36,20,"blue",11089,784,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",16,600,18,18,2,"red",8701,872,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",17,600,16,11,20,"red",8433,873,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",18,500,16,17,10,"red",9386,874,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",21,600,32,20,20,"red",10651,877,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",25,600,18,23,20,"red",11061,881,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",27,400,33,26,10,"red",12345,883,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",31,500,17,15,20,"red",23731,887,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",33,500,16,11,20,"red",10330,889,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",35,400,18,21,10,"red",10313,891,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",36,500,36,34,20,"red",16581,892,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",37,400,31,21,20,"red",10025,893,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",39,600,22,15,10,"red",9049,895,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",40,600,34,13,2,"red",13559,896,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",44,600,18,19,20,"red",11069,900,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",45,600,16,11,2,"red",8297,901,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",56,500,32,26,10,"red",10634,912,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",59,400,26,23,2,"red",20708,915,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",61,500,27,27,2,"blue",8660,917,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",65,400,36,40,10,"blue",9551,921,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",66,600,28,25,20,"blue",8673,922,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",68,400,35,32,2,"blue",9501,924,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",69,400,17,18,2,"blue",10372,925,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",71,400,14,11,2,"blue",8313,927,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",76,600,28,33,20,"blue",8822,932,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",78,400,21,24,20,"blue",10627,934,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",79,600,14,17,10,"blue",8794,935,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",80,600,20,19,20,"blue",9182,936,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",81,500,22,24,10,"blue",10481,937,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",86,600,36,26,2,"blue",10265,942,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",87,400,17,17,2,"blue",10946,943,"rt_bounds"
"5e790129bd76c94a7b3aa7b6",89,600,19,17,20,"blue",8192,945,"rt_bounds"
"607dc630d2d30aa7e8699c23",14,500,33,30,10,"blue",8504,1062,"rt_bounds"
"60fcc2322b3777e4020465cb",49,400,16,20,20,"red",25630,1193,"rt_bounds"
"60fcc2322b3777e4020465cb",56,600,22,17,2,"red",9965,1200,"rt_bounds"
"60fcc2322b3777e4020465cb",65,500,34,12,2,"blue",38665,1209,"rt_bounds"
"60fcc2322b3777e4020465cb",70,400,33,32,10,"blue",46879,1214,"rt_bounds"
"60fcc2322b3777e4020465cb",72,600,33,26,2,"blue",29880,1216,"rt_bounds"
"60fcc2322b3777e4020465cb",90,500,24,20,20,"blue",24928,1234,"rt_bounds"
"60fcc2322b3777e4020465cb",104,400,31,34,20,"blue",25263,1248,"rt_bounds"
"614f39b82ccdbdd51c76cc50",107,600,15,27,20,"blue",9376,1539,"rt_bounds"
