"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"566a19b57da035000fb39b89",13,600,18,6,2,"red","2028"
"566a19b57da035000fb39b89",14,500,21,17,10,"red","2130"
"566a19b57da035000fb39b89",15,400,19,4,2,"red","1707"
"566a19b57da035000fb39b89",16,400,36,22,10,"red","2247"
"566a19b57da035000fb39b89",17,600,14,10,20,"red","2804"
"566a19b57da035000fb39b89",18,500,26,8,2,"red","2140"
"566a19b57da035000fb39b89",19,500,27,5,20,"red","2393"
"566a19b57da035000fb39b89",20,600,28,16,2,"red","3912"
"566a19b57da035000fb39b89",21,500,31,5,20,"red","2704"
"566a19b57da035000fb39b89",22,500,24,2,20,"red","2931"
"566a19b57da035000fb39b89",23,500,29,8,2,"red","2867"
"566a19b57da035000fb39b89",24,400,17,7,10,"red","2198"
"566a19b57da035000fb39b89",25,600,23,7,10,"red","2894"
"566a19b57da035000fb39b89",26,400,36,16,10,"red","2378"
"566a19b57da035000fb39b89",27,600,20,12,20,"red","2134"
"566a19b57da035000fb39b89",28,500,29,14,2,"red","3102"
"566a19b57da035000fb39b89",29,500,18,14,10,"red","2702"
"566a19b57da035000fb39b89",30,400,20,11,2,"red","2896"
"566a19b57da035000fb39b89",31,500,30,13,20,"red","2517"
"566a19b57da035000fb39b89",32,400,33,14,10,"red","2421"
"566a19b57da035000fb39b89",33,500,21,16,2,"red","2466"
"566a19b57da035000fb39b89",34,600,21,16,2,"red","2050"
"566a19b57da035000fb39b89",35,400,25,9,2,"red","2403"
"566a19b57da035000fb39b89",36,500,31,12,2,"red","2851"
"566a19b57da035000fb39b89",37,500,22,6,2,"red","2450"
"566a19b57da035000fb39b89",38,600,14,7,10,"red","3059"
"566a19b57da035000fb39b89",39,400,27,15,10,"red","2088"
"566a19b57da035000fb39b89",40,500,16,6,2,"red","2282"
"566a19b57da035000fb39b89",41,600,34,6,10,"red","2787"
"566a19b57da035000fb39b89",42,500,33,18,20,"red","3653"
"566a19b57da035000fb39b89",43,400,31,19,20,"red","2105"
"566a19b57da035000fb39b89",44,400,34,9,2,"red","2525"
"566a19b57da035000fb39b89",45,600,31,10,10,"red","2476"
"566a19b57da035000fb39b89",46,400,32,11,20,"red","3099"
"566a19b57da035000fb39b89",47,600,22,5,20,"red","3070"
"566a19b57da035000fb39b89",48,600,18,6,2,"red","2099"
"566a19b57da035000fb39b89",49,500,22,5,20,"red","3157"
"566a19b57da035000fb39b89",50,600,31,6,20,"red","3022"
"566a19b57da035000fb39b89",51,500,34,9,10,"red","2923"
"566a19b57da035000fb39b89",52,500,17,6,10,"red","3680"
"566a19b57da035000fb39b89",53,600,32,13,20,"red","2611"
"566a19b57da035000fb39b89",54,500,36,5,2,"red","2938"
"566a19b57da035000fb39b89",55,500,18,3,20,"red","2822"
