participant_id,trial,color,faceIdentity,fixationTime,exp_type,indexSelected,meanVal,array_values,array_length
664287debe4750708ea0ecf7,21,red,red,600,avg,16,23,"[14,18,15,21,23,22,25,25,26,29,30,32]",12
664287debe4750708ea0ecf7,22,red,red,600,avg,5,12,"[8,16]",2
664287debe4750708ea0ecf7,23,red,red,500,avg,11,16,"[10,12,14,18,20,22]",6
664287debe4750708ea0ecf7,24,red,red,500,avg,28,28,"[22,24,26,30,32,34]",6
664287debe4750708ea0ecf7,25,red,red,400,avg,36,38,"[34,42]",2
664287debe4750708ea0ecf7,26,red,red,600,avg,4,13,"[9,17]",2
664287debe4750708ea0ecf7,27,red,red,600,avg,21,21,"[15,17,19,23,25,27]",6
664287debe4750708ea0ecf7,28,red,red,500,avg,11,22,"[16,18,20,24,26,28]",6
664287debe4750708ea0ecf7,29,red,red,500,avg,9,11,"[2,6,3,9,11,10,13,13,14,17,18,20]",12
664287debe4750708ea0ecf7,30,red,red,400,avg,9,12,"[6,8,10,14,16,18]",6
664287debe4750708ea0ecf7,31,red,red,400,avg,8,13,"[4,8,5,11,13,12,15,15,16,19,20,22]",12
664287debe4750708ea0ecf7,32,red,red,400,avg,35,37,"[28,32,29,35,37,36,39,39,40,43,44,46]",12
664287debe4750708ea0ecf7,33,red,red,600,avg,22,16,"[10,12,14,18,20,22]",6
664287debe4750708ea0ecf7,34,red,red,500,avg,27,26,"[22,30]",2
664287debe4750708ea0ecf7,35,red,red,500,avg,10,11,"[5,7,9,13,15,17]",6
664287debe4750708ea0ecf7,36,red,red,500,avg,18,21,"[13,15,17,19,23,25,27,29]",8
664287debe4750708ea0ecf7,37,red,red,400,avg,28,27,"[18,22,19,25,27,26,29,29,30,33,34,36]",12
664287debe4750708ea0ecf7,38,red,red,500,avg,35,35,"[29,31,33,37,39,41]",6
664287debe4750708ea0ecf7,39,red,red,500,avg,26,25,"[17,19,21,23,27,29,31,33]",8
664287debe4750708ea0ecf7,40,red,red,500,avg,13,9,"[1,3,5,7,11,13,15,17]",8
664287debe4750708ea0ecf7,41,red,red,600,avg,37,34,"[28,30,32,36,38,40]",6
664287debe4750708ea0ecf7,42,red,red,400,avg,43,41,"[32,36,33,39,41,40,43,43,44,47,48,50]",12
664287debe4750708ea0ecf7,43,red,red,600,avg,22,17,"[8,12,9,15,17,16,19,19,20,23,24,26]",12
664287debe4750708ea0ecf7,44,red,red,400,avg,33,34,"[28,30,32,36,38,40]",6
664287debe4750708ea0ecf7,45,red,red,600,avg,33,36,"[32,40]",2
664287debe4750708ea0ecf7,46,red,red,500,avg,29,29,"[20,24,21,27,29,28,31,31,32,35,36,38]",12
664287debe4750708ea0ecf7,47,red,red,600,avg,18,30,"[26,34]",2
664287debe4750708ea0ecf7,48,red,red,500,avg,13,22,"[16,18,20,24,26,28]",6
664287debe4750708ea0ecf7,49,red,red,600,avg,9,14,"[8,10,12,16,18,20]",6
664287debe4750708ea0ecf7,50,red,red,400,avg,20,32,"[28,36]",2
664287debe4750708ea0ecf7,51,red,red,400,avg,34,31,"[23,25,27,29,33,35,37,39]",8
