"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color"
"664287debe4750708ea0ecf7",21,600,23,16,12,"red"
"664287debe4750708ea0ecf7",22,600,12,5,2,"red"
"664287debe4750708ea0ecf7",23,500,16,11,6,"red"
"664287debe4750708ea0ecf7",24,500,28,28,6,"red"
"664287debe4750708ea0ecf7",25,400,38,36,2,"red"
"664287debe4750708ea0ecf7",26,600,13,4,2,"red"
"664287debe4750708ea0ecf7",27,600,21,21,6,"red"
"664287debe4750708ea0ecf7",28,500,22,11,6,"red"
"664287debe4750708ea0ecf7",29,500,11,9,12,"red"
"664287debe4750708ea0ecf7",30,400,12,9,6,"red"
"664287debe4750708ea0ecf7",31,400,13,8,12,"red"
"664287debe4750708ea0ecf7",32,400,37,35,12,"red"
"664287debe4750708ea0ecf7",33,600,16,22,6,"red"
"664287debe4750708ea0ecf7",34,500,26,27,2,"red"
"664287debe4750708ea0ecf7",35,500,11,10,6,"red"
"664287debe4750708ea0ecf7",36,500,21,18,8,"red"
"664287debe4750708ea0ecf7",37,400,27,28,12,"red"
"664287debe4750708ea0ecf7",38,500,35,35,6,"red"
"664287debe4750708ea0ecf7",39,500,25,26,8,"red"
"664287debe4750708ea0ecf7",40,500,9,13,8,"red"
"664287debe4750708ea0ecf7",41,600,34,37,6,"red"
"664287debe4750708ea0ecf7",42,400,41,43,12,"red"
"664287debe4750708ea0ecf7",43,600,17,22,12,"red"
"664287debe4750708ea0ecf7",44,400,34,33,6,"red"
"664287debe4750708ea0ecf7",45,600,36,33,2,"red"
"664287debe4750708ea0ecf7",46,500,29,29,12,"red"
"664287debe4750708ea0ecf7",47,600,30,18,2,"red"
"664287debe4750708ea0ecf7",48,500,22,13,6,"red"
"664287debe4750708ea0ecf7",49,600,14,9,6,"red"
"664287debe4750708ea0ecf7",50,400,32,20,2,"red"
"664287debe4750708ea0ecf7",51,400,31,34,8,"red"
"664287debe4750708ea0ecf7",52,600,22,19,2,"red"
"664287debe4750708ea0ecf7",53,500,38,32,12,"red"
"664287debe4750708ea0ecf7",54,600,41,38,8,"red"
"664287debe4750708ea0ecf7",55,600,10,29,12,"red"
"664287debe4750708ea0ecf7",56,600,11,14,8,"red"
"664287debe4750708ea0ecf7",57,600,23,13,2,"red"
"664287debe4750708ea0ecf7",58,400,31,32,8,"red"
"664287debe4750708ea0ecf7",59,600,34,37,8,"red"
"664287debe4750708ea0ecf7",60,500,30,25,8,"red"
"664287debe4750708ea0ecf7",61,500,31,20,2,"red"
"664287debe4750708ea0ecf7",62,500,28,30,2,"red"
"664287debe4750708ea0ecf7",63,500,30,24,8,"red"
"664287debe4750708ea0ecf7",64,600,16,19,8,"red"
"664287debe4750708ea0ecf7",65,600,23,26,12,"red"
"664287debe4750708ea0ecf7",66,400,16,11,12,"red"
"664287debe4750708ea0ecf7",67,600,28,30,2,"red"
"664287debe4750708ea0ecf7",68,600,19,8,8,"red"
"664287debe4750708ea0ecf7",69,400,27,26,2,"blue"
"664287debe4750708ea0ecf7",70,500,33,35,6,"blue"
"664287debe4750708ea0ecf7",71,600,41,36,8,"blue"
"664287debe4750708ea0ecf7",72,400,41,36,12,"blue"
"664287debe4750708ea0ecf7",73,400,34,31,2,"blue"
"664287debe4750708ea0ecf7",74,500,39,40,2,"blue"
"664287debe4750708ea0ecf7",75,600,9,11,12,"blue"
"664287debe4750708ea0ecf7",76,400,9,9,8,"blue"
"664287debe4750708ea0ecf7",77,500,38,37,12,"blue"
"664287debe4750708ea0ecf7",78,400,33,26,2,"blue"
"664287debe4750708ea0ecf7",79,500,27,27,12,"blue"
"664287debe4750708ea0ecf7",80,400,34,34,8,"blue"
"664287debe4750708ea0ecf7",81,500,32,21,2,"blue"
"664287debe4750708ea0ecf7",82,400,18,22,2,"blue"
"664287debe4750708ea0ecf7",83,600,11,11,12,"blue"
"664287debe4750708ea0ecf7",84,600,20,20,8,"blue"
"664287debe4750708ea0ecf7",85,500,9,9,6,"blue"
"664287debe4750708ea0ecf7",86,400,15,5,6,"blue"
"664287debe4750708ea0ecf7",87,600,10,8,6,"blue"
"664287debe4750708ea0ecf7",88,600,28,32,8,"blue"
"664287debe4750708ea0ecf7",89,400,13,8,6,"blue"
"664287debe4750708ea0ecf7",90,400,14,11,2,"blue"
"664287debe4750708ea0ecf7",91,500,41,37,2,"blue"
"664287debe4750708ea0ecf7",92,500,25,29,6,"blue"
"664287debe4750708ea0ecf7",93,500,34,33,8,"blue"
"664287debe4750708ea0ecf7",94,400,32,24,6,"blue"
"664287debe4750708ea0ecf7",95,400,29,31,6,"blue"
"664287debe4750708ea0ecf7",96,600,16,15,12,"blue"
"664287debe4750708ea0ecf7",97,500,25,27,2,"blue"
"664287debe4750708ea0ecf7",98,500,34,37,2,"blue"
"664287debe4750708ea0ecf7",99,400,38,42,8,"blue"
"664287debe4750708ea0ecf7",100,400,18,26,6,"blue"
"664287debe4750708ea0ecf7",101,500,31,34,8,"blue"
"664287debe4750708ea0ecf7",102,600,32,39,12,"blue"
"664287debe4750708ea0ecf7",103,600,18,25,8,"blue"
"664287debe4750708ea0ecf7",104,500,17,21,8,"blue"
"664287debe4750708ea0ecf7",105,500,25,20,2,"blue"
"664287debe4750708ea0ecf7",106,500,24,19,12,"blue"
"664287debe4750708ea0ecf7",107,600,25,24,12,"blue"
"664287debe4750708ea0ecf7",108,500,21,17,6,"blue"
"664287debe4750708ea0ecf7",109,500,10,12,8,"blue"
"664287debe4750708ea0ecf7",110,400,21,10,8,"blue"
"664287debe4750708ea0ecf7",111,600,38,40,6,"blue"
"664287debe4750708ea0ecf7",112,500,41,44,2,"blue"
"664287debe4750708ea0ecf7",113,600,25,27,12,"blue"
"664287debe4750708ea0ecf7",114,600,21,19,6,"blue"
"664287debe4750708ea0ecf7",115,500,27,26,12,"blue"
"664287debe4750708ea0ecf7",116,600,33,32,12,"blue"
"67a3fb27168c85ff572b2414",21,600,19,14,2,"red"
"67a3fb27168c85ff572b2414",22,400,15,16,2,"red"
"67a3fb27168c85ff572b2414",23,500,40,45,8,"red"
"67a3fb27168c85ff572b2414",24,400,32,32,2,"red"
"67a3fb27168c85ff572b2414",25,600,30,34,2,"red"
"67a3fb27168c85ff572b2414",26,400,32,39,2,"red"
"67a3fb27168c85ff572b2414",27,500,15,18,2,"red"
"67a3fb27168c85ff572b2414",28,600,37,46,8,"red"
"67a3fb27168c85ff572b2414",29,600,10,13,2,"red"
"67a3fb27168c85ff572b2414",30,600,18,15,6,"red"
"67a3fb27168c85ff572b2414",31,400,16,14,6,"red"
"67a3fb27168c85ff572b2414",32,600,37,40,6,"red"
"67a3fb27168c85ff572b2414",33,400,34,37,8,"red"
"67a3fb27168c85ff572b2414",34,500,28,34,6,"red"
"67a3fb27168c85ff572b2414",35,600,25,34,8,"red"
"67a3fb27168c85ff572b2414",36,500,21,22,6,"red"
"67a3fb27168c85ff572b2414",37,500,19,19,2,"red"
"67a3fb27168c85ff572b2414",38,600,25,31,8,"red"
"67a3fb27168c85ff572b2414",39,600,34,38,2,"red"
"67a3fb27168c85ff572b2414",40,600,26,33,8,"red"
"67a3fb27168c85ff572b2414",41,500,9,14,8,"red"
"67a3fb27168c85ff572b2414",42,400,31,33,2,"red"
"67a3fb27168c85ff572b2414",43,500,22,26,8,"red"
"67a3fb27168c85ff572b2414",44,400,30,32,6,"red"
"67a3fb27168c85ff572b2414",45,500,15,25,2,"red"
"67a3fb27168c85ff572b2414",46,500,25,31,6,"red"
"67a3fb27168c85ff572b2414",47,600,41,48,6,"red"
"67a3fb27168c85ff572b2414",48,400,28,33,6,"red"
"67a3fb27168c85ff572b2414",49,600,39,43,6,"red"
"67a3fb27168c85ff572b2414",50,400,37,38,2,"red"
"67a3fb27168c85ff572b2414",51,500,38,35,6,"red"
"67a3fb27168c85ff572b2414",52,400,38,37,6,"red"
"67a3fb27168c85ff572b2414",53,600,12,12,8,"red"
"67a3fb27168c85ff572b2414",54,600,23,26,8,"red"
"67a3fb27168c85ff572b2414",55,500,22,27,8,"red"
"67a3fb27168c85ff572b2414",56,400,17,16,8,"red"
"67a3fb27168c85ff572b2414",57,500,35,37,12,"red"
"67a3fb27168c85ff572b2414",58,500,17,16,12,"red"
"67a3fb27168c85ff572b2414",59,500,17,20,12,"red"
"67a3fb27168c85ff572b2414",60,600,27,31,12,"red"
"67a3fb27168c85ff572b2414",61,400,17,23,12,"red"
"67a3fb27168c85ff572b2414",62,500,33,30,12,"red"
"67a3fb27168c85ff572b2414",63,500,17,20,12,"red"
"67a3fb27168c85ff572b2414",64,500,21,23,12,"red"
"67a3fb27168c85ff572b2414",65,400,34,35,12,"red"
"67a3fb27168c85ff572b2414",66,400,31,30,12,"red"
"67a3fb27168c85ff572b2414",67,400,26,23,12,"red"
"67a3fb27168c85ff572b2414",68,400,22,26,12,"red"
"67a3fb27168c85ff572b2414",69,500,16,22,8,"blue"
"67a3fb27168c85ff572b2414",70,400,16,23,6,"blue"
"67a3fb27168c85ff572b2414",71,600,36,36,6,"blue"
"67a3fb27168c85ff572b2414",72,400,32,30,2,"blue"
"67a3fb27168c85ff572b2414",73,600,27,26,8,"blue"
"67a3fb27168c85ff572b2414",74,600,37,31,6,"blue"
"67a3fb27168c85ff572b2414",75,400,13,13,2,"blue"
"67a3fb27168c85ff572b2414",76,500,35,31,6,"blue"
"67a3fb27168c85ff572b2414",77,600,25,26,8,"blue"
"67a3fb27168c85ff572b2414",78,400,27,27,12,"blue"
"67a3fb27168c85ff572b2414",79,400,39,33,6,"blue"
"67a3fb27168c85ff572b2414",80,400,26,34,8,"blue"
"67a3fb27168c85ff572b2414",81,500,33,32,6,"blue"
"67a3fb27168c85ff572b2414",82,600,36,33,2,"blue"
"67a3fb27168c85ff572b2414",83,400,29,30,2,"blue"
"67a3fb27168c85ff572b2414",84,400,33,40,12,"blue"
"67a3fb27168c85ff572b2414",85,600,36,32,2,"blue"
"67a3fb27168c85ff572b2414",86,400,12,35,12,"blue"
"67a3fb27168c85ff572b2414",87,400,12,22,12,"blue"
"67a3fb27168c85ff572b2414",88,400,27,30,2,"blue"
"67a3fb27168c85ff572b2414",89,500,24,27,2,"blue"
"67a3fb27168c85ff572b2414",90,400,27,26,6,"blue"
"67a3fb27168c85ff572b2414",91,500,25,31,12,"blue"
"67a3fb27168c85ff572b2414",92,400,23,27,2,"blue"
"67a3fb27168c85ff572b2414",93,500,24,33,12,"blue"
"67a3fb27168c85ff572b2414",94,400,40,40,12,"blue"
"67a3fb27168c85ff572b2414",95,400,34,41,12,"blue"
"67a3fb27168c85ff572b2414",96,400,39,38,2,"blue"
"67a3fb27168c85ff572b2414",97,600,24,28,12,"blue"
