"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"55b5f6b6fdf99b713277dc94",23,600,14,15,6,"blue",2631
"55b5f6b6fdf99b713277dc94",24,500,24,27,6,"blue",1829
"55b5f6b6fdf99b713277dc94",25,500,21,23,8,"blue",1930
"55b5f6b6fdf99b713277dc94",26,400,15,23,8,"blue",1891
"55b5f6b6fdf99b713277dc94",27,400,17,22,8,"blue",1855
"55b5f6b6fdf99b713277dc94",28,600,20,15,2,"blue",2317
"55b5f6b6fdf99b713277dc94",29,500,23,22,8,"blue",2137
"55b5f6b6fdf99b713277dc94",30,600,16,22,6,"blue",2026
"55b5f6b6fdf99b713277dc94",31,400,16,24,8,"blue",2839
"55b5f6b6fdf99b713277dc94",32,600,14,15,2,"blue",2008
"55b5f6b6fdf99b713277dc94",33,500,35,32,6,"blue",2523
"55b5f6b6fdf99b713277dc94",34,600,31,38,2,"blue",2245
"55b5f6b6fdf99b713277dc94",35,500,30,28,2,"blue",1583
"55b5f6b6fdf99b713277dc94",36,400,27,30,6,"blue",1504
"55b5f6b6fdf99b713277dc94",37,400,27,29,6,"blue",1211
"55b5f6b6fdf99b713277dc94",38,400,16,14,6,"blue",1039
"55b5f6b6fdf99b713277dc94",39,400,19,17,8,"blue",1071
"55b5f6b6fdf99b713277dc94",40,400,24,16,2,"blue",1175
"55b5f6b6fdf99b713277dc94",41,400,18,13,6,"blue",1141
"55b5f6b6fdf99b713277dc94",42,500,22,24,8,"blue",1178
"55b5f6b6fdf99b713277dc94",43,400,25,20,6,"blue",1771
"55b5f6b6fdf99b713277dc94",44,400,33,30,6,"blue",1806
"55b5f6b6fdf99b713277dc94",45,400,16,24,8,"blue",1407
"55b5f6b6fdf99b713277dc94",46,400,21,20,6,"blue",1481
"55b5f6b6fdf99b713277dc94",47,400,15,14,6,"blue",2503
"55b5f6b6fdf99b713277dc94",48,600,29,25,6,"blue",1400
"55b5f6b6fdf99b713277dc94",49,500,33,26,6,"blue",1038
"55b5f6b6fdf99b713277dc94",50,600,26,24,8,"blue",1782
"55b5f6b6fdf99b713277dc94",51,400,26,24,6,"blue",1174
"55b5f6b6fdf99b713277dc94",52,500,15,7,2,"blue",2058
"55b5f6b6fdf99b713277dc94",53,400,28,21,8,"blue",1557
"55b5f6b6fdf99b713277dc94",54,500,23,12,2,"blue",1402
"55b5f6b6fdf99b713277dc94",55,600,31,28,2,"blue",970
"55b5f6b6fdf99b713277dc94",56,400,31,29,8,"blue",1712
"55b5f6b6fdf99b713277dc94",57,600,21,14,2,"blue",1927
"55b5f6b6fdf99b713277dc94",58,400,25,22,8,"blue",1191
"55b5f6b6fdf99b713277dc94",59,600,32,29,6,"blue",1255
"55b5f6b6fdf99b713277dc94",60,600,32,30,2,"blue",1283
