"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"58ed2be2a083320001a13783",30,600,24,19,6,"red",20436,226,"rt_bounds"
"58ed2be2a083320001a13783",35,600,19,20,2,"red",39470,231,"rt_bounds"
"58ed2be2a083320001a13783",66,400,16,10,2,"red",32235,262,"rt_bounds"
"58ed2be2a083320001a13783",68,600,30,17,2,"red",17393,264,"rt_bounds"
"58ed2be2a083320001a13783",136,500,23,27,8,"blue",21847,332,"rt_bounds"
"5f3898caed1478189b8462a0",24,500,29,24,8,"blue",8591,1084,"rt_bounds"
"5f3898caed1478189b8462a0",27,600,15,17,8,"blue",10999,1087,"rt_bounds"
"5f3898caed1478189b8462a0",29,500,18,16,6,"blue",11450,1089,"rt_bounds"
"5f3898caed1478189b8462a0",31,400,17,10,2,"blue",11501,1091,"rt_bounds"
"5f3898caed1478189b8462a0",33,400,25,21,8,"blue",9213,1093,"rt_bounds"
"5f3898caed1478189b8462a0",37,500,26,20,6,"blue",12172,1097,"rt_bounds"
"5f3898caed1478189b8462a0",38,600,14,9,8,"blue",10650,1098,"rt_bounds"
"5f3898caed1478189b8462a0",160,500,28,25,8,"red",16173,1220,"rt_bounds"
"5f3898caed1478189b8462a0",161,400,14,9,2,"red",16509,1221,"rt_bounds"
"5f3898caed1478189b8462a0",192,400,29,33,8,"red",11738,1252,"rt_bounds"
"5f3898caed1478189b8462a0",194,600,20,20,8,"red",10875,1254,"rt_bounds"
"5f3898caed1478189b8462a0",195,600,23,18,6,"red",14438,1255,"rt_bounds"
"5f3898caed1478189b8462a0",196,500,33,30,6,"red",8569,1256,"rt_bounds"
"5f3898caed1478189b8462a0",197,500,22,17,2,"red",12428,1257,"rt_bounds"
"5f3898caed1478189b8462a0",209,400,18,9,6,"red",12486,1269,"rt_bounds"
"5f3898caed1478189b8462a0",210,600,23,21,2,"red",20269,1270,"rt_bounds"
"5f3898caed1478189b8462a0",212,600,23,17,2,"red",11384,1272,"rt_bounds"
"5f3898caed1478189b8462a0",213,600,31,27,6,"red",9140,1273,"rt_bounds"
"5f3898caed1478189b8462a0",216,600,16,12,6,"red",12967,1276,"rt_bounds"
"5f3898caed1478189b8462a0",219,500,15,11,6,"red",9243,1279,"rt_bounds"
"5f3898caed1478189b8462a0",221,500,18,20,6,"red",10895,1281,"rt_bounds"
"5f3898caed1478189b8462a0",222,500,21,21,2,"red",15574,1282,"rt_bounds"
"5f9fdfd04296cb0102563f84",129,400,20,3,8,"blue",11602,1405,"rt_bounds"
"620bdd10a922fc3f247f6b6b",144,400,16,21,6,"red",79489,2068,"rt_bounds"
"63d40c3695dd423166c7c83d",23,500,17,24,2,"red",9586,2163,"rt_bounds"
"63d40c3695dd423166c7c83d",24,500,30,30,2,"red",11984,2164,"rt_bounds"
"63d40c3695dd423166c7c83d",25,500,18,22,6,"red",8845,2165,"rt_bounds"
"63d40c3695dd423166c7c83d",31,400,32,30,2,"red",9136,2171,"rt_bounds"
"63d40c3695dd423166c7c83d",33,500,20,23,2,"red",11991,2173,"rt_bounds"
"63d40c3695dd423166c7c83d",35,400,20,16,2,"red",8417,2175,"rt_bounds"
"63d40c3695dd423166c7c83d",39,500,27,30,2,"red",9034,2179,"rt_bounds"
"63d40c3695dd423166c7c83d",44,600,30,29,2,"red",8828,2184,"rt_bounds"
"63d40c3695dd423166c7c83d",57,600,28,33,6,"red",12830,2197,"rt_bounds"
"63d40c3695dd423166c7c83d",58,500,20,14,6,"red",10062,2198,"rt_bounds"
"63d40c3695dd423166c7c83d",64,500,21,30,6,"red",9604,2204,"rt_bounds"
"63d40c3695dd423166c7c83d",69,600,22,18,2,"red",8627,2209,"rt_bounds"
"63d40c3695dd423166c7c83d",89,500,24,32,8,"red",11597,2229,"rt_bounds"
"63d40c3695dd423166c7c83d",90,400,35,35,8,"red",12294,2230,"rt_bounds"
"63d40c3695dd423166c7c83d",112,400,25,35,8,"red",9204,2252,"rt_bounds"
"63d40c3695dd423166c7c83d",114,400,16,18,8,"red",9827,2254,"rt_bounds"
"63d40c3695dd423166c7c83d",128,400,20,12,8,"red",15396,2268,"rt_bounds"
"63d40c3695dd423166c7c83d",146,400,27,27,6,"blue",9171,2286,"rt_bounds"
"63d40c3695dd423166c7c83d",149,500,15,17,8,"blue",8839,2289,"rt_bounds"
"63d40c3695dd423166c7c83d",163,500,29,34,8,"blue",8104,2303,"rt_bounds"
"63d40c3695dd423166c7c83d",164,400,18,11,8,"blue",8766,2304,"rt_bounds"
"63d40c3695dd423166c7c83d",167,600,18,13,2,"blue",12200,2307,"rt_bounds"
"63d40c3695dd423166c7c83d",198,400,22,27,8,"blue",8486,2338,"rt_bounds"
"63d40c3695dd423166c7c83d",201,400,21,16,2,"blue",8839,2341,"rt_bounds"
"63d40c3695dd423166c7c83d",202,500,23,33,8,"blue",11918,2342,"rt_bounds"
"65dfbf73ec3a047b5653add8",179,400,25,30,6,"red",10122,2967,"rt_bounds"
"66c0f464e0ff62798027b486",67,600,34,31,2,"blue",12552,3503,"rt_bounds"
"66c0f464e0ff62798027b486",68,500,33,30,2,"blue",14811,3504,"rt_bounds"
"66c0f464e0ff62798027b486",96,600,14,35,6,"blue",24249,3532,"rt_bounds"
"66f0c81ea46a554aeb92cd04",29,400,16,19,2,"red",8608,3897,"rt_bounds"
"66f0c81ea46a554aeb92cd04",31,400,17,24,8,"red",8108,3899,"rt_bounds"
"66f0c81ea46a554aeb92cd04",32,500,15,24,6,"red",9682,3900,"rt_bounds"
"66f0c81ea46a554aeb92cd04",38,500,27,15,8,"red",8624,3906,"rt_bounds"
"66f0c81ea46a554aeb92cd04",41,500,28,18,6,"red",8075,3909,"rt_bounds"
"66f0c81ea46a554aeb92cd04",63,600,16,17,2,"red",10666,3931,"rt_bounds"
"66f0c81ea46a554aeb92cd04",75,600,24,28,8,"red",9101,3943,"rt_bounds"
"66f0c81ea46a554aeb92cd04",83,500,33,33,2,"red",8862,3951,"rt_bounds"
"66f0c81ea46a554aeb92cd04",110,400,15,28,8,"red",10840,3978,"rt_bounds"
"66f0c81ea46a554aeb92cd04",164,400,24,18,6,"blue",11585,4032,"rt_bounds"
"66f0c81ea46a554aeb92cd04",183,600,32,28,8,"blue",9401,4051,"rt_bounds"
"66f0c81ea46a554aeb92cd04",230,500,29,14,6,"blue",12055,4098,"rt_bounds"
"6711ee336b91eb0fcf53841f",91,400,26,29,2,"red",16096,4175,"rt_bounds"
"6711ee336b91eb0fcf53841f",192,600,28,29,6,"blue",10764,4276,"rt_bounds"
"67265982eb0c3fc495c6e33a",222,500,18,19,2,"blue",53846,4522,"rt_bounds"
"673feeafa80a279f5cc63e33",42,500,21,22,8,"blue",8090,4990,"rt_bounds"
"673feeafa80a279f5cc63e33",140,600,19,21,2,"red",8197,5088,"rt_bounds"
"673feeafa80a279f5cc63e33",162,400,15,23,6,"red",14391,5110,"rt_bounds"
"673feeafa80a279f5cc63e33",164,600,16,48,6,"red",12934,5112,"rt_bounds"
"673feeafa80a279f5cc63e33",165,500,24,29,6,"red",9493,5113,"rt_bounds"
"673feeafa80a279f5cc63e33",172,600,18,21,2,"red",11430,5120,"rt_bounds"
"673feeafa80a279f5cc63e33",183,400,15,22,6,"red",13039,5131,"rt_bounds"
"673feeafa80a279f5cc63e33",193,500,16,22,6,"red",10916,5141,"rt_bounds"
"673feeafa80a279f5cc63e33",194,500,16,18,2,"red",14449,5142,"rt_bounds"
"673feeafa80a279f5cc63e33",205,400,22,23,2,"red",13864,5153,"rt_bounds"
"673feeafa80a279f5cc63e33",206,500,18,22,2,"red",11801,5154,"rt_bounds"
"673feeafa80a279f5cc63e33",215,600,14,18,2,"red",10574,5163,"rt_bounds"
"673feeafa80a279f5cc63e33",216,600,14,15,6,"red",8565,5164,"rt_bounds"
"673feeafa80a279f5cc63e33",225,600,22,21,2,"red",9428,5173,"rt_bounds"
"67bc755b022467c613763798",21,600,26,34,8,"red",20134,5185,"rt_bounds"
"67bc755b022467c613763798",28,500,14,32,6,"red",13303,5192,"rt_bounds"
"67bc755b022467c613763798",30,600,33,32,2,"red",11079,5194,"rt_bounds"
"67bc755b022467c613763798",34,600,29,10,6,"red",23679,5198,"rt_bounds"
"67bc755b022467c613763798",36,500,21,28,8,"red",8567,5200,"rt_bounds"
"67bc755b022467c613763798",37,500,33,21,6,"red",9011,5201,"rt_bounds"
"67bc755b022467c613763798",38,400,16,19,6,"red",18623,5202,"rt_bounds"
"67bc755b022467c613763798",39,400,30,45,6,"red",26159,5203,"rt_bounds"
"67bc755b022467c613763798",42,500,32,24,2,"red",46579,5206,"rt_bounds"
"67bc755b022467c613763798",47,500,30,37,2,"red",34956,5211,"rt_bounds"
"67bc755b022467c613763798",48,500,28,26,2,"red",9951,5212,"rt_bounds"
"67bc755b022467c613763798",51,500,25,24,2,"red",17088,5215,"rt_bounds"
"67bc755b022467c613763798",54,600,22,29,2,"red",8696,5218,"rt_bounds"
"67bc755b022467c613763798",64,500,25,27,6,"red",28676,5228,"rt_bounds"
"67bc755b022467c613763798",70,400,28,23,6,"red",11150,5234,"rt_bounds"
"67bc755b022467c613763798",74,400,18,12,6,"red",58958,5238,"rt_bounds"
"67bc755b022467c613763798",85,400,26,25,2,"red",11532,5249,"rt_bounds"
"67bc755b022467c613763798",88,600,19,8,2,"red",17033,5252,"rt_bounds"
"67bc755b022467c613763798",94,400,19,20,8,"red",71087,5258,"rt_bounds"
"67bc755b022467c613763798",99,400,26,23,6,"red",13305,5263,"rt_bounds"
"67bc755b022467c613763798",119,600,30,20,8,"red",12683,5283,"rt_bounds"
"67bc755b022467c613763798",168,500,27,17,6,"blue",99478,5332,"rt_bounds"
"67bc755b022467c613763798",171,400,28,43,2,"blue",8227,5335,"rt_bounds"
"67bc755b022467c613763798",176,400,19,33,6,"blue",27197,5340,"rt_bounds"
"67bc755b022467c613763798",179,500,18,17,2,"blue",37690,5343,"rt_bounds"
"67bc755b022467c613763798",192,500,20,22,2,"blue",21218,5356,"rt_bounds"
"67bc755b022467c613763798",200,500,22,21,8,"blue",11813,5364,"rt_bounds"
"67bc755b022467c613763798",203,600,19,22,8,"blue",167873,5367,"rt_bounds"
"67bc755b022467c613763798",211,600,15,30,8,"blue",12278,5375,"rt_bounds"
"67bc755b022467c613763798",217,600,34,35,8,"blue",19643,5381,"rt_bounds"
"67bc755b022467c613763798",220,600,27,28,8,"blue",9989,5384,"rt_bounds"
"67fd8520a5dcf6eaa319fc52",30,400,16,15,8,"blue",9797,5410,"rt_bounds"
"67fd8520a5dcf6eaa319fc52",167,600,26,0,8,"red",192,5547,"rt_bounds"
"67fd8520a5dcf6eaa319fc52",168,600,32,0,2,"red",176,5548,"rt_bounds"
"67fd8520a5dcf6eaa319fc52",206,400,19,0,8,"red",160,5586,"rt_bounds"
"67fd8520a5dcf6eaa319fc52",213,400,27,0,2,"red",93,5593,"rt_bounds"
