"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt","row_id","stage"
"558955ebfdf99b6bd06016c9",164,600,15,12,2,"blue",9073,144,"rt_bounds"
"5a792c898fe2dc0001058c3b",69,600,20,19,8,"blue",8367,913,"rt_bounds"
"5f16f559325a640008bb9a07",51,500,33,12,8,"red",18032,2839,"rt_bounds"
"5f16f559325a640008bb9a07",85,500,31,20,2,"red",11048,2873,"rt_bounds"
"5f16f559325a640008bb9a07",144,600,23,13,8,"blue",8953,2932,"rt_bounds"
"5f16f559325a640008bb9a07",228,500,34,29,2,"blue",11360,3016,"rt_bounds"
"610c83598db46d4d46de2c61",220,400,29,26,8,"red",14726,3656,"rt_bounds"
"6172cf92f2ea6613f717abb6",33,400,23,29,6,"red",8543,3901,"rt_bounds"
"6172cf92f2ea6613f717abb6",43,400,34,26,2,"red",10391,3911,"rt_bounds"
"6172cf92f2ea6613f717abb6",60,400,20,27,8,"red",14664,3928,"rt_bounds"
"6172cf92f2ea6613f717abb6",64,500,21,23,6,"red",10975,3932,"rt_bounds"
"6172cf92f2ea6613f717abb6",100,500,21,28,2,"red",13910,3968,"rt_bounds"
"6172cf92f2ea6613f717abb6",127,400,31,38,8,"red",10434,3995,"rt_bounds"
"6172cf92f2ea6613f717abb6",131,500,30,17,6,"blue",12172,3999,"rt_bounds"
"6172cf92f2ea6613f717abb6",137,400,27,23,2,"blue",9345,4005,"rt_bounds"
"6172cf92f2ea6613f717abb6",147,400,24,32,6,"blue",8956,4015,"rt_bounds"
"6172cf92f2ea6613f717abb6",150,600,17,29,2,"blue",9502,4018,"rt_bounds"
"6172cf92f2ea6613f717abb6",158,600,25,20,6,"blue",15974,4026,"rt_bounds"
"6172cf92f2ea6613f717abb6",170,600,29,29,6,"blue",32260,4038,"rt_bounds"
"6172cf92f2ea6613f717abb6",175,600,31,0,2,"blue",122113,4043,"rt_bounds"
"6172cf92f2ea6613f717abb6",182,500,23,32,6,"blue",43931,4050,"rt_bounds"
"6172cf92f2ea6613f717abb6",183,600,31,27,2,"blue",9387,4051,"rt_bounds"
"6172cf92f2ea6613f717abb6",213,400,14,33,6,"blue",27427,4081,"rt_bounds"
"63a3375101319bb7cb39f654",92,600,30,13,6,"red",17084,4608,"rt_bounds"
"63a3375101319bb7cb39f654",104,600,16,19,8,"red",12472,4620,"rt_bounds"
"63a3375101319bb7cb39f654",136,500,25,5,2,"blue",16863,4652,"rt_bounds"
"63a3375101319bb7cb39f654",137,500,17,1,2,"blue",11064,4653,"rt_bounds"
"63a3375101319bb7cb39f654",147,500,28,2,6,"blue",8181,4663,"rt_bounds"
"63a3375101319bb7cb39f654",155,600,22,4,6,"blue",10568,4671,"rt_bounds"
"63a3375101319bb7cb39f654",163,500,26,2,2,"blue",10663,4679,"rt_bounds"
"63a3375101319bb7cb39f654",166,600,22,7,6,"blue",22414,4682,"rt_bounds"
"63a3375101319bb7cb39f654",169,600,32,10,2,"blue",8807,4685,"rt_bounds"
"63a3375101319bb7cb39f654",172,600,30,1,2,"blue",8513,4688,"rt_bounds"
"63a3375101319bb7cb39f654",175,600,18,10,8,"blue",10587,4691,"rt_bounds"
"63a3375101319bb7cb39f654",179,500,21,5,2,"blue",12203,4695,"rt_bounds"
"63a3375101319bb7cb39f654",201,500,20,20,8,"blue",12800,4717,"rt_bounds"
"63a3375101319bb7cb39f654",215,600,17,6,8,"blue",46618,4731,"rt_bounds"
"63ed78d1217e614a3c6b392e",71,400,26,30,8,"red",273233,5019,"rt_bounds"
"63ed78d1217e614a3c6b392e",83,600,35,28,8,"red",167260,5031,"rt_bounds"
"63ed78d1217e614a3c6b392e",116,600,23,30,6,"red",9783,5064,"rt_bounds"
"64badb09518eb5b219132eea",106,400,27,21,6,"blue",30641,5270,"rt_bounds"
"6650ecda2657647b60a302eb",46,600,20,19,8,"red",10120,6722,"rt_bounds"
"6650ecda2657647b60a302eb",97,500,29,20,2,"red",9280,6773,"rt_bounds"
"6650ecda2657647b60a302eb",104,600,32,20,6,"red",23429,6780,"rt_bounds"
"66613916abcfcbe01b57b32a",148,600,31,34,8,"blue",12533,7256,"rt_bounds"
"66613916abcfcbe01b57b32a",229,500,23,29,2,"blue",29309,7337,"rt_bounds"
"66789a1e138a59bb4ad16fa5",176,400,18,17,2,"red",9958,7500,"rt_bounds"
"66d66e076ab81bb38466c650",24,500,27,22,6,"red",8962,7564,"rt_bounds"
"66d66e076ab81bb38466c650",25,400,34,28,8,"red",8301,7565,"rt_bounds"
"66d66e076ab81bb38466c650",26,500,29,24,2,"red",8108,7566,"rt_bounds"
"66d66e076ab81bb38466c650",27,500,28,27,2,"red",10360,7567,"rt_bounds"
"66d66e076ab81bb38466c650",29,500,18,10,6,"red",9462,7569,"rt_bounds"
"66d66e076ab81bb38466c650",30,400,14,6,6,"red",9680,7570,"rt_bounds"
"66d66e076ab81bb38466c650",31,400,33,28,2,"red",10392,7571,"rt_bounds"
"66d66e076ab81bb38466c650",32,500,19,24,8,"red",12458,7572,"rt_bounds"
"66d66e076ab81bb38466c650",33,500,35,29,6,"red",8060,7573,"rt_bounds"
"66d66e076ab81bb38466c650",34,400,20,26,6,"red",9946,7574,"rt_bounds"
"66d66e076ab81bb38466c650",36,400,18,24,6,"red",9338,7576,"rt_bounds"
"66d66e076ab81bb38466c650",37,400,22,22,6,"red",9498,7577,"rt_bounds"
"66d66e076ab81bb38466c650",38,400,20,24,2,"red",8613,7578,"rt_bounds"
"66d66e076ab81bb38466c650",39,500,30,34,6,"red",8861,7579,"rt_bounds"
"66d66e076ab81bb38466c650",40,500,15,16,8,"red",9333,7580,"rt_bounds"
"66d66e076ab81bb38466c650",41,600,33,25,6,"red",10277,7581,"rt_bounds"
"66d66e076ab81bb38466c650",42,600,15,12,2,"red",10761,7582,"rt_bounds"
"66d66e076ab81bb38466c650",43,500,28,22,2,"red",12794,7583,"rt_bounds"
"66d66e076ab81bb38466c650",44,500,35,36,8,"red",13337,7584,"rt_bounds"
"66d66e076ab81bb38466c650",45,500,24,22,6,"red",8187,7585,"rt_bounds"
"66d66e076ab81bb38466c650",46,400,18,28,8,"red",8038,7586,"rt_bounds"
"66d66e076ab81bb38466c650",49,600,35,39,8,"red",8190,7589,"rt_bounds"
"66d66e076ab81bb38466c650",50,600,17,10,6,"red",9157,7590,"rt_bounds"
"66d66e076ab81bb38466c650",51,400,32,32,6,"red",8438,7591,"rt_bounds"
"66d66e076ab81bb38466c650",52,500,34,31,8,"red",10350,7592,"rt_bounds"
"66d66e076ab81bb38466c650",53,400,24,23,2,"red",10315,7593,"rt_bounds"
"66d66e076ab81bb38466c650",54,500,25,28,8,"red",10106,7594,"rt_bounds"
"66d66e076ab81bb38466c650",55,500,32,36,8,"red",8113,7595,"rt_bounds"
"66d66e076ab81bb38466c650",57,500,25,27,6,"red",10373,7597,"rt_bounds"
"66d66e076ab81bb38466c650",58,500,19,20,2,"red",10855,7598,"rt_bounds"
"66d66e076ab81bb38466c650",59,600,22,22,2,"red",12223,7599,"rt_bounds"
"66d66e076ab81bb38466c650",60,400,15,24,2,"red",12945,7600,"rt_bounds"
"66d66e076ab81bb38466c650",61,500,31,30,6,"red",8171,7601,"rt_bounds"
"66d66e076ab81bb38466c650",62,500,16,24,2,"red",8488,7602,"rt_bounds"
"66d66e076ab81bb38466c650",63,600,23,24,2,"red",11392,7603,"rt_bounds"
"66d66e076ab81bb38466c650",64,400,31,32,2,"red",12289,7604,"rt_bounds"
"66d66e076ab81bb38466c650",65,500,30,34,6,"red",14666,7605,"rt_bounds"
"66d66e076ab81bb38466c650",66,500,29,20,8,"red",10607,7606,"rt_bounds"
"66d66e076ab81bb38466c650",68,600,16,14,2,"red",11013,7608,"rt_bounds"
"66d66e076ab81bb38466c650",69,400,31,25,6,"red",13759,7609,"rt_bounds"
"66d66e076ab81bb38466c650",71,400,19,16,2,"red",8746,7611,"rt_bounds"
"66d66e076ab81bb38466c650",72,400,24,18,8,"red",10986,7612,"rt_bounds"
"66d66e076ab81bb38466c650",73,500,33,32,6,"red",8516,7613,"rt_bounds"
"66d66e076ab81bb38466c650",75,500,17,15,6,"red",10684,7615,"rt_bounds"
"66d66e076ab81bb38466c650",76,400,33,30,2,"red",12944,7616,"rt_bounds"
"66d66e076ab81bb38466c650",77,500,19,23,8,"red",13763,7617,"rt_bounds"
"66d66e076ab81bb38466c650",79,400,32,34,2,"red",16496,7619,"rt_bounds"
"66d66e076ab81bb38466c650",81,600,21,25,8,"red",10611,7621,"rt_bounds"
"66d66e076ab81bb38466c650",84,500,21,27,6,"red",20270,7624,"rt_bounds"
"66d66e076ab81bb38466c650",85,400,16,26,8,"red",9688,7625,"rt_bounds"
"66d66e076ab81bb38466c650",86,600,23,27,6,"red",9035,7626,"rt_bounds"
"66d66e076ab81bb38466c650",89,400,29,29,8,"red",8341,7629,"rt_bounds"
"66d66e076ab81bb38466c650",91,500,14,14,6,"red",12233,7631,"rt_bounds"
"66d66e076ab81bb38466c650",93,500,20,20,6,"red",8198,7633,"rt_bounds"
"66d66e076ab81bb38466c650",96,500,26,26,2,"red",8015,7636,"rt_bounds"
"66d66e076ab81bb38466c650",100,400,31,30,2,"red",11395,7640,"rt_bounds"
"66d66e076ab81bb38466c650",102,500,28,22,6,"red",8687,7642,"rt_bounds"
"66d66e076ab81bb38466c650",105,600,34,34,2,"red",10803,7645,"rt_bounds"
"66d66e076ab81bb38466c650",106,400,17,19,8,"red",9021,7646,"rt_bounds"
"66d66e076ab81bb38466c650",114,500,24,28,8,"red",9721,7654,"rt_bounds"
"66d66e076ab81bb38466c650",115,400,22,20,2,"red",10340,7655,"rt_bounds"
"66d66e076ab81bb38466c650",116,600,21,25,8,"red",8268,7656,"rt_bounds"
"66d66e076ab81bb38466c650",119,500,23,23,8,"red",12016,7659,"rt_bounds"
"66d66e076ab81bb38466c650",120,600,22,22,2,"red",12229,7660,"rt_bounds"
"66d66e076ab81bb38466c650",121,500,27,26,2,"red",9412,7661,"rt_bounds"
"66d66e076ab81bb38466c650",128,400,30,29,8,"red",9915,7668,"rt_bounds"
"66d66e076ab81bb38466c650",129,400,16,13,2,"blue",14787,7669,"rt_bounds"
"66d66e076ab81bb38466c650",135,400,32,28,8,"blue",8144,7675,"rt_bounds"
"66d66e076ab81bb38466c650",136,600,33,31,2,"blue",14987,7676,"rt_bounds"
"66d66e076ab81bb38466c650",139,600,28,20,2,"blue",8181,7679,"rt_bounds"
"66d66e076ab81bb38466c650",140,500,33,34,2,"blue",9682,7680,"rt_bounds"
"66d66e076ab81bb38466c650",141,400,17,21,8,"blue",8240,7681,"rt_bounds"
"66d66e076ab81bb38466c650",142,600,15,20,6,"blue",9923,7682,"rt_bounds"
"66d66e076ab81bb38466c650",143,500,30,30,8,"blue",9719,7683,"rt_bounds"
"66d66e076ab81bb38466c650",144,500,26,29,8,"blue",8620,7684,"rt_bounds"
"66d66e076ab81bb38466c650",145,400,22,25,6,"blue",10774,7685,"rt_bounds"
"66d66e076ab81bb38466c650",146,500,16,13,6,"blue",12691,7686,"rt_bounds"
"66d66e076ab81bb38466c650",148,600,16,25,6,"blue",8092,7688,"rt_bounds"
"66d66e076ab81bb38466c650",151,400,23,22,2,"blue",8251,7691,"rt_bounds"
