"participant_id","trial","fixationTime","meanVal","indexSelected","array_length","color","rt"
"558955ebfdf99b6bd06016c9",21,600,20,17,2,"red","2147"
"558955ebfdf99b6bd06016c9",22,600,30,27,2,"red","1858"
"558955ebfdf99b6bd06016c9",23,400,16,17,2,"red","1855"
"558955ebfdf99b6bd06016c9",24,400,16,14,2,"red","1432"
"558955ebfdf99b6bd06016c9",25,600,30,29,2,"red","1445"
"558955ebfdf99b6bd06016c9",26,500,30,34,2,"red","1330"
"558955ebfdf99b6bd06016c9",27,600,30,29,2,"red","1681"
"558955ebfdf99b6bd06016c9",28,600,27,21,2,"red","1248"
"558955ebfdf99b6bd06016c9",29,600,18,17,2,"red","1586"
"558955ebfdf99b6bd06016c9",30,600,33,32,2,"red","1322"
"558955ebfdf99b6bd06016c9",31,500,29,30,2,"red","1194"
"558955ebfdf99b6bd06016c9",32,600,17,18,2,"red","1380"
"558955ebfdf99b6bd06016c9",33,500,35,36,2,"red","1135"
"558955ebfdf99b6bd06016c9",34,400,17,21,2,"red","1929"
"558955ebfdf99b6bd06016c9",35,400,30,29,2,"red","1368"
"558955ebfdf99b6bd06016c9",36,500,15,18,2,"red","1427"
"558955ebfdf99b6bd06016c9",37,600,31,31,2,"red","1441"
"558955ebfdf99b6bd06016c9",38,500,27,24,2,"red","1397"
"558955ebfdf99b6bd06016c9",39,600,18,16,2,"red","1668"
"558955ebfdf99b6bd06016c9",40,500,19,14,2,"red","1403"
"558955ebfdf99b6bd06016c9",41,400,17,14,2,"red","1182"
"558955ebfdf99b6bd06016c9",42,500,14,10,2,"red","1416"
"558955ebfdf99b6bd06016c9",43,500,19,15,2,"red","1251"
"558955ebfdf99b6bd06016c9",44,400,16,15,2,"red","1376"
"558955ebfdf99b6bd06016c9",45,600,31,32,2,"red","1146"
"558955ebfdf99b6bd06016c9",46,600,14,17,2,"red","1369"
"558955ebfdf99b6bd06016c9",47,500,33,37,2,"red","1764"
"558955ebfdf99b6bd06016c9",48,400,17,12,2,"red","2121"
"558955ebfdf99b6bd06016c9",49,500,17,19,2,"red","1309"
"558955ebfdf99b6bd06016c9",50,400,19,19,2,"red","1476"
"558955ebfdf99b6bd06016c9",51,600,33,33,2,"red","1528"
"558955ebfdf99b6bd06016c9",52,400,35,43,2,"red","1285"
"558955ebfdf99b6bd06016c9",53,400,16,23,6,"red","1585"
"558955ebfdf99b6bd06016c9",54,400,31,33,6,"red","1236"
"558955ebfdf99b6bd06016c9",55,600,33,36,6,"red","1605"
"558955ebfdf99b6bd06016c9",56,600,14,15,6,"red","1093"
"558955ebfdf99b6bd06016c9",57,500,32,32,2,"red","1067"
"558955ebfdf99b6bd06016c9",58,500,18,17,6,"red","1448"
"558955ebfdf99b6bd06016c9",59,600,20,23,6,"red","1270"
"558955ebfdf99b6bd06016c9",60,500,15,7,6,"red","1743"
"558955ebfdf99b6bd06016c9",61,400,28,24,6,"red","1407"
"558955ebfdf99b6bd06016c9",62,400,28,27,6,"red","1258"
"558955ebfdf99b6bd06016c9",63,400,35,36,2,"red","1297"
"558955ebfdf99b6bd06016c9",64,400,34,34,2,"red","1351"
"558955ebfdf99b6bd06016c9",65,600,19,16,2,"red","1344"
"558955ebfdf99b6bd06016c9",66,600,34,29,6,"red","990"
"558955ebfdf99b6bd06016c9",67,600,19,20,6,"red","1226"
"558955ebfdf99b6bd06016c9",68,400,34,33,6,"red","1276"
"558955ebfdf99b6bd06016c9",69,500,18,21,6,"red","1087"
