group_id,status,group_data_rows,file
1759,ok,120,group_data/group_1759.txt
1760,ok,120,group_data/group_1760.txt
1761,empty_session,0,
1762,ok,121,group_data/group_1762.txt
1763,no_group_data,0,
1764,ok,5,group_data/group_1764.txt
1765,ok,120,group_data/group_1765.txt
1766,empty_session,0,
1772,no_group_data,0,
1773,no_group_data,0,
1774,no_group_data,0,
1775,ok,5,group_data/group_1775.txt
1776,no_group_data,0,
1777,ok,120,group_data/group_1777.txt
1778,ok,120,group_data/group_1778.txt
1779,empty_session,0,
1780,no_group_data,0,
1781,ok,120,group_data/group_1781.txt
1782,no_group_data,0,
1783,ok,121,group_data/group_1783.txt
1784,ok,121,group_data/group_1784.txt
1785,ok,120,group_data/group_1785.txt
1786,ok,122,group_data/group_1786.txt
1787,ok,120,group_data/group_1787.txt
1788,ok,120,group_data/group_1788.txt
1789,ok,120,group_data/group_1789.txt
1790,empty_session,0,
1791,ok,120,group_data/group_1791.txt
1792,ok,121,group_data/group_1792.txt
1793,ok,121,group_data/group_1793.txt
1794,ok,120,group_data/group_1794.txt
1795,ok,121,group_data/group_1795.txt
1796,ok,120,group_data/group_1796.txt
1797,empty_session,0,
1798,no_group_data,0,
1799,no_group_data,0,
1800,no_group_data,0,
1801,ok,121,group_data/group_1801.txt
1802,ok,120,group_data/group_1802.txt
1803,ok,122,group_data/group_1803.txt
1804,ok,122,group_data/group_1804.txt
1805,ok,120,group_data/group_1805.txt
1806,ok,120,group_data/group_1806.txt
1807,ok,121,group_data/group_1807.txt
1808,ok,122,group_data/group_1808.txt
1809,ok,121,group_data/group_1809.txt
1810,ok,120,group_data/group_1810.txt
1811,ok,120,group_data/group_1811.txt
1812,ok,120,group_data/group_1812.txt
1813,ok,120,group_data/group_1813.txt
1814,no_group_data,0,
1815,empty_session,0,
1816,no_group_data,0,
1817,ok,120,group_data/group_1817.txt
1818,ok,121,group_data/group_1818.txt
1819,ok,122,group_data/group_1819.txt
1820,ok,120,group_data/group_1820.txt
1821,ok,120,group_data/group_1821.txt
1823,no_group_data,0,
1824,ok,120,group_data/group_1824.txt
1825,no_group_data,0,
1826,no_group_data,0,
1827,ok,12,group_data/group_1827.txt
1829,ok,1,group_data/group_1829.txt
1830,ok,120,group_data/group_1830.txt
1831,ok,120,group_data/group_1831.txt
1833,ok,120,group_data/group_1833.txt
1834,ok,120,group_data/group_1834.txt
1835,ok,121,group_data/group_1835.txt
1836,ok,120,group_data/group_1836.txt
1837,ok,121,group_data/group_1837.txt
1838,ok,121,group_data/group_1838.txt
1839,ok,61,group_data/group_1839.txt
1840,ok,121,group_data/group_1840.txt
1841,ok,121,group_data/group_1841.txt
1842,ok,120,group_data/group_1842.txt
1843,ok,90,group_data/group_1843.txt
1844,no_group_data,0,
1863,ok,121,group_data/group_1863.txt
1864,ok,120,group_data/group_1864.txt
1865,ok,120,group_data/group_1865.txt
1866,ok,120,group_data/group_1866.txt
1867,ok,120,group_data/group_1867.txt
1868,ok,121,group_data/group_1868.txt
1869,ok,120,group_data/group_1869.txt
1870,ok,120,group_data/group_1870.txt
1871,ok,121,group_data/group_1871.txt
1872,ok,120,group_data/group_1872.txt
1873,ok,120,group_data/group_1873.txt
1874,ok,120,group_data/group_1874.txt
1875,ok,121,group_data/group_1875.txt
1876,ok,120,group_data/group_1876.txt
1877,ok,120,group_data/group_1877.txt
1878,ok,120,group_data/group_1878.txt
1884,no_group_data,0,
1885,ok,120,group_data/group_1885.txt
1886,ok,122,group_data/group_1886.txt
1887,ok,120,group_data/group_1887.txt
1888,ok,120,group_data/group_1888.txt
1889,ok,121,group_data/group_1889.txt
1890,ok,121,group_data/group_1890.txt
1891,ok,120,group_data/group_1891.txt
1892,ok,120,group_data/group_1892.txt
1893,no_group_data,0,
1894,no_group_data,0,
1895,ok,120,group_data/group_1895.txt
1896,ok,120,group_data/group_1896.txt
1897,ok,120,group_data/group_1897.txt
1898,ok,122,group_data/group_1898.txt
1899,ok,120,group_data/group_1899.txt
1900,ok,120,group_data/group_1900.txt
1901,ok,122,group_data/group_1901.txt
1902,ok,121,group_data/group_1902.txt
1903,ok,120,group_data/group_1903.txt
1904,ok,120,group_data/group_1904.txt
1905,ok,120,group_data/group_1905.txt
1906,no_group_data,0,
1907,ok,120,group_data/group_1907.txt
1908,ok,120,group_data/group_1908.txt
1909,empty_session,0,
