group_id,status,group_data_rows,file
811,ok,4,group_data_21770/group_811.txt
812,ok,2,group_data_21770/group_812.txt
813,ok,1,group_data_21770/group_813.txt
814,ok,12,group_data_21770/group_814.txt
815,ok,61,group_data_21770/group_815.txt
817,ok,120,group_data_21770/group_817.txt
818,ok,366,group_data_21770/group_818.txt
819,ok,121,group_data_21770/group_819.txt
821,ok,10,group_data_21770/group_821.txt
822,ok,90,group_data_21770/group_822.txt
830,ok,120,group_data_21770/group_830.txt
834,ok,120,group_data_21770/group_834.txt
835,ok,120,group_data_21770/group_835.txt
836,ok,122,group_data_21770/group_836.txt
837,empty_session,0,
855,ok,120,group_data_21770/group_855.txt
856,ok,120,group_data_21770/group_856.txt
857,ok,121,group_data_21770/group_857.txt
858,ok,120,group_data_21770/group_858.txt
859,ok,120,group_data_21770/group_859.txt
860,empty_session,0,
881,ok,120,group_data_21770/group_881.txt
882,ok,121,group_data_21770/group_882.txt
908,no_group_data,0,
909,no_group_data,0,
910,no_group_data,0,
911,no_group_data,0,
912,no_group_data,0,
923,ok,5,group_data_21770/group_923.txt
951,no_group_data,0,
952,no_group_data,0,
956,no_group_data,0,
957,no_group_data,0,
958,ok,120,group_data_21770/group_958.txt
959,ok,30,group_data_21770/group_959.txt
968,no_group_data,0,
969,no_group_data,0,
970,ok,121,group_data_21770/group_970.txt
971,ok,120,group_data_21770/group_971.txt
972,ok,122,group_data_21770/group_972.txt
973,empty_session,0,
974,no_group_data,0,
975,ok,120,group_data_21770/group_975.txt
976,no_group_data,0,
977,ok,120,group_data_21770/group_977.txt
978,ok,120,group_data_21770/group_978.txt
979,ok,120,group_data_21770/group_979.txt
983,ok,120,group_data_21770/group_983.txt
984,ok,120,group_data_21770/group_984.txt
987,empty_session,0,
1005,ok,122,group_data_21770/group_1005.txt
1006,ok,120,group_data_21770/group_1006.txt
1007,ok,120,group_data_21770/group_1007.txt
1665,no_group_data,0,
1758,ok,30,group_data_21770/group_1758.txt
1770,no_group_data,0,
